biography_id,person_id,published_display_date,updated_display_date,initial_approval_date
2,2539,August 2008,,2011-07-20 19:13:43
4,7673,August 2008,,2010-12-23 15:28:27
5,8460,August 2008,,2010-09-21 14:33:17
6,2584,December 2010,,2010-12-17 14:26:51
7,4354,September 2010,,2011-07-27 19:55:28
9,13057,August 2007,,2010-04-05 16:29:02
10,8923,August 2007,,2010-04-08 12:13:45
11,84,August 2008,,2010-04-07 15:41:22
12,8181,December 2009,,2011-01-14 13:06:49
13,8891,August 2007,,2010-12-23 15:20:42
14,5588,August 2007,,2010-09-17 14:12:55
15,6962,August 2007,,2010-04-01 11:50:46
16,7114,August 2007,,2011-02-14 11:02:47
17,8750,December 2009,,2010-03-31 18:04:26
18,4185,August 2007,,2010-12-16 15:55:15
19,9624,August 2007,,2010-12-23 14:25:01
20,9612,December 2009,,2011-01-14 13:05:06
21,4676,August 2007,,2010-12-23 14:41:29
22,4272,December 2009,,2010-12-16 15:57:30
23,8825,December 2009,,2011-01-14 13:06:03
24,494,August 2007,,2010-03-31 18:59:13
25,495,August 2007,July 2015,2010-03-31 13:13:23
26,8574,July 2011,,2011-07-08 14:56:51
27,6681,December 2010,,2010-12-23 14:13:34
28,10881,August 2007,,2011-07-19 17:52:10
29,4903,August 2007,,2010-04-05 16:25:58
30,9579,August 2007,,2010-12-17 14:18:54
31,13058,August 2007,,2010-04-07 17:42:51
32,9141,August 2007,,2010-11-23 10:56:28
33,4261,August 2008,,2011-07-14 14:57:05
34,13061,August 2008,,2010-09-15 16:35:45
35,3169,August 2008,,2010-12-23 15:25:15
37,3182,August 2008,,2011-07-05 16:34:58
38,3181,August 2008,,2010-06-03 10:07:06
39,11877,August 2008,,2010-09-21 14:30:38
40,6547,August 2008,,2010-12-23 15:18:41
41,4175,August 2008,,2010-09-17 14:21:51
42,4368,August 2008,,2011-07-20 19:05:19
43,2899,August 2008,,2011-07-06 16:40:43
44,5,August 2008,,2010-12-14 16:37:09
45,11453,August 2008,,2010-09-17 14:23:09
46,2798,August 2008,,2010-04-07 14:40:05
47,3890,August 2007,,2010-12-03 16:08:41
48,11471,August 2008,,2010-04-08 20:09:30
49,11865,August 2008,,2010-09-21 12:16:12
50,7637,August 2008,,2010-09-17 14:27:24
51,2812,August 2008,,2010-08-04 16:27:55
52,2670,August 2008,,2010-09-17 14:18:02
53,3936,August 2008,,2010-08-11 13:46:14
54,4167,August 2008,,2010-12-17 14:17:21
55,4115,August 2008,,2010-08-04 17:10:59
56,5858,August 2008,,2010-08-04 17:05:22
57,4166,August 2008,,2010-04-05 16:48:34
58,4168,August 2008,,2010-12-23 14:32:53
60,4085,August 2008,,2011-06-21 12:29:31
61,2823,August 2008,,2010-04-07 11:56:20
62,13063,August 2008,,2011-06-21 12:31:19
63,2790,August 2008,,2010-04-07 13:33:20
64,2803,August 2008,,2010-04-07 11:37:51
65,13064,August 2008,,2011-06-21 12:34:41
66,4150,August 2008,,2010-04-07 14:51:41
67,9482,August 2008,,2010-12-29 9:30:12
68,11307,August 2008,,2010-04-08 15:15:58
69,9030,August 2008,,2010-04-07 15:54:48
70,13065,August 2008,,2010-04-07 15:56:27
71,3939,August 2008,,2010-08-04 16:56:56
72,6278,August 2008,,2010-12-16 14:07:17
73,2712,August 2008,,2010-08-11 13:45:51
74,4170,August 2008,,2010-10-18 16:44:52
75,3673,August 2008,,2010-08-04 17:11:32
76,726,August 2008,,2010-04-08 9:37:30
77,4114,August 2008,,2010-08-04 17:10:39
78,3940,August 2008,,2010-08-04 17:10:07
79,2801,August 2008,,2010-09-17 14:09:24
80,3937,August 2008,,2010-04-08 12:02:39
81,4113,August 2008,,2010-08-04 17:06:08
82,3938,August 2008,,2010-12-29 9:29:30
83,4164,August 2008,,2010-08-04 16:31:30
84,4119,August 2008,,2010-04-07 17:55:56
85,2789,August 2008,,2010-12-23 15:26:01
86,6749,August 2008,,2010-09-17 14:08:27
87,2806,August 2008,,2011-07-19 18:21:36
88,6405,August 2008,,2011-07-21 19:02:58
89,2595,August 2008,,2010-11-23 11:01:33
90,11898,August 2008,,2011-02-22 12:10:07
91,10824,August 2008,,2010-11-23 11:00:47
92,10687,September 2008,,2011-02-04 16:46:15
93,11114,September 2008,,2011-06-16 12:10:21
94,12828,September 2008,,2011-02-04 16:46:57
95,3085,September 2008,,2011-02-04 16:47:44
96,6065,December 2009,,2011-02-04 16:48:05
