biography_id,person_id,initial_approval_date,published_display_date
25,495,2007-08-01 0:00:00,August 2007
160,12883,2007-08-01 0:00:00,August 2007
24,494,2007-08-01 0:00:00,August 2007
123,11117,2007-08-01 0:00:00,August 2007
149,9688,2007-08-01 0:00:00,August 2007
15,6962,2007-08-01 0:00:00,August 2007
29,4903,2007-08-01 0:00:00,August 2007
9,13057,2007-08-01 0:00:00,August 2007
204,13077,2007-08-01 0:00:00,August 2007
134,96,2007-08-01 0:00:00,August 2007
131,86,2007-08-01 0:00:00,August 2007
176,1722,2007-08-01 0:00:00,August 2007
135,9,2007-08-01 0:00:00,August 2007
127,1108,2007-08-01 0:00:00,August 2007
126,6205,2007-08-01 0:00:00,August 2007
31,13058,2007-08-01 0:00:00,August 2007
128,490,2007-08-01 0:00:00,August 2007
10,8923,2007-08-01 0:00:00,August 2007
115,1754,2007-08-01 0:00:00,August 2007
116,8857,2007-08-01 0:00:00,August 2007
14,5588,2007-08-01 0:00:00,August 2007
114,8912,2007-08-01 0:00:00,August 2007
138,6653,2007-08-01 0:00:00,August 2007
132,9618,2007-08-01 0:00:00,August 2007
130,5281,2007-08-01 0:00:00,August 2007
32,9141,2007-08-01 0:00:00,August 2007
141,7429,2007-08-01 0:00:00,August 2007
47,3890,2007-08-01 0:00:00,August 2007
148,10083,2007-08-01 0:00:00,August 2007
136,9297,2007-08-01 0:00:00,August 2007
18,4185,2007-08-01 0:00:00,August 2007
30,9579,2007-08-01 0:00:00,August 2007
19,9624,2007-08-01 0:00:00,August 2007
21,4676,2007-08-01 0:00:00,August 2007
117,4043,2007-08-01 0:00:00,August 2007
121,10904,2007-08-01 0:00:00,August 2007
13,8891,2007-08-01 0:00:00,August 2007
157,3121,2007-08-01 0:00:00,August 2007
158,8472,2007-08-01 0:00:00,August 2007
133,5234,2007-08-01 0:00:00,August 2007
122,303,2007-08-01 0:00:00,August 2007
140,10815,2007-08-01 0:00:00,August 2007
16,7114,2007-08-01 0:00:00,August 2007
139,10301,2007-08-01 0:00:00,August 2007
237,7164,2007-08-01 0:00:00,August 2007
172,8027,2007-08-01 0:00:00,August 2007
125,9121,2007-08-01 0:00:00,August 2007
28,10881,2007-08-01 0:00:00,August 2007
137,9372,2007-08-01 0:00:00,August 2007
170,10315,2007-08-01 0:00:00,August 2007
387,4611,2007-09-01 0:00:00,September 2007
203,9646,2008-08-01 0:00:00,August 2008
57,4166,2008-08-01 0:00:00,August 2008
106,7373,2008-08-01 0:00:00,August 2008
64,2803,2008-08-01 0:00:00,August 2008
61,2823,2008-08-01 0:00:00,August 2008
63,2790,2008-08-01 0:00:00,August 2008
46,2798,2008-08-01 0:00:00,August 2008
66,4150,2008-08-01 0:00:00,August 2008
110,3101,2008-08-01 0:00:00,August 2008
11,84,2008-08-01 0:00:00,August 2008
69,9030,2008-08-01 0:00:00,August 2008
