married_kinship_group,marriage_id,start,start_approximate,end,end_approximate,end_reason_id,reason_name,is_matrilocal,is_junior_for_wife,is_senior_for_wife,is_junior_for_husband,is_senior_for_husband,wife_id,husband_id,birth_genealogical_group_id
,3,1949,0,1959,0,2,death,0,0,0,0,0,13697,9990,
1583,4,1950,0,1987,0,2,death,0,0,0,0,0,13724,10712,1584
1132,5,,0,,0,,,1,0,0,0,0,13625,7929,1132
932,6,1933,0,1947,0,1,divorce,0,0,0,0,0,11798,9333,1047
1048,7,,0,676,0,2,death,0,0,0,0,0,13509,13567,264
693,8,1938,0,1942,0,2,death,0,0,0,0,0,13703,11290,
1048,9,641,0,650,0,2,death,0,0,0,0,0,10811,10760,
1132,10,,0,,0,,,0,0,0,0,0,7585,9305,932
1047,11,,0,,0,1,divorce,0,0,0,0,0,11796,11790,1076
1132,12,,0,,0,3,dissolution,0,0,1,0,0,13708,7929,1571
1132,13,,0,,0,,,0,0,0,0,0,13708,13709,1571
1132,14,,0,,0,3,dissolution,1,1,0,0,0,10711,7929,1132
,15,,0,,0,,,0,1,0,0,0,13739,7929,1132
1132,17,,0,,0,,,0,0,0,0,0,32,13583,1590
,20,,0,,0,,,0,0,0,0,0,13773,13774,
,21,,0,,0,,,0,0,0,0,0,13788,13787,
,22,,0,,0,,,0,0,0,0,0,13790,13791,
,23,,0,,0,,,0,0,0,0,0,7297,7296,
,24,1783,0,1790,0,2,death,0,0,0,0,0,13187,7562,
,25,1935,1,,0,,,0,0,0,0,0,5082,5024,
,26,,0,,0,,,0,0,0,0,0,12784,9688,
,27,,0,,0,,,0,0,0,0,0,13805,13546,
,28,,0,,0,,,0,0,0,0,0,13805,13545,
,29,,0,,0,,,0,0,0,0,0,2917,2916,
,30,,0,,0,,,0,0,0,0,0,3628,9612,
,32,1849,0,,0,,,0,0,0,0,0,3627,3629,
,33,,0,,0,,,0,0,0,0,0,13818,13817,
,34,,0,,0,,,0,0,0,0,0,12993,12992,
,35,,0,,0,,,0,0,0,0,0,13820,12839,
,36,1920,1,1930,0,2,death,0,0,0,0,0,13843,9668,
,37,1930,1,1944,1,1,divorce,0,0,0,0,0,13843,10019,
,38,1887,0,,0,,,0,0,0,0,0,13850,8538,
,39,,0,,0,,,0,0,0,0,0,13853,10467,
,40,,0,,0,,,0,0,0,0,0,13869,10467,
,41,,0,,0,,,0,0,0,0,0,13882,6699,
