person_id,default_name,historical_period_name,historical_period_id
13509,Trimalo,7th Century,25
8342,Tonmi Sambhota,7th Century,25
10811,Wencheng Kongjo,7th Century,25
13633,Woncheuk,7th Century,25
13566,Semarkar,7th Century,25
13164,Nangzher Lopo,8th Century,29
13198,Takdra Lukong,8th Century,29
13077,Khyeuchung Lotsāwa,8th Century,29
86,Langdro Konchok Jungne,8th Century,29
84,Lasum Gyelwa Jangchub,8th Century,29
5234,Ma Rinchen Chok,8th Century,29
10904,Nanam Yeshe De,8th Century,29
9624,Denma Tsemang,8th Century,29
13057,Gyelwai Lodro,8th Century,29
13509,Trimalo,8th Century,29
6653,Pelgyi Sengge,8th Century,29
1108,Namkhai Nyingpo,8th Century,29
4903,Gyelwa Chokyang,8th Century,29
490,Kharchen Pelgyi Wangchuk,8th Century,29
5281,Sokpo Pelgyi Yeshe,8th Century,29
9121,Nyak Jñānakumara,8th Century,29
96,Lang Pelgyi Sengge,8th Century,29
13165,Tongyung Tuchen,8th Century,29
10373,Yeshe Tsogyel,8th Century,29
10881,Kawa Peltsek,8th Century,29
10911,Vidyākaraprabha,8th Century,29
13631,Tong Ācārya,8th Century,29
13627,Śākyaprabha,8th Century,29
10980,Wangpabzhun,8th Century,29
10546,Buddhaguhya,8th Century,29
13642,Prajñāvarman,8th Century,29
13058,Wodren Pelgyi Wangchuk,8th Century,29
9618,Lhalung Pelgyi Dorje,8th Century,29
303,Nanam Dorje Dudjom,8th Century,29
10900,Śīlendrabodhi,8th Century,29
6205,Nyang Tingdzin Zangpo,8th Century,29
1370,Khon Lui Wangpo,8th Century,29
6681,Drenpa Namkha,8th Century,29
11117,Drokmi Pelgyi Yeshe,8th Century,29
10908,Jinamitra,8th Century,29
6678,Pelgyi Lhunpo,8th Century,29
13634,Go Chodrub,8th Century,29
10970,Dharmatāśīla,8th Century,29
13853,Margyel Dongkar,8th Century,29
9,Mandāravā,8th Century,29
7442,Padmasambhava,8th Century,29
9985,Vimalamitra,8th Century,29
5234,Ma Rinchen Chok,9th Century,33
4626,Nubchen Sanggye Yeshe,9th Century,33
10911,Vidyākaraprabha,9th Century,33
13631,Tong Ācārya,9th Century,33
13627,Śākyaprabha,9th Century,33
2816,Lachen Gongpa Rabsel,9th Century,33
9618,Lhalung Pelgyi Dorje,9th Century,33
10900,Śīlendrabodhi,9th Century,33
10908,Jinamitra,9th Century,33
13634,Go Chodrub,9th Century,33
10970,Dharmatāśīla,9th Century,33
4626,Nubchen Sanggye Yeshe,10th Century,37
6723,Mahāvajrāsana,10th Century,37
23,Ratnākaraśānti,10th Century,37
10199,Rinchen Zangpo,10th Century,37
2816,Lachen Gongpa Rabsel,10th Century,37
11056,Lha Lama Yeshe Wo,10th Century,37
13540,Lhai Metok,10th Century,37
5644,Machik Labdron,10th Century,37
13773,Gelongma Pelmo,10th Century,37
7024,Zhangton Chobar,11th Century,41
3957,Droton Dutsi Drakpa,11th Century,41
6393,Chokyi Lama,11th Century,41
5753,Draktengpa Yonten Tsultrim,11th Century,41
4630,Zurchen Shakya Jungne,11th Century,41
5615,Drokmi Śākya Yeshe,11th Century,41
5401,Mel Lotsāwa Lodro Drakpa,11th Century,41
4301,Yumo Mikyo Dorje,11th Century,41
2598,Gonpawa Wangchuk Gyeltsen,11th Century,41
5786,Potowa Rinchen Sel,11th Century,41
4177,Konchok Kyab,11th Century,41
4261,Ngok Lotsāwa Loden Sherab,11th Century,41
6100,Khon Konchok Gyelpo,11th Century,41
7114,Drapa Ngonshe,11th Century,41
6452,Puchungwa Zhonnu Gyeltsen,11th Century,41
10892,Padmakaravarma,11th Century,41
494,Dangma Lhungyel,11th Century,41
6285,Khyungpo Neljor,11th Century,41
1722,Langlab Jangchub Dorje,11th Century,41
2591,Neuzurpa Yeshe Bar,11th Century,41
7113,Tsen Khawoche,11th Century,41
4267,Dromton Gyelwa Jungne,11th Century,41
5803,Go Khukpa Lhetse,11th Century,41
23,Ratnākaraśānti,11th Century,41
5801,Naktso Lotsāwa Tsultrim Gyelwa,11th Century,41
5717,Atiśa Dīpaṃkara,11th Century,41
6962,Dzeng Dharmabodhi,11th Century,41
3168,Gampopa Sonam Rinchen,11th Century,41
10199,Rinchen Zangpo,11th Century,41
13240,Geshe Yakru Peldrak,11th Century,41
10982,Gewai Lodro,11th Century,41
10981,Gyatso De,11th Century,41
3178,Milarepa,11th Century,41
13636,Yonten Pel,11th Century,41
6275,Gorub Lotsāwa Chokyi Sherab,11th Century,41
6733,Tsur Lotsāwa Yeshe Jungne,11th Century,41
5386,Tsurton Wanggi Dorje,11th Century,41
6441,Tolungpa Rinchen Nyingpo,11th Century,41
5822,Jayulwa Zhonnu Wo,11th Century,41
5820,Chennga Tsultrim Bar,11th Century,41
11056,Lha Lama Yeshe Wo,11th Century,41
6194,Rongzom Chokyi Zangpo,11th Century,41
6587,Sumpa Yeshe Lodro,11th Century,41
4632,Zurchung Sherab Drakpa,11th Century,41
2504,Machik Zhama,11th Century,41
4354,Marpa Chokyi Lodro,11th Century,41
5461,Ra Lotsāwa Dorje Drakpa,11th Century,41
6892,Ziji Bar,11th Century,41
6076,Pakpa Sherab,11th Century,41
6214,Vajrāsana the latter,11th Century,41
1628,Machik Jobum,11th Century,41
5644,Machik Labdron,11th Century,41
13241,Nub Lotsāwa Yonten Drak,11th Century,41
13087,Gomchen Barwa,11th Century,41
13079,Meu Gongdzo,11th Century,41
13773,Gelongma Pelmo,11th Century,41
2510,Padampa Sanggye,11th Century,41
7326,Smṛtijñānakīrti,11th Century,41
13616,Nangsa Wobum,11th Century,41
3469,Marpa Sherab Yeshe,12th Century,45
2799,Tropu Gyeltsa Rinchen Gon,12th Century,45
7024,Zhangton Chobar,12th Century,45
10573,Tsangton Dorje Gyeltsen,12th Century,45
4140,Pomdrakpa Sonam Dorje,12th Century,45
2589,Katokpa Dampa Deshek,12th Century,45
3181,Barompa Darma Wangchuk,12th Century,45
5790,Tumton Lodro Drakpa,12th Century,45
3957,Droton Dutsi Drakpa,12th Century,45
6393,Chokyi Lama,12th Century,45
4359,Sanggye Gompa Sengge,12th Century,45
2781,Jampa Bum,12th Century,45
13237,Chennga Rinchen Zangpo,12th Century,45
620,Damcho Lingpa,12th Century,45
7636,Yelpa Yeshe Tsek,12th Century,45
6721,Rinchen Sherab,12th Century,45
2919,Sonam Tsemo,12th Century,45
2915,Drakpa Gyeltsen,12th Century,45
13434,Zhonnu Rinchen,12th Century,45
13439,Sonyompa Sherab Pel,12th Century,45
13444,Shen Gonkarwa Dorje Wangchuk,12th Century,45
13440,Drubtob Nyakre Sewo,12th Century,45
13447,Drubchen Bardrokpa,12th Century,45
6491,Doton Sherab Drakpa,12th Century,45
6726,Rokben Sherab O,12th Century,45
7373,Chegompa Sherab Dorje,12th Century,45
11471,Ngok Kunga Dorje,12th Century,45
13442,Dorje Khyung,12th Century,45
2916,Sachen Kunga Nyingpo,12th Century,45
2798,Kunden Repa,12th Century,45
13534,Tsepo Tsawarong,12th Century,45
4301,Yumo Mikyo Dorje,12th Century,45
7521,Trulzhik Menpa,12th Century,45
7462,Tashi Gon,12th Century,45
5313,Sumton Yeshe Zung,12th Century,45
10258,Layakpa Jangchub Ngodrub,12th Century,45
6749,Yabzang Choje Chokyi Monlam,12th Century,45
6756,Zarawa Kelden Yeshe Sengge,12th Century,45
5791,Chekhawa Yeshe Dorje,12th Century,45
6578,Sanggye Dorje,12th Century,45
7637,Tishri Repa Sherab Sengge,12th Century,45
2593,Shupu Namkha Sengge,12th Century,45
2595,Chennga Drakpa Jungne,12th Century,45
2789,Nyo Gyelwa Lhanangpa Sanggye Rinchen,12th Century,45
4175,Rokam Nyima Sherab,12th Century,45
8912,Nyima Bum,12th Century,45
3890,Gurawa Tsultrim Dorje,12th Century,45
5,Gyergom Tsultrim Sengge,12th Century,45
13066,Vairocanavajra,12th Century,45
61,Dorje Sherab,12th Century,45
495,Chetsun Sengge Wangchuk,12th Century,45
6285,Khyungpo Neljor,12th Century,45
1726,Sumpa Lotsāwa Darma Yonten,12th Century,45
2561,Lobpon Tsilungpa,12th Century,45
2606,Ngoje Repa,12th Century,45
13232,Pelchen Ngepuwa,12th Century,45
13091,Drogon Dutsi Gyeltsen,12th Century,45
13233,Chennga Namtsowa,12th Century,45
6037,Ga Lotsāwa Zhonnu Pel,12th Century,45
4368,Taklungtangpa Tashi Pel,12th Century,45
2899,Jikten Gonpo Rinchen Pel,12th Century,45
2591,Neuzurpa Yeshe Bar,12th Century,45
1728,Pelchok Dangpo Dorje,12th Century,45
11453,Nyamme Śākya Yeshe,12th Century,45
10280,Mitrayogin,12th Century,45
13429,Chennga Darma Tsultrim,12th Century,45
13430,Chennga Rinchen Jungne,12th Century,45
13238,Dordzin Gowoche,12th Century,45
13436,Drubtob Sengge Yeshe,12th Century,45
13239,Gejong Tashi Bum,12th Century,45
13242,Rinchen Jangchub,12th Century,45
13443,Jangtang Repa,12th Century,45
6147,Khenpo Zopa,12th Century,45
13445,Lobpon Gonkarwa,12th Century,45
13446,Nyene Rinchen Drak,12th Century,45
6159,Parpuwa Lodro Sengge,12th Century,45
11865,Tsangpa Gyare Yeshe Dorje,12th Century,45
5527,Niṣkalaṅka,12th Century,45
6405,Tropu Lotsāwa Jampa Pel,12th Century,45
3182,Zhang Yudrakpa Tsondru Drakpa,12th Century,45
6962,Dzeng Dharmabodhi,12th Century,45
7673,Wolkhawa Drolgom Choyung,12th Century,45
3168,Gampopa Sonam Rinchen,12th Century,45
6134,Tsondru Sengge,12th Century,45
13240,Geshe Yakru Peldrak,12th Century,45
13234,Lobpon Tsangpa Jamseng,12th Century,45
3178,Milarepa,12th Century,45
6441,Tolungpa Rinchen Nyingpo,12th Century,45
5822,Jayulwa Zhonnu Wo,12th Century,45
13431,Choje Gangpa Rinchen Wozer,12th Century,45
5312,Yutok Yonten Gonpo,12th Century,45
6547,Lhachuk Kharwa Nyida O,12th Century,45
2137,Sakya Paṇḍita Kunga Gyeltsen,12th Century,45
2683,Dusum Khyenpa,12th Century,45
5999,Nyangrel Nyima Wozer,12th Century,45
6895,Zhangtsun Dorje Wozer,12th Century,45
6194,Rongzom Chokyi Zangpo,12th Century,45
2638,Duldzinpa Takmapa Kawa Darseng,12th Century,45
2973,Khyunggo Tsel,12th Century,45
5997,Pelchen Chokyi Yeshe,12th Century,45
13462,Machik Rema,12th Century,45
13080,Bonzhik Khyungnak,12th Century,45
13083,Trulzhik Dombu,12th Century,45
13061,Ngok Jo Tsultrim Sherab,12th Century,45
3175,Dakpo Duldzin,12th Century,45
13090,Yorpo Mepel,12th Century,45
3165,Gomchung Sherab Jangchub,12th Century,45
3169,Gompo Tsultrim Nyingpo,12th Century,45
2504,Machik Zhama,12th Century,45
6367,Kyobpa Pel Zangpo,12th Century,45
8460,Khyungtsangpa Yeshe Lama,12th Century,45
11877,Lingrepa Pema Dorje,12th Century,45
