community_id,community_name,image_credit,image_date_taken,image_license,image_source_url,image_path
9,Katok,NULL,NULL,NULL,NULL,/uploads/communities/94fd5-Kathok.jpg
10,Mindroling,NULL,NULL,NULL,NULL,/uploads/communities/19147-62481.jpg
11,Dorje Drak,Rubin Museum of Art,NULL,NULL,NULL,/uploads/communities/9dd26-dorjedrak.png
12,Dzogchen Monastery,http://www.dzogchenmonastery.cn/,NULL,NULL,NULL,/uploads/communities/d81d7-dzogchen.jpg
13,Shechen,Matthieu Ricard,NULL,NULL,http://matthieuricard.draak.typhon.net/system/images/W1siZiIsIjIwMTMvMDQvMDUvMjNfMzBfMDFfODE4X0tIQU1fMjAxMl9NUl8wMzQuSlBHIl1d/KHAM-2012-MR-034.JPG,/uploads/communities/2745b-KHAM-2012-MR-034.jpeg
14,Pelyul Monastery,NULL,NULL,NULL,NULL,/uploads/communities/ab814-DSC_0086.jpg
15,Sekhar Gutok,Andrew Quintman,NULL,NULL,NULL,/uploads/communities/1c305-quintman-sekhar.jpg
32,Ngor Ewaṃ Choden,NULL,NULL,NULL,NULL,/uploads/communities/743b7-ngor.jpg
35,Zhalu,Himalayan Art Resources,NULL,NULL,NULL,/uploads/communities/8b810-zhalugon.jpg
36,Ganden,Philipp Roelli,NULL,NULL,http://upload.wikimedia.org/wikipedia/commons/a/a5/Ganden_monastery.jpg,/uploads/communities/50736-Ganden_monastery.jpg
37,Sera Monastery,NULL,NULL,NULL,NULL,/uploads/communities/02d81-2011083108583332.jpg
38,Drepung Monastery,Harry Staunton. The Tibet Album. 'Drepung monastery from a distance' 05 Dec. 2006. The Pitt Rivers Museum.,NULL,NULL,http://tibet.prm.ox.ac.uk/photo_1999.23.1.17.1.html,/uploads/communities/cf486-Drepung1.jpg
39,Tashilhunpo,Arthur Hopkinson. The Tibet Album. The British Museum. Accessed 14 August. 2017,NULL,NULL,http://tibet.prm.ox.ac.uk/photo_BMH.COL.17.1.html,/uploads/communities/4d8d7-tashilhunpo.jpg
40,Kumbum Jampa Ling,"Gombojab Tsybikov, Wikimedia Commons",NULL,Public Domain,https://commons.wikimedia.org/wiki/File:%D0%A6%D1%8B%D0%B1%D0%B8%D0%BA%D0%BE%D0%B2_%D0%9C%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C_%D0%A2%D1%83%D0%BC%D0%B1%D1%83%D0%BC_%D0%9C%D0%BE%D0%BD%D0%B3%D0%BE%D0%BB%D0%B8%D1%8F_1900%D0%B5.JPG,/uploads/communities/5ef1c-_Monastir_Tumbum_Mongoliya_1900e.jpeg
41,Labrang Tashikhyil,Himalayan Art Resources,NULL,NULL,http://www.himalayanart.org/image.cfm/1097.html,/uploads/communities/130a1-Labrang-1097.jpg
43,Adzom Gar,Evgenia Yedutova,NULL,NULL,NULL,/uploads/communities/ac422-in-Adzom-Gar.jpg
44,Nyoshul Jonpalung Monastery,NULL,NULL,NULL,NULL,/uploads/communities/9c661-image009.jpg
45,Zha Lhakhang,Hugh Richardson,NULL,NULL,NULL,/uploads/communities/1d265-zhai-lhakhang.jpg
48,Dodrubchen Monastery,NULL,NULL,NULL,http://www.chinabuddhismencyclopedia.com/en/index.php?title=File:Dodrupchen_Monastery_1.jpg,/uploads/communities/9e554-Dodrupchen_Monastery_1.jpg
52,Dratang,Himalayan Art Resource,NULL,NULL,http://www.himalayanart.org/image.cfm/55601.html,/uploads/communities/e2ccb-Dratang.jpg
62,Nartang,NULL,NULL,NULL,NULL,/uploads/communities/c2992-nartang.jpg
63,Daklha Gampo,NULL,NULL,NULL,NULL,/uploads/communities/3ae2f-Unknown.jpeg
64,Densatil,NULL,NULL,NULL,http://asiasociety.org/blog/asia/scholar-spy-who-saw-tibets-densatil-monastery-all-its-glory,/uploads/communities/32af2-140207_densy_archival_monastery.jpg
67,Tropu Monastery,NULL,NULL,NULL,NULL,/uploads/communities/1d7b2-thumb_65868.jpeg
68,Tsel Gungtang,Diana Lange,2012-05-31,CC BY-NC-ND,NULL,/uploads/communities/17e40-gungtang.jpeg
80,Taklung Monastery,Sir Charles Bell or Rabten Lepcha,1921-09-01,NULL,http://tibet.prm.ox.ac.uk/photo_1998.286.165.html,/uploads/communities/b471a-Taklung.jpg
82,Drigung Til,Alberrosidus,NULL,NULL,http://upload.wikimedia.org/wikipedia/commons/4/49/Drigung_monastery.jpg,/uploads/communities/a6d9e-Drigung_monastery-2.jpg
