incarnation_lineages_id (PK),BDRC R ID,TOL R ID,Incarnation Name,Tradition 1,Tradition ID 1,Tradition 2,Tradition ID 2,Wylie,Tibetan,Chinese,BDRC G ID,TOL G ID,description
1,R11MS152,1,Adzom Drukpa,Nyingma,1,,,a 'dzom 'brug pa,ཨ་འཛོམ་འབྲུག་པ།,,G188,TOLG43,"<p>
        The Adzom Drukpa incarnation line has its seat at <a href=""/geographies/view/Adzom-Gar/TBRC_G188"">Adzom Gar</a> in Pelyul. The <a href=""/biographies/view/First-Adzom-Drukpa,-Drodul-Pawo-Dorje/TBRC_P6002"">First Adzom Drukpa, Drodul Pawo Dorje</a> was a major Nyingma figure of late nineteenth century Kham.</p>
"
2,R8LS13083,2,Amchok,Geluk,27,,,a mchog,ཨ་མཆོག།,,G393; G1962,"TOL480, TOL718","<p>
	The Amchok is a Geluk incarnation line which was established in the 18th century. The King of Amchok kingdom, covering much of southeast Amdo, gave the First Amchok Sonam Chopel his title. The line was established when the&nbsp;<a href=""/biographies/view/Second-Amchok-Konchok-Tenpai-Gyeltsen/TBRC_P2976"">Second Amchok Konchok Tenpai Gyeltsen</a>&nbsp;was recognized as the reincarnation of Sonam Chopel. The Amchok lamas&#39; seats were&nbsp;<a href=""/geographies/view/Amchok-Monastery/TBRC_G393"">Amchok Monastery</a>&nbsp;and&nbsp;<a href=""/geographies/view/Amchok-Tsenyi/TBRC_G1962"">Amchok Tsenyi</a>&nbsp;Monastery.</p>
"
3,R8LS13071,3,Amdo Zhamar,Geluk,27,,,a mdo zhwa dmar,ཨ་མདོ་ཞྭ་དམར།,,G271; G162; G1PD96117,"TOL401, TOL450, TOL375","<p>
	An important Geluk incarnation line in Amdo with seats at&nbsp;<a href=""/geographies/view/Lamo-Dechen/TBRC_G271"">Lamo Dechen</a>,&nbsp;<a href=""/geographies/view/Labrang-Tashikyil/TBRC_G162"">Labrang Tashikyil</a>&nbsp;and&nbsp;<a href=""/geographies/view/Ditsa/TBRC_G1PD96117"">Ditsa</a>&nbsp;monasteries. The line dates from the mid-17th century. Ditsa was founded in 1903 by the Fourth Amdo Zhamar&nbsp;<a href=""/biographies/view/Gendun-Tendzin-Gyatso/TBRC_P196"">Gendun Tendzin Gyatso</a>. The Sixth Amdo Zhamar,&nbsp;<a href=""/biographies/view/Lobzang-Jigme-Tendzin-Gyatso/TBRC_P8LS12692"">Lobzang Jigme Tendzin Gyatso</a>, was forced to spend much of his short life herding cattle due to the Cultural Revolution.</p>
"
4,R8LS13073,4,Belmang,Geluk,27,,,dbal mang ,དབལ་མང་།,,G162; G301,"TOL450, TOL361","<p>
	The&nbsp;<a href=""/biographies/view/First-Belmang,-Lobzang-Dondrub/TBRC_P3924"">First Belmang, Lobzang Dondrub</a>, was the ninth throne holder of&nbsp;<a href=""/geographies/view/Labrang/TBRC_G162"">Labrang</a>. A Geluk incarnation line, the line&#39;s seats were at Labrang Tashikyl and&nbsp;<a href=""/geographies/view/Shitsang/TBRC_G301"">Shitsang</a>&nbsp;monasteries. The line dates from the 18th century with the&nbsp;<a href=""/biographies/view/Second-Jamyang-Zhepa/TBRC_P169"">Second Jamyang Zhepa</a>&#39;s recognition of the&nbsp;<a href=""/biographies/view/Second-Belmang,-Konchok-Gyeltsen/TBRC_P176"">Second Belmang, Konchok Gyeltsen</a>, as the reincarnation of Lobzang Dondrub.</p>
<p>
	&nbsp;</p>
"
5,R-NUMBER,5,Belmang Chungwa,Geluk,27,,,dbal mang chung ba,དབལ་མང་ཆུང་བ།,,G162 ,TOLG41,"<p>
	A Geluk incarnation line, the Belmang Chungwa incarnations should not be confused with the Belmang incarnations. The <a href=""/biographies/view/Second-Belmang-Chungwa-Konchok-Chopel/TBRC_P1765"">Second Belmang Chungwa, Konchok Chopel</a> was recognized by the <a href=""/biographies/view/Second-Jamyang-Zhepa-Konchok-Jigme-Wangpo/TBRC_P169"">Second Jamyang Zhepa, Konchok Jigme Wangpo</a> as the reincarnation of a recently deceased teacher named Tashi Gyatso of the Tantric College at <a href=""/geographies/view/Labrang-Tashikyil/TBRC_G162"">Labrang Tashikyil</a>. Like the Belmang incarnations, the line&#39;s seat was also at Labrang.</p>
"
6,R8LS12788,6,Chakra,Geluk,27,,,lcags ra,ལྕགས་ར།,,G180,TOLG237,"<p>
	A Geluk incarnation line dating from the fifteenth century with its seat at <a href=""/geographies/view/Chamdo-Jampa-Ling/TBRC_G180"">Chamdo Jampa Ling</a> in Chamdo. The Chakra tulkus are said to be emanations of Vajrapāṇi. The <a href=""/biographies/view/First-Chakra-Tulku-Sanggye-Peljor/TBRC_2ag2"">First Chakra Tulku Sanggye Peljor</a> was the nephew and disciple of the <a href=""/biographies/view/First-Pakpa-Lha/TBRC_P427"">First Pakpa Lha</a>, whom he assisted in establishing numerous monasteries across Southeastern Tibet.</p>
"
7,R8LS13249,7,Chakri Nyidrak,Nyingma,1,,,chags ri nyi grags,ཆགས་རི་ཉི་གྲགས།,,G1KR1686,TOLG426,"<p>
	The Chakri Nyidrak line of incarnations, aslo known as the Nyitrul line, originated with <a href=""/biographies/view/Terchen-Nyima-Drakpa/TBRC_p425"">Terchen Nyima Drakpa</a>, the prolific seventeenth-century treasure revealer. The line&#39;s seats are at <a href=""/geographies/view/Tamogang-Kelzang-Puntsok-Ling/TBRC_g491"">Tamogang Kelzang Puntsok Ling</a> and <a href=""/geographies/view/Sindzong-Osel-Drubde-Chakri/TBRC_G1KR1686"">Sindzong Osel Drubde Chakri</a> monasteries.</p>
"
8,R8LS13162,8,Chaktsa,Nyingma,1,,,phyag tsha,ཕྱག་ཚ།,,G518,TOLG421,"<p>
	The Chaktsa incarnations were a Nyingma line based at <a href=""/geographies/view/Getse-Tralek-Monastery/TBRC_G518"">Getse Tralek Monastery</a>. Beginning with the <a href=""/biographies/view/Second-Chaktsa,-Kunzang-Tenpai-Nyinje/TBRC_P7986"">Second Chaktsa, Kunzang Tenpai Nyinje</a>, the lamas were enthroned at <a href=""/geographies/view/Katok-Dorjeden-Monastery/TBRC_G17"">Katok Dorjeden Monastery</a> and resided at their seat monastery of Getse Tralek. The line dates from the middle of the eightenth century in the person of <a href=""/biographies/view/Kunzang-Ngedon-Wangpo/TBRC_P10542"">Kunzang Ngedon Wangpo</a>.</p>
"
9,R8LS13058,9,Changkya,Geluk,27,,,lcang skya,ལྕང་སྐྱ།,,G165,TOLG156,"<p>
	The Changkya incarnation line is based at <a href=""/geographies/view/Gonlung-Jampa-Ling/TBRC_G165"">Gonlung Jampa Ling</a>, one of the four most important Geluk monasteries in Amdo. Many of the Changkya lamas had a close relationship with the Qing court. The <a href=""/biographies/view/Second-Changkya-Ngawang-Lobzang-Choden/TBRC_P209"">Second Changkya Ngawang Lobzang Choden</a> was a close teacher of the Kangxi Emperor and responsible for the initial spread of the Geluk tradition of Tibetan Buddhism in the high circles of the Qing dynasty. The <a href=""/biographies/view/Third-Changkya-Rolpai-Dorje/TBRC_P182"">Third Changkya Rolpai Dorje</a> served as the Qianlong emperor&#39;s main Buddhist translator, tutor, and National Preceptor.</p>
"
10,R8LS13109,10,Chesho,Geluk,27,,,che shos,ཆེ་ཤོས།,,G160,TOLG40,"<p>
	The Chesho Tulku is a Geluk incarnation line dating from the early eighteenth century with a seat at <a href=""/geographies/view/Kumbum-Jampaling/TBRC_G160"">Kumbum Jampaling</a> in Amdo. The line originated with <a href=""/biographies/view/Ngwawang-Shedrub-Tenpai-Nyima/TBRC_p283"">Ngwawang Shedrub Tenpai Nyima</a>, who was recognized as the reincarnation of <a href=""/biographies/view/Ngawang-Tenpa/TBRC_p1981"">Ngawang Tenpa</a>, the thirty-third abbot of Kumbum.</p>
"
