Incarnation Name,Incarnation BDRC ID,Incarnation TOL ID,Parent lineage TOL ID,Preceding incarnation member TOL ID,Incarnation Sequence,Ordinal,Person BDRC ID,Person TOL ID,Branched Lineage,New Seat Established,Notes,,,,
Adzom Drukpa,R11MS152,1,,,1,1,P6002,8574,FALSE,,,,,,
Adzom Drukpa,R11MS152,1,,,2,2,P8099,10793,FALSE,,,,,,
Amchok,R8LS13083,2,,,1,1,P8LS12849,13760,FALSE,,,,,,
Amchok,R8LS13083,2,,,2,2,P2976,4727,FALSE,,,,,,
Amchok,R8LS13083,2,,,3,3,P1498,2787,FALSE,,,,,,
Amchok,R8LS13083,2,,,4,4,P8LS13082,13761,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,1,1,P1750,3064,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,2,2,P8LS12690,13175,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,3,3,P373,6099,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,4,4,P196,3296,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,5,5,P8LS12691,13176,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,6,6,P8LS12692,13177,FALSE,,,,,,
Amdo Zhamar,R8LS13071,3,,,7,7,P8LS12693,13757,FALSE,,,,,,
Belmang,R8LS13073,4,,,1,1,P3924,6312,FALSE,,,,,,
Belmang,R8LS13073,4,,,2,2,P176,3074,FALSE,,,,,,
Belmang,R8LS13073,4,,,3,3,P5367,7881,FALSE,,,,,,
Belmang,R8LS13073,4,,,4,4,P5368,7882,FALSE,,,,,,
Belmang,R8LS13073,4,,,5,5,P5369,7883,FALSE,,,,,,
Belmang Chungwa,,5,,,2,2,P1765,3080,FALSE,,,,,,
Chakra,R8LS12788,6,,,1,1,P2AG2,13095,FALSE,,,,,,
Chakra,R8LS12788,6,,,2,2,P2AG3,13096,FALSE,,,,,,
Chakra,R8LS12788,6,,,3,3,P2AG4,13097,FALSE,,,,,,
Chakra,R8LS12788,6,,,4,4,P8864,11618,FALSE,,,,,,
Chakra,R8LS12788,6,,,5,5,P2JM411,5137,FALSE,,,,,,
Chakra,R8LS12788,6,,,6,6,P2AG1,13094,FALSE,,,,,,
Chakra,R8LS12788,6,,,7,7,P2AG5,13098,FALSE,,,,,,
Chakra,R8LS12788,6,,,8,8,P2AG6,13099,FALSE,,,,,,
Chakra,R8LS12788,6,,,8,8,P2AG6,13099,FALSE,,,,,,
Chakra,R8LS12788,6,,,9,9,P2AG7,13100,FALSE,,,,,,
Chakra,R8LS12788,6,,,10,10,P2AG9,13101,FALSE,,,,,,
Chakri Nyidrak,R8LS13249,7,,,1,1,P425,6668,FALSE,,,,,,
Chakri Nyidrak,R8LS13249,7,,,2,2,P692,9546,FALSE,,,,,,
Chakri Nyidrak,R8LS13249,7,,,3,3,P7732,10412,FALSE,,,,,,
Chakri Nyidrak,R8LS13249,7,,,4,4,P7733,10413,FALSE,,,,,,
Chakri Nyidrak,R8LS13249,7,,,5,5,P7735,10415,FALSE,,,,,,
Chakri Nyidrak,R8LS13249,7,,,6,6,P7734,10414,FALSE,,,,,,
