Name,TOL ID,Wylie,Tibetan,Chinese,En Name Variants,Wylie Name Variants,Tibetan Name Variants,Family Type Id,Family Type,Family Type Wylie,Family Type Tibetan,Family Type Chinese,Lhasa Aristocracy Type English,Lhasa Aristocracy Type Wylie,Lhasa Aristocracy Type Tibetan,Lhasa Aristocracy Type Chinese,Description,BDRC ID,Members
Adro,TOL598,a gro,ཨ་གྲོ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
	One of the nine separate sub-clans of the Ga ancestral clan, also known as the Mu ancestral clan. <a href=""/biographies/view/Sonam-Chophel/TBRC_P8688"">Sonam Chophel</a>, the sixteenth abbot of Śrī Siṃha College at Dzogchen Monastery, was born in the district of Rudam in Kham to the Adro clan.</p>",C11MS164,11427
Akyong,TOL614,a skyong,ཨ་སྐྱོང་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The name of Akyong is said to have been the name of the first head of the clan. His son Tenzin inherited his position and was appointed as chieftain by the Qing court, which included the duties of administrative leader, commander of the armed forces, and regulator and enforcer of the rules. When Tenzin's son Tsering Puntsok was in power, a new branch of the tribe formed, which came to be known as Gongma. Tsering Puntsok had two sons: Tsewang Bum, who had no sons of his own, and Danlong, who inherited his elder brother's position and passed it on to his own sons. The eldest of Danlong's four sons initiated the Khangsar family, which means &quot;new house,&quot; while the second son took charge of the main line of the Akyong clan and renamed it Khanggen, or &quot;old house.&quot; Danlong's fourth son was the first head of the Gongma, the name of which refers to the location of the family in the upper, or higher part of the valley. Together these three&mdash;Khangsar, Khanggen, and Gongma&mdash;made up the three divisions of the Akyong clan. <a href=""/biographies/view/Do-Khyentse-Yeshe-Dorje/TBRC_P698"">Do Khyentse Yeshe Dorje</a> was born into this clan in the nineteenth century.</p>",C11MS165,9612; 13864; 13868
Apang,TOL698,a phang,ཨ་ཕང་།,,,a paM; a pang,ཨ་པཾ་; ཨ་པང་།,4,clan,rigs,རིགས།,氏族,,,,,<p>We do not have more information on this clan.</p>,,8651
Arik,TOL600,a rig,ཨ་རིག།,,Sogwo Arik; Sokwo Arik; Arig; Ga Arik,sga a rig,སྒ་ཨ་རིག།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Arik clan, known also as Sokwo Arik, is a large, traditionally nomadic group of Tibetan-speaking Mongols native to Amdo's Mount Amnye Machen, eastern Yarmotang and Drakar Treldzong, areas that are part of present-day Qinghai. In the 16th century, leaders of the Arik clan are said to have invited the <a href=""/biographies/view/Third-Dalai-Lama-Sonam-Gyatso-/TBRC_P999"">Third Dalai Lama Sonam Gyatso </a>to spread Buddhism in the area. </p>
<p>
        According to The Treasure of the Ancestral Clans of Tibet, based on the Golok Rudzod, the ancestral <a href=""/communities/view/Mu-clan/TBRC_C11MS138"">Mu clan</a> is also known by different names, such as dmu tsha sga, thang le sga, rmu, dmu and sga. They were said to hold the three vast plains of Kham Yarmotang, the Jang Karmotang and Tsongkha Lakyitang of Amdo. The Ga includes nine separate sub-clans including the Arik: Adro/ sga a gro, Arik/ sga arik, Adruk/ sga a &lsquo;brug, Atrom/a khrom and Ashing/ sga shing, established by the nine separate children of dmu tsha sga.</p>",C75,5479
Azha,TOL602,'a zha,འ་ཞ་།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Azha kingdom settled around Lake Kokonor, and its people became known as the Azha. In the 7th century, King Songtsen Gampo defeated the Azha and subsumed them into the Tibetan empire. Thus the Azha became a new Tibetan clan or tribe. Songtsen's son Gungri Gungtsen's queen was Azha. Gene Smith notes in Among Tibetan Texts that the Se ancestral clan included the Azha.</p>",C11MS166,
Ba,TOL592,sba,སྦ།,,,dba,དབ།,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        A clan that supported the winning Indian side in the so-called Samye Debate in the 8th century. <a href=""/biographies/view/Ba-Selnang/TBRC_P5658"">Ba Selnang</a> of Ba clan, a figure in King Trisong Detsen's court, is thought to have written The Testament of Ba (sba bzhed), the earliest surviving history of Tibet.</p>",,
Ban,TOL601,ban,བན།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Ban clan originated from the ministers of Nyangro Chekar (myang ro mched dkar), one of the 12 kingdoms of Tibet's pre-imperial period. The Ban clan is a branch of the Drokmi clan. <a href=""/biographies/view/Drokmi-Lotsāwa/TBRC_P3285"">Drokmi Lotsāwa</a> was a member of this clan.</p>",C11MS168,5615
Begu,TOL649,be gu,བེ་གུ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Begu family lived on the Gyer estate in the Yarlung valley, where they were hereditary chiefs in the area, along with the Negu clan. The Begu family is of the Khangsar, or 'new house', family. In this lineage, the elder brother would become a monk and the head of the Trandruk temple while the younger brother would become a householder and inherit the non-religious post of his father, a general.</p>",C11MS137,5
Ber,TOL604,ber,བེར།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        We do not have much information about the Ber clan. Trulzhik Dombu, the second lineage holder of the <em>Nyengyu Rigpa Cherthong</em> cycle of Bon Dzogchen teaching, was born to the Ber clan.</p>",,13083
Bitsa,TOL683,sbi tsha,སྦི་ཚ།,,,,,4,clan,rigs,རིགས།,氏族,,,,,"<p>
        The Bitsa clan was a prominent clan in the Golok region. The <a href=""/biographies/view/Tenth-Karmapa/TBRC_P1382"">Tenth Karmapa, Choying Dorje</a> was a member of this clan.</p>",C11MS213,
