Name ,TOL ID,Root Community ID,Root Community Type,Wylie,Name Variants,Chinese,Description,BDRC ID,Members - Person ID
Adro,TOL598,4,Clan,a gro,,,"<p> One of the nine separate sub-clans of the Ga ancestral clan, also known as the Mu ancestral clan.&nbsp;<a href=""/biographies/view/Sonam-Chophel/TBRC_P8688"">Sonam Chophel</a>, the sixteenth abbot of Śrī Siṃha College at Dzogchen Monastery, was bo...",C11MS164,11427
Akyong,TOL614,4,Clan,a skyong,,,"<p> A clan of Golok. <span class=""biog-name-large""><a href=""/biographies/view/Do-Khyentse-Yeshe-Dorje/TBRC_P698"">Do Khyentse Yeshe Dorje</a> was born into this clan in the 19th century.&nbsp; Bod kyi gdung rus zhib &#39;jug notes that they were the chie...",C11MS165,9612
Apang,TOL698,4,Clan,a phang,,,"<p> Also spelled: a paM, a pang. We do not have more information on this clan.&nbsp;</p>",C-NUMBER,8651
Arik,TOL600,4,Clan,a rig,Sogwo Arik; Sokwo Arik; Arig; Ga Arik; sga a rig,,"<p> The Arik clan, known also as Sokwo Arik, is a large, traditionally nomadic group of Tibetan-speaking Mongols native to Amdo&#39;s Mount Amnye Machen, eastern Yarmotang and Drakar Treldzong, areas that are part of present-day Qinghai. In the 16th cen...",C75,5479
Azha,TOL602,4,Clan,a zha,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">The Azha kingdom settled around Lake Kokonor, and its people became known as the Azha. In the 7th century, King Songtsen...",C11MS166,
Ba,TOL592,4,Clan,sba,ba'; dba,,"<p> A clan that supported the winning Indian side in the so-called Samye Debate in the 8th century. <a href=""/biographies/view/Ba-Selnang/TBRC_P5658"">Ba Selnang</a> of Ba clan, a figure in King Trisong Detsen&#39;s court, is thought to have written The ...",C-NUMBER,
Ban,TOL601,4,Clan,ban,,,"<p> The Ban clan originated from the ministers of Nyangro Chekar (myang ro mched dkar), one of the 12 kingdoms of Tibet&#39;s pre-imperial period. The Ban clan is a branch of the Drokmi clan. <a href=""/biographies/view/Drokmi-Lotsāwa/TBRC_P3285"">Drokmi...",C11MS168,5615
Begu,TOL649,4,Clan,be gu,,,"<p> The Begu family lived on the Gyer estate in the Yarlung valley, where they were hereditary chiefs in the area, along with the Negu clan. The Begu family is of the Khangsar, or &#39;new house&#39;, family. In this lineage, the elder brother would bec...",C11MS137,5
Ber,TOL604,4,Clan,ber,,,"<p> We do not have much information about the Ber clan. Trulzhik Dombu, the second lineage holder of the <em>Nyengyu Rigpa Cherthong</em> cycle of Bon Dzogchen teaching, was born to the Ber clan.</p>",C-NUMBER,13083
Bitsa,TOL683,4,Clan,sbi tsha,,,"<p> The Bitsa clan was a prominent clan in the Golok region. The <a href=""/biographies/view/Tenth-Karmapa/TBRC_P1382"">Tenth Karmapa, Choying Dorje</a>&nbsp;was a member of this clan.&nbsp;</p>",C11MS213,
