Name,TOL ID,Family Type ID,Family Type Name,Wylie Name,Chinese,BDRC ID,Members
Adro,TOL598,,,a gro,,C11MS164,11427
Akyong,TOL614,,,a skyong,,C11MS165,9612
Apang,TOL698,,,a phang,,,8651
Arik,TOL600,,,a rig,,C75,5479
Azha,TOL602,,,a zha ,,C11MS166,
Ba,TOL592,,,sba,,,
Ban,TOL601,,,ban,,C11MS168,5615
Begu,TOL649,,,be gu,,C11MS137,5
Ber,TOL604,,,ber,,,13083
Bitsa,TOL683,,,sbi tsha,,C11MS213,
Bochung,TOL47,,,bo chung ,,C11MS131,
Chakdu Nyarong,TOL1011,,,lcags mdud nyag rong,,,8583
Chakgong,TOL211,,,lcag gong,,,9990
Chakhung,TOL605,,,lcag khung,,C11MS197,10457
Che,TOL46,,,lce,,C11MS198,495; 13456
Chim,TOL666,,,mchims,,C80,
Cho,TOL659,,,,,,
Chungpa,TOL147,,,gcung pa,,,
Dak,TOL281,,,dwags,,C11MS184,3168; 8868
Dawa,TOL51,,,zla ba,,,9612
Den Atub Tsang,TOL967,,,dan a thub tshang,,,11385; 13152
Denma,TOL658,,,ldan ma,,,
Depa Tonpo,TOL606,,,,,C11MS219,9213
Dilgo,TOL975,,,dil mgo,,,8825
Dong,TOL131,,,ldong,,C71,6110
Dra,TOL619,,,sbra,,C11MS169,2980
Drangti,TOL820,,,brang ti,,C11MS171,7718; 10452; 13246; 13788; 13794; 13795; 13797
Dre,TOL54,,,bre,,C11MS172,13057
Drenka ,TOL69,,,bran ka,,C11MS170,
Dro,TOL264,,,gro,,C11MS186,3957; 9590; 13509
Drokmi,TOL166,,,brog mi,,C11MS173,5615; 11117; 13077
Drom,TOL238,,,brom,,C11MS136,4267; 8730; 10687
Dru ('bru),TOL1156,,,bru,,,10561; 13572
Dru ('dru),TOL607,,,dru,,C11MS141,2180; 13135; 13174
Drumpa,TOL1519,,,bhruM pa,,C31,9289; 13722
Dzeng,TOL622,,,dzeng,,C11MS185,2598
Dzongchung,TOL568,,,rdzong chung,,,
Ga (dga'),TOL1040,,,dga',,,3072; 6331; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 13502; 13550
Ga (rgwa),TOL623,,,rgwa,,C11MS207,6037
Gar ,TOL675,,,mgar,,C63,8460; 8571; 10824
Gar Ratsang ,TOL220,,,mgar ra tsang,,,10315; 13072; 13598
Gazi,TOL79,,,ga zi,,,3101; 4368
Getse,TOL55,,,dge rtse,,C2CN10983,9579
Go ('gos),TOL664,,,gos,,,5500; 5803
Go (sgo),TOL176,,,sgo,,C11MS220,9372; 13132; 13140
Gung,TOL609,,,gung,,,
Gurib,TOL624,,,gu rib,,,13164
