community_id,lat,long,icon,map_priority_level_id,map_display_name,map_display_name_script
1140,39.0792,113.5647,Mountain,1,Wutai Shan,རི་བོ་རྩེ་ལྔ།
12,32.13334,98.85,,1,Dzogchen,རྫོགས་ཆེན།
35,29.1275302,88.9925362,,1,Zhalu,ཞྭ་ལུ།
39,29.26886,88.86982,,1,Tashilhunpo,བཀྲ་ཤིས་ལྷུན་པོ།
40,36.49005,101.56717,,1,Kumbum,སྐུ་འབུམ།
41,35.19405,102.50509,,1,Labrang,བླ་བྲང་།
95,29.72759,90.57773,,1,Tsurpu,མཚུར་ཕུ།
137,30,100.26667,,1,Litang,ལི་ཐང།
165,29.32651,91.5024,,1,Samye,བསམ་ཡས།
206,32.347915,101.176175,,1,Dzamtang,ཛམ་ཐང་།
207,31.80562234,98.58336378,,1,Gonchen ,དགོན་ཆེན།
244,29.446108,89.537805,,1,Menri,སྨན་རི།
273,34.07167,77.63281,,1,Shey,ཤེལ་དཀར་ཕོ་བྲང་།
352,31.483,79.798,,1,Toling,མཐོ་ལྡིང་།
374,35.508347,102.011267,,1,Rongwo,རོང་བོ།
527,32.136742,100.464239,,1,Larung Gar,བླ་རུང་སྒར།
566,39.94593,116.41104,,1,Yonghegong,དགའ་ལྡན་བྱིན་ཆགས་གླིང་།
603,28.902856,88.01731,,1,Sakya,ས་སྐྱ།
905,29.657925,91.117313,,1,Potala,པོ་ཏ་ལ།
1102,34.223707,77.175222,,1,Alchi Chokhor,ཨ་ལྕི།
1158,24.695102,84.991275,,1,Bodhgaya,རྡོ་རྗེ་གདན།
1280,47.92165,106.8938,,1,Ganden,དགའ་ལྡན།
9,31.31398,98.9414,,2,Katok,ཀཿ་ཐོག།
10,29.18413,91.40525,,2,Mindroling,སྨིན་གྲོལ་གླིང་།
11,29.32779,91.10756,,2,Dorje Drak,རྡོ་རྗེ་བྲག།
13,32.2663743,98.8857244,,2,Shechen,ཞེ་ཆེན།
14,31.2157,98.82179,,2,Pelyul,དཔལ་ཡུལ།
15,28.179,90.828,,2,Sekhar Gutok,སྲས་མཁར་དགུ་ཐོག།
32,29.1191914,88.8254028,,2,Ngor,ངོར།
36,29.75867,91.47614,,2,Ganden,དགའ་ལྡན།
37,29.69781,91.13272,,2,Sera,སེ་ར།
38,29.67677,91.04694,,2,Drepung,འབྲས་སྤུངས།
62,29.194314,88.7622636,,2,Nartang,སྣར་ཐང་།
63,29.1182847,92.8016965,,2,Daklha Gampo,དྭགས་ལྷ་སྒམ་པོ།
64,29.3003585,91.9720082,,2,Densatil,གདན་ས་མཐིལ།
68,29.63984,91.22002,,2,Tsel Gungtang,ཚལ་གུང་ཐང་།
82,30.1065934,92.2039065,,2,Drigung Til,འབྲི་གུང་མཐིལ།
