Monastery Head Lineage ID,Lineage Name -IGNORE,Person ID,Sequence,Ordinal Text,start_date_century_id,end_date_century_id,start_date,start_date_approx,start_date_alternate,end_date,end_date_approx,end_date_alternate
88,Drigung Gompa,13449,1,1,,,1179,,,,,
88,Drigung Gompa,13451,6,6,,,,,,,,
88,Drigung Gompa,13450,2,2,,,,,,,,
830,Je Khenpo,150,1,1,,,,,,,,
830,Je Khenpo,892,2,2,,,,,,,,
830,Je Khenpo,893,3,3,,,,,,,,
830,Je Khenpo,1479,4,4,,,,,,,,
830,Je Khenpo,905,5,5,,,,,,,,
830,Je Khenpo,907,6,6,,,,,,,,
830,Je Khenpo,910,7,7,,,,,,,,
830,Je Khenpo,911,8,8,,,,,,,,
830,Je Khenpo,914,9,9,,,,,,,,
830,Je Khenpo,943,10,10,,,,,,,,
830,Je Khenpo,956,11,11,,,,,,,,
830,Je Khenpo,931,12,12,,,,,,,,
830,Je Khenpo,969,13,13,,,,,,,,
830,Je Khenpo,935,14,14,,,,,,,,
830,Je Khenpo,963,15,15,,,,,,,,
830,Je Khenpo,940,16,16,,,,,,,,
830,Je Khenpo,964,17,17,,,,,,,,
830,Je Khenpo,970,18,18,,,,,,,,
830,Je Khenpo,1003,19,19,,,,,,,,
830,Je Khenpo,999,20,20,,,,,,,,
830,Je Khenpo,1847,21,21,,,,,,,,
830,Je Khenpo,975,22,22,,,,,,,,
830,Je Khenpo,986,23,23,,,,,,,,
830,Je Khenpo,1007,24,24,,,,,,,,
830,Je Khenpo,1008,25,25,,,,,,,,
830,Je Khenpo,1004,26,26,,,,,,,,
830,Je Khenpo,1846,27,27,,,,,,,,
830,Je Khenpo,1002,28,28,,,,,,,,
830,Je Khenpo,1000,29,29,,,,,,,,
830,Je Khenpo,1009,30,30,,,,,,,,
830,Je Khenpo,1005,31,31,,,,,,,,
830,Je Khenpo,1011,32,32,,,,,,,,
830,Je Khenpo,1012,33,33,,,,,,,,
830,Je Khenpo,1013,34,34,,,,,,,,
830,Je Khenpo,1016,35,35,,,,,,,,
830,Je Khenpo,1017,36,36,,,,,,,,
830,Je Khenpo,1018,37,37,,,,,,,,
830,Je Khenpo,1851,38,38,,,,,,,,
830,Je Khenpo,1019,39,39,,,,,,,,
830,Je Khenpo,1022,40,40,,,,,,,,
830,Je Khenpo,1023,41,41,,,,,,,,
830,Je Khenpo,1845,42,42,,,,,,,,
830,Je Khenpo,1028,43,43,,,,,,,,
830,Je Khenpo,1025,44,44,,,,,,,,
830,Je Khenpo,1032,45,45,,,,,,,,
830,Je Khenpo,1036,46,46,,,,,,,,
830,Je Khenpo,1038,47,47,,,,,,,,
830,Je Khenpo,1039,48,48,,,,,,,,
830,Je Khenpo,1040,49,49,,,,,,,,
830,Je Khenpo,1042,50,50,,,,,,,,
830,Je Khenpo,1015,51,51,,,,,,,,
830,Je Khenpo,1844,52,52,,,,,,,,
830,Je Khenpo,1010,53,53,,,,,,,,
830,Je Khenpo,1046,54,54,,,,,,,,
830,Je Khenpo,1044,55,55,,,,,,,,
830,Je Khenpo,1047,56,56,,,,,,,,
830,Je Khenpo,1049,57,57,,,,,,,,
830,Je Khenpo,1050,58,58,,,,,,,,
830,Je Khenpo,1218,59,59,,,,,,,,
830,Je Khenpo,1219,60,60,,,,,,,,
830,Je Khenpo,1221,61,61,,,,,,,,
830,Je Khenpo,1222,62,62,,,,,,,,
830,Je Khenpo,1223,63,63,,,,,,,,
830,Je Khenpo,1224,64,64,,,,,,,,
830,Je Khenpo,1225,65,65,,,,,,,,
830,Je Khenpo,1848,66,66,,,,,,,,
830,Je Khenpo,1227,67,67,,,,,,,,
830,Je Khenpo,1014,68,68,,,,,,,,
830,Je Khenpo,1220,69,69,,,,,,,,
830,Je Khenpo,1296,70,70,,,,,,,,
1,Katok Khenpo,2589,1,1,,,1159,,,1192,,
1,Katok Khenpo,10573,2,2,,,1192,,,1227,,
1,Katok Khenpo,2781,3,3,,,1227,,,1252,,
1,Katok Khenpo,2780,4,4,,,1252,,,1282,,
1,Katok Khenpo,7152,5,5,,,1282,,,1327,,
1,Katok Khenpo,10654,6,6,,,1327,,,1347,,
1,Katok Khenpo,10656,7,7,,,1347,,,1357,,
1,Katok Khenpo,10649,8,8,,,1339,,,1369,,
1,Katok Khenpo,10659,9,9,,,1369,,,1384,,
1,Katok Khenpo,10658,10,10,,,1384,,,1406,,
1,Katok Khenpo,10572,11,11,,,1406,,,1430,,
1,Katok Khenpo,7736,12,12,,,1430,,,,,
1,Katok Khenpo,10571,13,13,,,,,,1439,,
1,Katok Khenpo,13134,14,14,,,1439,,,,,
1,Katok Khenpo,4028,15,15,,,,,,,,
1,Katok Khenpo,2,,,,,1995,,,,,
1,Katok Khenpo,7144,,,,,,,,,,
1,Katok Khenpo,8539,,,,,,,,,,
1,Katok Khenpo,2992,,,,,,,,,,
1,Katok Khenpo,8580,,,,,,,,,,
10,Sera Trirab,5795,1,1,,,1419,0,,1435,,
10,Sera Trirab,6769,3,3,,,,0,,,,
10,Sera Trirab,7294,8,8,,,1467,0,1481,,,
10,Sera Trirab,8079,9,9,,,,0,,,,
10,Sera Trirab,2896,10,10,,,1516,0,1517,,,
10,Sera Trirab,11114,11,11,,,1528,0,,,,
10,Sera Trirab,7240,12,12,,,,0,,,,
10,Sera Trirab,1637,13,13,,,1546,0,,1554,,
10,Sera Trirab,5953,14,14,,,1554,0,,,,
10,Sera Trirab,12828,15,15,,,1558,0,,,,
10,Sera Trirab,3708,16,16,,,,0,,,,
10,Sera Trirab,3085,17,17,,,,0,,,,
10,Sera Trirab,9839,18,18,,,,0,,,,
10,Sera Trirab,3134,,,69,,,0,,,,
11,Drepung,5849,1,1,,,1416,0,,1449,,
11,Drepung,13286,2,2,,,1449,0,,,,
11,Drepung,6769,3,3,,,,0,,,,
11,Drepung,2912,4,4,,,,0,,,,
11,Drepung,13287,5,5,,,,0,,1492,,
11,Drepung,13288,6,6,,,,0,,,,
11,Drepung,6953,7,7,,,1481,0,,,,
11,Drepung,6782,8,8,,,,0,,,,
11,Drepung,13289,9,9,,,,0,,,,
11,Drepung,11114,10,10,,,1517,0,,1535,,
11,Drepung,1637,11,11,,,1535,0,,1551,,
11,Drepung,12828,12,12,,,1564,0,,,,
11,Drepung,3085,13,13,,,,0,,,,
11,Drepung,9839,14,14,,,,0,,,,
11,Drepung,6065,15,15,,,,0,,,,
11,Drepung,7002,,,,,,0,,,,
11,Drepung,12025,,,,,,0,,,,
12,Kumbum Trichen,6488,1,1,,,1621,0,,1623,0,
12,Kumbum Trichen,1542,2,2,,,1617,0,,,0,
12,Kumbum Trichen,13266,3,3,,,1621,0,,1623,0,
12,Kumbum Trichen,6902,4,4,,,1623,0,,1630,0,
12,Kumbum Trichen,5962,5,5,,,1630,0,,1638,0,
12,Kumbum Trichen,6903,6,6,,,1638,0,,1642,0,
12,Kumbum Trichen,5961,7,7,,,1642,0,,1648,0,
12,Kumbum Trichen,6904,8,8,,,1648,0,,1653,0,
12,Kumbum Trichen,6905,9,9,,,1653,0,,1658,0,
12,Kumbum Trichen,6906,10,10,,,1658,0,,1663,0,
12,Kumbum Trichen,6907,11,11,,,1663,0,,1668,0,
12,Kumbum Trichen,6908,12,12,,,1668,0,,1671,0,
12,Kumbum Trichen,6909,13,13,,,1671,0,,1676,0,
12,Kumbum Trichen,6911,14,14,,,1676,0,,1681,0,
