tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
1,P9767,shes rab rgyal mtshan,shes rab rgyal mtshan,shes rab rgyal mtshan,bo-x-ewts
5,P00AG02484,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,gyer sgom gnyis pa,bo-x-ewts
5,P00AG02484,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,Gyergom Nyipa,en
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,mdo khams sde dge rgyal rgan ma,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,tshe dbang rig 'dzin,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,jigs bral dpal ldan pa'i nyi ma 'chi med rtag pa'i rdo rje srid zhi'i dbang phyig don thams cad yongs su grub pa'i sde,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,Dokham Dege Gyelgenma,en
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,mandarava,en
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,man+DA ra ba,bo-x-ewts
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,ma gcig grub pa'i rgyal mo,bo-x-ewts
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,grub pa'i rgyal mo,bo-x-ewts
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,Machik Drubpai Gyelmo,en
14,P00EGS1016297,blo gros rgyal mtshan,blo gros rgyal mtshan,blo gros rgyal mtshan,bo-x-ewts
19,P00EGS1016617,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,bo-x-ewts
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Rinchen Jungne Shiwa,en
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Ratnākara,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Śāntipā,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Śāntipa,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Śānti,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,dkon mchog 'byung gnas,bo-x-ewts
27,P00EGS1016698,bsod nams dbang rgyal,bsod nams dbang rgyal,bsod nams dbang rgyal,bo-x-ewts
29,P00EGS1016721,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug,rgya ra 08,bo-x-ewts
29,P00EGS1016721,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug,Gyara 08,en
37,P00EGS1016930,bkra shis rnam rgyal,bkra shis rnam rgyal,bkra shis rnam rgyal,bo-x-ewts
46,P00EGS1016970,blo bzang snyan grags,blo bzang snyan grags,blo bzang snyan grags,bo-x-ewts
50,P00EGS1017029,tshe dbang rig 'dzin,tshe dbang rig 'dzin,tshe dbang rig 'dzin,bo-x-ewts
51,P00EGS1017036,zam gdong rin po che blo bzang bstan 'dzin,zam gdong rin po che blo bzang bstan 'dzin,blo bzang bstan 'dzin,bo-x-ewts
55,P00EGS1017062,blo bzang dar rgyas,blo bzang dar rgyas,blo bzang dar rgyas,bo-x-ewts
61,P00EGS1017135,Dorje Sherab,rdo rje shes rab,Chennga Dorje Sherab,en
61,P00EGS1017135,Dorje Sherab,rdo rje shes rab,spyan snga rdo rje shes rab,bo-x-ewts
63,P00EGS1017158,rin chen rdo rje,rin chen rdo rje,rin chen rdo rje,bo-x-ewts
82,P00EGS1017418,dkon mchog bstan 'dzin,dkon mchog bstan 'dzin,dkon mchog bstan 'dzin,bo-x-ewts
84,P00EGS1017608,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,Gyelwa Jangchub,en
84,P00EGS1017608,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,rgyal ba byang chub,bo-x-ewts
86,P00EGS1017610,Langdro Konchok Jungne,lang gro dkon mchog 'byung gnas,Konchok Jungne,en
86,P00EGS1017610,Langdro Konchok Jungne,lang gro dkon mchog 'byung gnas,dkon mchog 'byung gnas,bo-x-ewts
