tol_id,tbrc_id,primary_name,name_variant,lang_tag
5,P00AG02484,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,bo-x-ewts
5,P00AG02484,Gyergom Tsultrim Sengge,gyer sgom gnyis pa,bo-x-ewts
5,P00AG02484,Gyergom Tsultrim Sengge,Gyergom Nyipa,en
5,P00AG02484,Gyergom Tsultrim Sengge,Gyergom Tsultrim Sengge,en
8,P00AG0401,Pelden Chime Takpai Dorje,tshe dbang rig 'dzin,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,mdo khams sde dge rgyal rgan ma,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,jigs bral dpal ldan pa'i nyi ma 'chi med rtag pa'i rdo rje srid zhi'i dbang   phyig don thams cad yongs su grub pa'i sde,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,Dokham Dege Gyelgenma,en
9,P00AG0428,Mandāravā,man+DA ra ba,bo-x-ewts
9,P00AG0428,Mandāravā,ma gcig grub pa'i rgyal mo,bo-x-ewts
9,P00AG0428,Mandāravā,grub pa'i rgyal mo,bo-x-ewts
9,P00AG0428,Mandāravā,Machik Drubpai Gyelmo,en
9,P00AG0428,Mandāravā,mandarava,en
23,P00EGS1016642,Ratnākaraśānti,dkon mchog 'byung gnas,bo-x-ewts
23,P00EGS1016642,Ratnākaraśānti,Śānti,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,Ratnākara,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,Śāntipā,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,Śāntipa,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,Rinchen Jungne Shiwa,en
29,P00EGS1016721,Lobzang Tendzin Chokyi Wangchuk,rgya ra 08,bo-x-ewts
29,P00EGS1016721,Lobzang Tendzin Chokyi Wangchuk,blo bzang bstan 'dzin chos kyi dbang phyug,bo-x-ewts
29,P00EGS1016721,Lobzang Tendzin Chokyi Wangchuk,Gyara 08,en
29,P00EGS1016721,Lobzang Tendzin Chokyi Wangchuk,Lobzang Tendzin Chokyi Wangchuk,en
61,P00EGS1017135,Dorje Sherab,spyan snga rdo rje shes rab,bo-x-ewts
61,P00EGS1017135,Dorje Sherab,Chennga Dorje Sherab,en
84,P00EGS1017608,Lasum Gyelwa Jangchub,rgyal ba byang chub,bo-x-ewts
84,P00EGS1017608,Lasum Gyelwa Jangchub,Gyelwa Jangchub,en
86,P00EGS1017610,Langdro Konchok Jungne,dkon mchog 'byung gnas,bo-x-ewts
86,P00EGS1017610,Langdro Konchok Jungne,Konchok Jungne,en
96,P00EGS1017620,Lang Pelgyi Sengge,dpal gyi seng+ge,bo-x-ewts
96,P00EGS1017620,Lang Pelgyi Sengge,Pelgyi Sengge,en
276,P00KG09732,Lhagyari Namgyel Gyatso,e lha rgya ri'i khri thog 17   rnam rgyal rgya mtsho,bo-x-ewts
276,P00KG09732,Lhagyari Namgyel Gyatso,rnam rgyal rgya mtsho,bo-x-ewts
303,P4CZ10564,Nanam Dorje Dudjom,rba khri gzigs,bo-x-ewts
303,P4CZ10564,Nanam Dorje Dudjom,rdo rje bdud 'joms,bo-x-ewts
303,P4CZ10564,Nanam Dorje Dudjom,Ba Trishi,en
303,P4CZ10564,Nanam Dorje Dudjom,Dorje Dudjom,en
490,P0RK1217,Kharchen Pelgyi Wangchuk,dpal gyi dbang   phyug,bo-x-ewts
490,P0RK1217,Kharchen Pelgyi Wangchuk,Pelgyi Wangchuk,en
494,P0RK1221,Dangma Lhungyel,ldang ma lhun gyi rgyal mtshan,bo-x-ewts
494,P0RK1221,Dangma Lhungyel,Dangma Lhungyi Gyeltsen,en
495,P0RK1222,Chetsun Sengge Wangchuk,seng ge dbang phyug,bo-x-ewts
495,P0RK1222,Chetsun Sengge Wangchuk,Sengge Wangchuk,en
620,P0RK1366,Damcho Lingpa,spyan snga sgam po,bo-x-ewts
620,P0RK1366,Damcho Lingpa,dwags po pa,bo-x-ewts
620,P0RK1366,Damcho Lingpa,rje dam chos gling pa,bo-x-ewts
620,P0RK1366,Damcho Lingpa,Chennga Gampopa,en
620,P0RK1366,Damcho Lingpa,Je Damcho Lingpa ,en
620,P0RK1366,Damcho Lingpa,Dakpopa,en
726,P0RK1485,Paṇchen Namkha Pelzang,nam mkha' dpal bzang,bo-x-ewts
726,P0RK1485,Paṇchen Namkha Pelzang,Namkha Pelzang,en
1029,P0RK27,Khenchen Sonam Pel,mkhan chen bsod nams dpal,bo-x-ewts
1035,P0RK28,Khenchen Tashi Tsultrim,mkhan chen bkra shis tshul,bo-x-ewts
1035,P0RK28,Khenchen Tashi Tsultrim,Khenchen Tashi Tsul,en
1108,P7743,Namkhai Nyingpo,gnub nam mkha' snying po,bo-x-ewts
1108,P7743,Namkhai Nyingpo,Nub Namkhai Nyingpo,en
1370,P8218,Khon Lui Wangpo,nA gendra rakSita ('khon klu'i dbang po bsrung ba),bo-x-ewts
1370,P8218,Khon Lui Wangpo,klu'i dbang po bsrung ba,bo-x-ewts
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po bsrung ba,bo-x-ewts
1370,P8218,Khon Lui Wangpo,Nāgandra Rakṣita,sa-x-iast
1370,P8218,Khon Lui Wangpo,Khon Nāgabhodi,en
1370,P8218,Khon Lui Wangpo,Lui Wangpo Sungwa,en
1370,P8218,Khon Lui Wangpo,Khon Lui Wangpo Sungwa,en
1564,P1003,Samten Gyatso,rong po mkhan rabs 03 bsam   gtan rgya mtsho,bo-x-ewts
1564,P1003,Samten Gyatso,g.yu rngog ma Ni pa bsam gtan   rgya mtsho,bo-x-ewts
1564,P1003,Samten Gyatso,yi ngogs 01 bsam gtan rgya mtsho,bo-x-ewts
1564,P1003,Samten Gyatso,"First Yingok, Samten Gyatso",en
1564,P1003,Samten Gyatso,Yungok Maṇipa Samten Gyatso,en
1575,P1004,Gyelwa Gyatso,chab mdo khri rabs 19 phags pa lha 05 rgyal ba rgya mtsho,bo-x-ewts
1575,P1004,Gyelwa Gyatso,rgyal ba rgya mtsho,bo-x-ewts
1575,P1004,Gyelwa Gyatso,rgyal ba rgya mtsho,bo-x-ewts
1575,P1004,Gyelwa Gyatso,stong 'khor 03 rgyal ba rgya   mtsho,bo-x-ewts
1575,P1004,Gyelwa Gyatso,Chamdo Trirab 19 Pakpa Lha 05 Gyelwa Gyatso,en
1575,P1004,Gyelwa Gyatso,blo bzang 'phags pa bsod nams lhun grub dge legs dpel bzang po,bo-x-ewts
1575,P1004,Gyelwa Gyatso,Lobzang Pakpa Sonam Lhundrub Gelel Pelzang,en
1575,P1004,Gyelwa Gyatso,Gyelwa Gyamtso,en
1586,P1005,Drubkhang Gelek Gyatso,dmig sa,bo-x-ewts
1586,P1005,Drubkhang Gelek Gyatso,dge legs rgya mtsho,bo-x-ewts
1586,P1005,Drubkhang Gelek Gyatso,Gelek Gyatso,en
1586,P1005,Drubkhang Gelek Gyatso,Migza,en
1628,P10090,Machik Jobum,jo 'bum,bo-x-ewts
1628,P10090,Machik Jobum,sprul sku jo 'bum,bo-x-ewts
1628,P10090,Machik Jobum,Tulku Jobum,en
1637,P101,Paṇchen Sonam Drakpa,dga' ldan khri chen 15 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,khri chen 15 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,dga' ldan khri pa 15 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,rtses thang paN chen bsod nams grags   pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,gzims khang gong ma 01 bsod nams   grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,Zimkhang Gongma Sonam Drakpa ,en
1637,P101,Paṇchen Sonam Drakpa,Trichen 15 Sonam Drakpa,en
1637,P101,Paṇchen Sonam Drakpa,Tsetang Paṇchen Sonam Drakpa ,en
1637,P101,Paṇchen Sonam Drakpa,Sonam Drakpa ,en
1639,P10100,Namgyel Gonpo,sras mchog rnam rgyal mgon po,bo-x-ewts
1639,P10100,Namgyel Gonpo,Sechok Namgyel Gonpo,en
1659,P1012,Tashi Peljor,dan ma grub thob,bo-x-ewts
1659,P1012,Tashi Peljor,bkra shis dpal 'byor,bo-x-ewts
1659,P1012,Tashi Peljor,si tu 03 bkra shis dpal 'byor,bo-x-ewts
1659,P1012,Tashi Peljor,sangs rgyas mnyan pa 01 bkra   shis dpal 'byor,bo-x-ewts
1659,P1012,Tashi Peljor,grub thob sangs rgyas mnyan pa,bo-x-ewts
1659,P1012,Tashi Peljor,Denma Drubtob,en
1659,P1012,Tashi Peljor,Drubtob Sanggye Nyenpa,en
1722,P1018,Langlab Jangchub Dorje,byang chub rdo rje,bo-x-ewts
1722,P1018,Langlab Jangchub Dorje,lang lab,bo-x-ewts
1722,P1018,Langlab Jangchub Dorje,Jangchub Dorje,en
1722,P1018,Langlab Jangchub Dorje,Langlab,en
1726,P10183,Sumpa Lotsāwa Darma Yonten,dar ma yon tan,bo-x-ewts
1726,P10183,Sumpa Lotsāwa Darma Yonten,lo tsA ba dar ma yon tan,bo-x-ewts
1726,P10183,Sumpa Lotsāwa Darma Yonten,Darma Yonten,en
1726,P10183,Sumpa Lotsāwa Darma Yonten,Lotsāwa Darma Yonten,en
1728,P10185,Pelchok Dangpo Dorje,sum pa lo tsA ba dpal mchog   dang po'i rdo rje,bo-x-ewts
1728,P10185,Pelchok Dangpo Dorje,Sumpa Lotsāwa Pelchok Dangpo Dorje,en
1754,P1021,Trulzhik Sengge Gyabpa,seng+ge rgyab pa,bo-x-ewts
1754,P1021,Trulzhik Sengge Gyabpa,Sengge Gyappa,en
1820,P1027,Muchen Sanggye Rinchen,sangs rgyas rin chen,bo-x-ewts
1820,P1027,Muchen Sanggye Rinchen,ngor mkhan chen 08 sangs rgyas rin   chen,bo-x-ewts
1820,P1027,Muchen Sanggye Rinchen,Sanggye Rinchen,en
1820,P1027,Muchen Sanggye Rinchen,Ngor Khenchen 08 Sanggye Rinchen,en
1831,P1028,Ga Rabjampa Kunga Yeshe,kun dga' ye shes,bo-x-ewts
1831,P1028,Ga Rabjampa Kunga Yeshe,thar lam rab 'byams pa kun   dga' ye shes,bo-x-ewts
1831,P1028,Ga Rabjampa Kunga Yeshe,Kunga Yeshe,en
1831,P1028,Ga Rabjampa Kunga Yeshe,Tarlam Rabjampa Kunga Yeshe,en
1852,P10299,Gendun Gyeltsen,lha sa ba dge 'dun rgyal   mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,dga' ldan khri chen 28 dge 'dun rgyal mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,rong chen dge 'dun rgyal mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,khri chen dge 'dun rgyal mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,dga' ldan khri pa 28 dge 'dun rgyal mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,khri chen 28,bo-x-ewts
1852,P10299,Gendun Gyeltsen,dge 'dun rgyal mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,ljags nag pa dge 'dun rgyal   mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,rgyud stod mkhan chen dge 'dun rgyal   mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,rong ba ljags nag pa dge 'dun rgyal   mtshan,bo-x-ewts
1852,P10299,Gendun Gyeltsen,Rongchen Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Jaknakpa Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Trichen Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Ganden Trichen 28 Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Lhasawa Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Trichen 28,en
1852,P10299,Gendun Gyeltsen,Rongwa Jaknakpa Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Ganden Tripa 28 Gendun Gyeltsen,en
1852,P10299,Gendun Gyeltsen,Gyuto Khenchen Gendun Gyeltsen,en
1869,P10313,Lodro Namgyel,blo bzang rnam rgyal,bo-x-ewts
1869,P10313,Lodro Namgyel,mkhas grub blo gros rnam rgyal,bo-x-ewts
1869,P10313,Lodro Namgyel,Khedrub Lodro Namgyel,en
1869,P10313,Lodro Namgyel,Lobzang Namgyel,en
1871,P10315,Samlo Sanggye Tashi,grub chen glang skar ba,bo-x-ewts
1871,P10315,Samlo Sanggye Tashi,bsam blo bla ma,bo-x-ewts
1871,P10315,Samlo Sanggye Tashi,mtsho snying ba bla ma,bo-x-ewts
1871,P10315,Samlo Sanggye Tashi,sangs rgyas bkra shis,bo-x-ewts
1871,P10315,Samlo Sanggye Tashi,glang dkar ba sangs rgyas bkra   shis,bo-x-ewts
1871,P10315,Samlo Sanggye Tashi,Langkarwa Sanggye Tashi,en
1871,P10315,Samlo Sanggye Tashi,Drubchen Langkarwa ,en
1871,P10315,Samlo Sanggye Tashi,Sanggye Tashi,en
1871,P10315,Samlo Sanggye Tashi,Samlo Lama ,en
1871,P10315,Samlo Sanggye Tashi,Tsonyingwa Lama ,en
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,dkon mchog dar,bo-x-ewts
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,mus chen sems dpa' chen po dkon mchog rgyal mtshan,bo-x-ewts
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,dkon mchog rgyal mtshan,bo-x-ewts
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,ngor mkhan chen 02 dkon mchog   rgyal mtshan,bo-x-ewts
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,sems dpa' chen po dkon mchog rgyal   mtshan,bo-x-ewts
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,mus chen dkon mchog rgyal mtshan,bo-x-ewts
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,Ngor Khenchen 02 Kongchok Gyeltsen,en
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,Sempa Chenpo Konchok Gyeltsen,en
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,Konchok Gyeltsen,en
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,Muchen Sempa Chenpo Konchok Gyeltsen,en
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,Muchen Konchok Gyeltsen,en
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,Konchok Dar,en
1901,P10342,Kunga Chopak Tubten Nyima,kun dga' chos 'phags thub bstan   nyi ma,bo-x-ewts
1901,P10342,Kunga Chopak Tubten Nyima,kir+ti 07 kun dga' chos 'phags   thub bstan nyi ma,bo-x-ewts
1902,P10343,Kelzang Lodro Kunga Lungtok Gyatso,bskal bzang blo gros kun dga'   lung rtogs rgya mtsho,bo-x-ewts
1902,P10343,Kelzang Lodro Kunga Lungtok Gyatso,kir+ti 09 bskal bzang blo gros   kun dga' lung rtogs rgya mtsho,bo-x-ewts
1903,P10344,Gendun Chokyi Wangchuk,dge 'dun chos kyi dbang phyug,bo-x-ewts
1903,P10344,Gendun Chokyi Wangchuk,kir+ti 06 dge 'dun chos kyi   dbang phyug,bo-x-ewts
1908,P1035,Drakpa Dorje,mi nyag paN+Di ta grags pa rdo   rje,bo-x-ewts
1908,P1035,Drakpa Dorje,Minyak Paṇḍita Drakpa Dorje,en
1930,P1037,Pelden Dorje,chos nyid rgya mtsho 03 dpal ldan rdo rje,bo-x-ewts
1930,P1037,Pelden Dorje,dpal ldan rdo rje,bo-x-ewts
1930,P1037,Pelden Dorje,rdor rje sa brtan,bo-x-ewts
1930,P1037,Pelden Dorje,mkhas grub dpal ldan rdo rje,bo-x-ewts
1930,P1037,Pelden Dorje,Chonyi Gyatso 03 Pelden Dorje,en
1930,P1037,Pelden Dorje,Pelden Dorje ,en
1930,P1037,Pelden Dorje,Dorje Saten,en
1930,P1037,Pelden Dorje,Khedrub Pelden Dorje,en
1963,P1040,Kunga Wangchuk,sa skya pa slob dpon chen po   kun dga' dbang phyug,bo-x-ewts
1963,P1040,Kunga Wangchuk,ngor mkhan chen 04 kun dga'   dbang phyug,bo-x-ewts
1963,P1040,Kunga Wangchuk,rgyal tshab dam pa kun dga' dbang   phyug,bo-x-ewts
1963,P1040,Kunga Wangchuk,sa skya bzhi thog 04 kun dga' dbang   phyug,bo-x-ewts
1963,P1040,Kunga Wangchuk,Gyeltsab Dampa Kunga Wangchuk,en
1963,P1040,Kunga Wangchuk,Ngor Khenchen 04 Kunga Wangchuk,en
1963,P1040,Kunga Wangchuk,Sakya Lobpon Chenpo Kunga Wangchuk,en
1974,P1041,Kunga Wangchuk,sa skya pa slob dpon chen po   kun dga' dbang phyug,bo-x-ewts
1974,P1041,Kunga Wangchuk,ngor mkhan chen 04 kun dga'   dbang phyug,bo-x-ewts
1974,P1041,Kunga Wangchuk,rgyal tshab dam pa kun dga' dbang   phyug,bo-x-ewts
1974,P1041,Kunga Wangchuk,sa skya bzhi thog 04 kun dga' dbang   phyug,bo-x-ewts
1974,P1041,Kunga Wangchuk,Gyeltsab Dampa Kunga Wangchuk,en
1974,P1041,Kunga Wangchuk,Ngor Khenchen 04 Kunga Wangchuk,en
1974,P1041,Kunga Wangchuk,Sakya Lobpon Chenpo Kunga Wangchuk,en
1981,P10416,Kyabdak Drubchok Wangpo,grub mchog dbang po,bo-x-ewts
1981,P10416,Kyabdak Drubchok Wangpo,Drubchok Wangpo,en
1985,P1042,Gorampa Sonam Sengge,Gowo Rabjampa Sonam Sengge,bo-x-ewts
1985,P1042,Gorampa Sonam Sengge,bsod nams seng ge,bo-x-ewts
1985,P1042,Gorampa Sonam Sengge,go rams pa bsod nams seng ge,bo-x-ewts
1985,P1042,Gorampa Sonam Sengge,ngor mkhan chen 06 bsod nams seng ge,bo-x-ewts
1985,P1042,Gorampa Sonam Sengge,go bo rab 'byams pa bsod nams seng ge,bo-x-ewts
1985,P1042,Gorampa Sonam Sengge,Sonam Sengge,en
1985,P1042,Gorampa Sonam Sengge,Ngor Khenchen 06 Sonam Sengge,en
2029,P1046,Shongton Dorje Gyeltsen,Shong Lotsāwa Dorje Gyeltsen,bo-x-ewts
2029,P1046,Shongton Dorje Gyeltsen,rdo rje rgyal mtshan,bo-x-ewts
2029,P1046,Shongton Dorje Gyeltsen,shong lo tsA ba rdo rje rgyal   mtshan,bo-x-ewts
2029,P1046,Shongton Dorje Gyeltsen,Shongton Lotsāwa Dorje Gyeltsen,en
2029,P1046,Shongton Dorje Gyeltsen,Dorje Gyeltsen,en
2051,P1048,Pakpa Lodro Gyeltsen,phags pa lug skyes,bo-x-ewts
2051,P1048,Pakpa Lodro Gyeltsen,blo gros rgyal mtshan,bo-x-ewts
2051,P1048,Pakpa Lodro Gyeltsen,gro mgon 'phags pa blo gros   rgyal mtshan,bo-x-ewts
2051,P1048,Pakpa Lodro Gyeltsen,chos rgyal 'phags pa blo gros rgyal mtshan,bo-x-ewts
2051,P1048,Pakpa Lodro Gyeltsen,Pakpa Lukye,en
2051,P1048,Pakpa Lodro Gyeltsen,Drogon Pakpa Lodro Gyeltsen,en
2051,P1048,Pakpa Lodro Gyeltsen,Chogyel Pakpa Lodro Gyeltsen,en
2051,P1048,Pakpa Lodro Gyeltsen,Lodro Gyeltsen,en
2069,P10497,Rinchen Dorje,rin chen rdo rje,bo-x-ewts
2069,P10497,Rinchen Dorje,khang dmar rin chen rdo rje,bo-x-ewts
2069,P10497,Rinchen Dorje,Khangmar Rinchen Dorje,en
2104,P1053,Lotsāwa Chokden Lekpai Lodro,gzhon nu 'od,bo-x-ewts
2104,P1053,Lotsāwa Chokden Lekpai Lodro,mang mkhar lo tsA ba gzhon nu 'od,bo-x-ewts
2104,P1053,Lotsāwa Chokden Lekpai Lodro,mchog ldan legs pa'i blo gros   dpungs rgyan mdzes pa'i me tog,bo-x-ewts
2104,P1053,Lotsāwa Chokden Lekpai Lodro,legs pa'i blo gros,bo-x-ewts
2104,P1053,Lotsāwa Chokden Lekpai Lodro,mang mkhar lo tsA ba mchog   ldan legs pa'i blo gros,bo-x-ewts
2104,P1053,Lotsāwa Chokden Lekpai Lodro,lo mchog mchog ldan legs pa'i blo   gros,bo-x-ewts
2104,P1053,Lotsāwa Chokden Lekpai Lodro,Lochok Chokden Lekpai Lodro,en
2104,P1053,Lotsāwa Chokden Lekpai Lodro,Lekpai Lodro,en
2104,P1053,Lotsāwa Chokden Lekpai Lodro,Mangkar Lotsāwa Zhonnu O,en
2104,P1053,Lotsāwa Chokden Lekpai Lodro,Mangkar Lotsāwa Chokden Lekpai Lodro,en
2104,P1053,Lotsāwa Chokden Lekpai Lodro,Zhonnu O,en
2104,P1053,Lotsāwa Chokden Lekpai Lodro,Chokden Lekpai Lodro Punggyan Dzepai Metok,en
2118,P5987,Kunzang Ngedon Wangpo,phyag tsha 01 kun bzang nges don dbang po,bo-x-ewts
2118,P5987,Kunzang Ngedon Wangpo,kaH thog pa kun bzang nges don   dbang po,bo-x-ewts
2118,P5987,Kunzang Ngedon Wangpo,Katokpa Kunzang Ngedon Wangpo,en
2118,P5987,Kunzang Ngedon Wangpo,Chaktsa 01 Kunzang Ngedon Wangpo ,en
2137,P1056,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Di ta,bo-x-ewts
2137,P1056,Sakya Paṇḍita Kunga Gyeltsen,kun dga' rgyal mtshan,bo-x-ewts
2137,P1056,Sakya Paṇḍita Kunga Gyeltsen,Sakya Pandita,en
2137,P1056,Sakya Paṇḍita Kunga Gyeltsen,Sakya Paṇḍita,en
2137,P1056,Sakya Paṇḍita Kunga Gyeltsen,Kunga Gyeltsen,en
2162,P10582,Tashi Namgyel,bkra shis rnam rgyal,bo-x-ewts
2162,P10582,Tashi Namgyel,mtshur phu rgyal tshab 02 bkra   shis rnam rgyal,bo-x-ewts
2162,P10582,Tashi Namgyel,bkra shis rnam rgyal,bo-x-ewts
2162,P10582,Tashi Namgyel,si tu 02 bkra shis rnam rgyal,bo-x-ewts
2180,P106,Lobzang Yeshe,blo bzang ye shes dpal bzang po,bo-x-ewts
2180,P106,Lobzang Yeshe,blo bzang ye shes,bo-x-ewts
2180,P106,Lobzang Yeshe,paN chen 05 blo bzang ye shes,bo-x-ewts
2180,P106,Lobzang Yeshe,Paṇchen 05 Lobzang Yeshe,en
2180,P106,Lobzang Yeshe,Lobzang Yeshe,en
2180,P106,Lobzang Yeshe,Lobzang Yeshe Pelzangpo ,en
2181,P1060,Chim Namkha Drak,nam mkha' grags pa,bo-x-ewts
2181,P1060,Chim Namkha Drak,snar thang mkhan chen 07 nam   mkha' grags pa,bo-x-ewts
2181,P1060,Chim Namkha Drak,Namkha Drakpa,en
2203,P1062,Zhangton Konchok Pel,gung thang gi btsun pa zhang rgyal ba dpal,bo-x-ewts
2203,P1062,Zhangton Konchok Pel,sa skya'i bstan 'dzin zhang ston dkon mchog dpal  ,bo-x-ewts
2203,P1062,Zhangton Konchok Pel,zhang rgyal ba dpal,bo-x-ewts
2203,P1062,Zhangton Konchok Pel,dkon mchog dpal,bo-x-ewts
2203,P1062,Zhangton Konchok Pel,Sakya Tendzin Zhangton Konchok Pel,en
2203,P1062,Zhangton Konchok Pel,Gungtang Tsunpa Zhangton Gyelwa Pel,en
2203,P1062,Zhangton Konchok Pel,Zhang Gyelwa Pel,en
