person_id,name_variant_text,language_encoding_tag_id,language_encoding_tag_id
5,gyer sgom gnyis pa,bo-x-ewts,1
5,Gyergom Nyipa,en,2
8,mdo khams sde dge rgyal rgan ma,bo-x-ewts,1
8,tshe dbang rig 'dzin,bo-x-ewts,1
8,jigs bral dpal ldan pa'i nyi ma 'chi med rtag pa'i rdo rje srid zhi'i dbang phyig don thams cad yongs su grub pa'i sde,bo-x-ewts,1
8,Dokham Dege Gyelgenma,en,2
9,mandarava,en,2
9,man+DA ra ba,bo-x-ewts,1
9,ma gcig grub pa'i rgyal mo,bo-x-ewts,1
9,grub pa'i rgyal mo,bo-x-ewts,1
9,Machik Drubpai Gyelmo,en,2
23,Rinchen Jungne Shiwa,en,2
23,Ratnākara,sa-x-iast,3
23,Śāntipā,sa-x-iast,3
23,Śāntipa,sa-x-iast,3
23,Śānti,sa-x-iast,3
23,dkon mchog 'byung gnas,bo-x-ewts,1
29,rgya ra 08,bo-x-ewts,1
29,Gyara 08,en,2
61,Chennga Dorje Sherab,en,2
61,spyan snga rdo rje shes rab,bo-x-ewts,1
84,Gyelwa Jangchub,en,2
84,rgyal ba byang chub,bo-x-ewts,1
86,Konchok Jungne,en,2
86,dkon mchog 'byung gnas,bo-x-ewts,1
96,Pelgyi Sengge,en,2
96,dpal gyi seng+ge,bo-x-ewts,1
276,e lha rgya ri'i khri thog 17 rnam rgyal rgya mtsho,bo-x-ewts,1
303,rdo rje bdud 'joms,bo-x-ewts,1
303,rba khri gzigs,bo-x-ewts,1
303,Ba Trishi,en,2
303,Dorje Dudjom,en,2
490,dpal gyi dbang phyug,bo-x-ewts,1
490,Pelgyi Wangchuk,en,2
494,ldang ma lhun gyi rgyal mtshan,bo-x-ewts,1
494,Dangma Lhungyi Gyeltsen,en,2
495,seng ge dbang phyug,bo-x-ewts,1
495,Sengge Wangchuk,en,2
620,rje dam chos gling pa,bo-x-ewts,1
620,Je Damcho Lingpa ,en,2
620,Chennga Gampopa,en,2
620,spyan snga sgam po,bo-x-ewts,1
620,dwags po pa,bo-x-ewts,1
620,Dakpopa,en,2
726,nam mkha' dpal bzang,bo-x-ewts,1
726,Namkha Pelzang,en,2
1035,Khenchen Tashi Tsul,en,2
1108,gnub nam mkha' snying po,bo-x-ewts,1
1108,Nub Namkhai Nyingpo,en,2
1370,Khon Lui Wangpo Sungwa,en,2
1370,nAgendra rakSita,bo-x-ewts,1
1370,klu'i dbang po bsrung ba,bo-x-ewts,1
1370,khon klu'i dbang po bsrung ba,bo-x-ewts,1
1370,Lui Wangpo Sungwa,en,2
1370,Nāgandra Rakṣita,sa-x-iast,3
1370,Khon Nāgabhodi,en,2
1370,lo tsA ba bande klu'i dbang po,bo-x-ewts,1
1564,Yungok Maṇipa Samten Gyatso,en,2
1564,g.yu rngog ma Ni pa bsam gtan rgya mtsho,bo-x-ewts,1
1564,rong po mkhan rabs 03 bsam gtan rgya mtsho,bo-x-ewts,1
