TOL ID,TBRC RID,Primary name,Primary name encoding,Wylie name,Tibetan,Title,Wylie title,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Ordinal,Wikidata ID
1,P9767,shes rab rgyal mtshan,bo-x-ewts,shes rab rgyal mtshan,,,,1958,0,,,,0,,,M,,
2,P003JR4640,bsod nams bstan pa,bo-x-ewts,bsod nams bstan pa,,,,,0,,,,0,,,,,
3,P003JR5071,nyi ma'i seng ge'i 'od,bo-x-ewts,nyi ma'i seng ge'i 'od,,,,,0,,,,0,,,,,
6,P00AG0343,tshe dbang grags pa,bo-x-ewts,tshe dbang grags pa,,,,,0,,,,0,,,,,
7,P00AG0369,gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po,bo-x-ewts,gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po,,,,,0,,,,0,,,,,
10,P00EGS1010204,ngag dbang 'jigs med rdo rje,bo-x-ewts,ngag dbang 'jigs med rdo rje,,,,,0,,,,0,,,,,
11,P00EGS1010412,rat+na sa mu dra,bo-x-ewts,rat+na sa mu dra,,,,,0,,,,0,,,,,
12,P00EGS1016046,tshe brtan bkra shis,bo-x-ewts,tshe brtan bkra shis,,,,,0,,,,0,,,,,
13,P00EGS1016275,karma chos rgyal,bo-x-ewts,karma chos rgyal,,,,,0,,,,0,,,,,
14,P00EGS1016297,blo gros rgyal mtshan,bo-x-ewts,blo gros rgyal mtshan,,,,,0,,,,0,,,,,
15,P00EGS1016586,byang chub rgyal po,bo-x-ewts,byang chub rgyal po,,,,,0,,,,0,,,,,
17,P00EGS1016610,bstan 'dzin chos nyid,bo-x-ewts,bstan 'dzin chos nyid,,,,,0,,,,0,,,,,
18,P00EGS1016614,byams pa tshul khrims rnam rgyal,bo-x-ewts,byams pa tshul khrims rnam rgyal,,,,,0,,,1993,0,,,,,
19,P00EGS1016617,mdo sngags bstan 'dzin,bo-x-ewts,mdo sngags bstan 'dzin,,,,,0,,,,0,,,,,
20,P00EGS1016618,lhun grub skal bzang,bo-x-ewts,lhun grub skal bzang,,,,,0,,,,0,,,,,
21,P00EGS1016619,jam dbyangs chos mtsho,bo-x-ewts,jam dbyangs chos mtsho,,,,,0,,,,0,,,F,,
22,P00EGS1016624,rdo rje bde chen gling pa,bo-x-ewts,rdo rje bde chen gling pa,,,,,0,,,1928,0,,,,,
24,P00EGS1016688,pad+ma kun dga',bo-x-ewts,pad+ma kun dga',,,,,0,,,,0,,,,,
26,P00EGS1016697,jigs med dbang rgyal,bo-x-ewts,jigs med dbang rgyal,,,,,0,,,,0,,,,,
27,P00EGS1016698,bsod nams dbang rgyal,bo-x-ewts,bsod nams dbang rgyal,,,,,0,,,,0,,,,,
28,P00EGS1016715,zla ba'i 'od zer,bo-x-ewts,zla ba'i 'od zer,,,,,0,,,,0,,,,,
30,P00EGS1016724,blo bzang shes rab,bo-x-ewts,blo bzang shes rab,,,,,0,,,,0,,,,,
31,P00EGS1016727,chos dbang,bo-x-ewts,chos dbang,,,,,0,,,,0,,,,,
32,P00EGS1016730,Tsarong Yangchen Dolkar,en,tsha rong dbyangs can sgrol dkar,,,,,0,,,,0,,,F,,
