TOL ID,TBRC RID,Primary name,Wylie title,Wylie name,Wylie script,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Name display phonetic,Name display Wylie,Ordinal,Wikidata ID
2539,P127,Pakmodrupa Dorje Gyelpo,,phag mo gru pa rdo rje rgyal po,ཕག་མོ་གྲུ་པ་རྡོ་རྗེ་རྒྱལ་པོ།,1110,0,,,1170,0,,,M,Pakmodrupa Dorje Gyelpo,phag mo gru pa rdo rje rgyal po,,
7673,P5167,Wolkhawa Drolgom Choyung,,ol kha ba sgrol sgom chos g.yung,འོལ་ཁ་བ་སྒྲོལ་སྒོམ་ཆོས་གཡུང།,1103,0,,,1199,0,,,M,Wolkhawa Drolgom Choyung,ol kha ba sgrol sgom chos g.yung,,
8460,P5899,Khyungtsangpa Yeshe Lama,,khyung tshang pa ye shes bla ma,ཁྱུང་ཚང་པ་ཡེ་ཤེས་བླ་མ།,1115,0,,,1176,0,,,M,Khyungtsangpa Yeshe Lama,khyung tshang pa ye shes bla ma,,
2584,P131,Won Sherab Jungne,,dbon shes rab 'byung gnas,དབོན་ཤེས་རབ་འབྱུང་གནས།,1187,0,,,1241,0,,,M,Won Sherab Jungne,dbon shes rab 'byung gnas,,
4354,P2636,Marpa Chokyi Lodro,,mar pa chos kyi blo gros,མར་པ་ཆོས་ཀྱི་བློ་གྲོས།,1012,1,,,1097,0,,,M,Marpa Chokyi Lodro,mar pa chos kyi blo gros,,
13057,P3AG58,Gyelwai Lodro,,rgyal ba'i blo gros,རྒྱལ་བའི་བློ་གྲོས།,,0,,34,,0,,36,M,Gyelwai Lodro,rgyal ba'i blo gros,,
8923,P634,Zhangton Tashi Dorje,,zhang ston bkra shis rdo rje,ཞང་སྟོན་བཀྲ་ཤིས་རྡོ་རྗེ།,1097,0,,,1167,0,,,M,Zhangton Tashi Dorje,zhang ston bkra shis rdo rje,,
84,P00EGS1017608,Lasum Gyelwa Jangchub,,la gsum rgyal ba byang chub,ལ་གསུམ་རྒྱལ་བ་བྱང་ཆུབ།,,0,,30,,0,,32,M,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,,
8181,P564,Chokgyur Lingpa,,mchog gyur gling pa,མཆོག་གྱུར་གླིང་པ།,1829,0,,,1870,0,,,M,Chokgyur Lingpa,mchog gyur gling pa,,
8891,P631,Guru Jober,,gu ru jo 'ber,གུ་རུ་ཇོ་འབེར།,1196,0,,,1255,0,,,M,Guru Jober,gu ru jo 'ber,,
5588,P326,Guru Chowang,,gu ru chos kyi dbang phyug,གུ་རུ་ཆོས་ཀྱི་དབང་ཕྱུག།,1212,0,,,1270,0,,,M,Guru Chowang,gu ru chos kyi dbang phyug,,
6962,P4518,Dzeng Dharmabodhi,,dzeng d+harma bo dhi,འཛེང་དྷརྨ་བོ་དྷི།,1052,0,,,1168,0,,,M,Dzeng Dharmabodhi,dzeng d+harma bo dhi,,
7114,P4655,Drapa Ngonshe,,grwa pa mngon shes,གྲྭ་པ་མངོན་ཤེས།,1012,0,,,1090,0,,,M,Drapa Ngonshe,grwa pa mngon shes,,
8750,P6164,Dorje Lingpa,,rdo rje gling pa,རྡོ་རྗེ་གླིང་པ།,1346,0,,,1405,0,,,M,Dorje Lingpa,rdo rje gling pa,,
4185,P248,"The Third Dodrubchen, Jigme Tenpai Nyima",rdo grub chen,jigs med bstan pa'i nyi ma,འཇིགས་མེད་བསྟན་པའི་ཉི་མ།,1865,0,,,1926,0,,,M,"The Third Dodrubchen, Jigme Tenpai Nyima",rdo grub chen 03 'jigs med bstan pa'i nyi ma,3,
9624,P6991,Denma Tsemang,,ldan ma rtse mang,ལྡན་མ་རྩེ་མང།,,1,,31,,0,,34,M,Denma Tsemang,ldan ma rtse mang,,
9612,P698,Do Khyentse Yeshe Dorje,,mdo mkhyen brtse ye shes rdo rje,མདོ་མཁྱེན་བརྩེ་ཡེ་ཤེས་རྡོ་རྗེ།,1800,0,,,1866,0,,,M,Do Khyentse Yeshe Dorje,mdo mkhyen brtse ye shes rdo rje,,
4676,P293,"The First Dodrubchen, Jigme Trinle Wozer",rdo grub chen,jigs med 'phrin las 'od zer,འཇིགས་མེད་འཕྲིན་ལས་འོད་ཟེར།,1745,0,,,1821,0,,,M,"The First Dodrubchen, Jigme Trinle Wozer",rdo grub chen 01 'jigs med 'phrin las 'od zer,1,
4272,P2561,"The Second Dodrubchen, Jigme Puntsok Jungne",rdo grub chen,jigs med phun tshogs 'byung gnas,འཇིགས་མེད་ཕུན་ཚོགས་འབྱུང་གནས།,1825,1,,,1860,1,,,M,"The Second Dodrubchen, Jigme Puntsok Jungne",rdo grub chen 02 'jigs med phun tshogs 'byung gnas,2,
8825,P625,Dilgo Khyentse Tashi Peljor,,dil mgo mkhyen brtse bkra shis dpal 'byor,དིལ་མགོ་མཁྱེན་བརྩེ་བཀྲ་ཤིས་དཔལ་འབྱོར།,1910,0,,,1991,0,,,M,Dilgo Khyentse Tashi Peljor,dil mgo mkhyen brtse bkra shis dpal 'byor,,
494,P0RK1221,Dangma Lhungyel,,ldang ma lhun rgyal,ལྡང་མ་ལྷུན་རྒྱལ།,,0,,41,,0,,,M,Dangma Lhungyel,ldang ma lhun rgyal,,
495,P0RK1222,Chetsun Sengge Wangchuk,,lce btsun seng ge dbang phyug,ལྕེ་བཙུན་སེང་གེ་དབང་ཕྱུག།,,0,,45,,0,,,M,Chetsun Sengge Wangchuk,lce btsun seng ge dbang phyug,,
8574,P6002,"The First Adzom Drukpa, Drodul Pawo Dorje",a 'dzom 'brug pa,gro 'dul dpa' bo rdo rje,འགྲོ་འདུལ་དཔའ་བོ་རྡོ་རྗེ།,1842,0,,,1924,0,,,M,"The First Adzom Drukpa, Drodul Pawo Dorje",a 'dzom 'brug pa 01 'gro 'dul dpa' bo rdo rje,1,
6681,P4261,Drenpa Namkha,,dran pa nam mkha',དྲན་པ་ནམ་མཁའ།,,0,,30,,0,,32,M,Drenpa Namkha,dran pa nam mkha',,
10881,P8182,Kawa Peltsek,,ska ba dpal brtsegs,སྐ་བ་དཔལ་བརྩེགས།,,1,,30,,0,,32,M,Kawa Peltsek,ska ba dpal brtsegs,,
4903,P2JM167,Gyelwa Chokyang,,rgyal ba mchog dbyangs,རྒྱལ་བ་མཆོག་དབྱངས།,,0,,30,,0,,31,M,Gyelwa Chokyang,rgyal ba mchog dbyangs,,
9579,P695,Jigme Gyelwai Nyugu,,jigs med rgyal ba'i myu gu,འཇིགས་མེད་རྒྱལ་བའི་མྱུ་གུ།,1765,0,,,1842,0,,,M,Jigme Gyelwai Nyugu,jigs med rgyal ba'i myu gu,,
13058,P3AG55,Wodren Pelgyi Wangchuk,,o bran dpal gyi dbang phyug,འོ་བྲན་དཔལ་གྱི་དབང་ཕྱུག།,,0,,30,,0,,31,M,Wodren Pelgyi Wangchuk,o bran dpal gyi dbang phyug,,
9141,P6543,Yeshe Yang,,ye shes dbyangs,ཡེ་ཤེས་དབྱངས།,,0,,,862,0,,,M,Yeshe Yang,ye shes dbyangs,,
4261,P2551,Ngok Lotsāwa Loden Sherab,,rngog lo tsA ba blo ldan shes rab,རྔོག་ལོ་ཙཱ་བ་བློ་ལྡན་ཤེས་རབ།,1059,0,,,1109,0,,,M,Ngok Lotsāwa Loden Sherab,rngog lo tsA ba blo ldan shes rab,,
13061,P3AG59,Ngok Jo Tsultrim Sherab,,rngog jo tshul khrims shes rab,རྔོག་ཇོ་ཚུལ་ཁྲིམས་ཤེས་རབ།,1103,0,1115,,1154,0,1158,,M,Ngok Jo Tsultrim Sherab,rngog jo tshul khrims shes rab,,
3169,P1845,Gompo Tsultrim Nyingpo,,sgom po tshul khrims snying po,སྒོམ་པོ་ཚུལ་ཁྲིམས་སྙིང་པོ།,1116,0,,,1169,0,,,M,Gompo Tsultrim Nyingpo,sgom po tshul khrims snying po,,
