TOL ID,TBRC RID,Primary name,Primary name encoding,Wylie name,Tibetan,Title,Wylie title,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Ordinal,Wikidata ID
5,P00AG02484,Gyergom Tsultrim Sengge,en,gyer sgom tshul khrims seng+ge,གྱེར་སྒོམ་ཚུལ་ཁྲིམས་སེངྒེ།,,,1144,0,,,1204,0,,,M,,
8,P00AG0401,Pelden Chime Takpai Dorje,en,dpal ldan 'chi med rtag pa'i rdo rje,དཔལ་ལྡན་འཆི་མེད་རྟག་པའི་རྡོ་རྗེ།,,,1851,0,,,1898,0,,,M,,
9,P00AG0428,Mandāravā,sa-x-iast,lha lcam man+dA ra bA,མནདརབ༹།,,,,0,,30,,0,,31,F,,
23,P00EGS1016642,Ratnākaraśānti,sa-x-iast,rin chen 'byung gnas zhi ba,རིན་ཆེན་འབྱུང་གནས་ཞི་བ།,,,970,1,,,1045,1,,,M,,
29,P00EGS1016721,Lobzang Tendzin Chokyi Wangchuk,en,blo bzang bstan 'dzin chos kyi dbang phyug,བློ་བཟང་བསྟན་འཛིན་ཆོས་ཀྱི་དབང་ཕྱུག།,Gyara Tulku,rgya ra sprul sku,1918,0,,,1976,0,,,M,8,
40,P00EGS1016936,Acharya Sempa Dorje,en,a tsarya sems dpa' rdo rje,ཨ་ཙརྱ་སེམས་དཔའ་རྡོ་རྗེ།,,,1930,0,,,2022,0,,,M,,
61,P00EGS1017135,Dorje Sherab,en,rdo rje shes rab,རྡོ་རྗེ་ཤེས་རབ།,,,,0,,45,,0,,,M,,
84,P00EGS1017608,Lasum Gyelwa Jangchub,en,la gsum rgyal ba byang chub,ལ་གསུམ་རྒྱལ་བ་བྱང་ཆུབ།,,,,0,,30,,0,,32,M,,
86,P00EGS1017610,Langdro Konchok Jungne,en,lang gro dkon mchog 'byung gnas,ལང་གྲོ་དཀོན་མཆོག་འབྱུང་གནས།,,,,0,,30,,0,,32,M,,
96,P00EGS1017620,Lang Pelgyi Sengge,en,rlangs dpal gyi seng+ge,རླངས་དཔལ་གྱི་སེངྒེ།,,,,0,,30,,0,,32,M,,
276,P00KG09732,Lhagyari Namgyel Gyatso,en,rnam rgyal rgya mtsho,རྣམ་རྒྱལ་རྒྱ་མཚོ།,Ruler of Eyul,e lha rgya ri khri chen,1927,1,,,2003,0,,,M,17,
303,P4CZ10564,Nanam Dorje Dudjom,en,sna nam rdo rje bdud 'joms,སྣ་ནམ་རྡོ་རྗེ་བདུད་འཇོམས།,,,,0,,30,,0,,32,M,,
490,P0RK1217,Kharchen Pelgyi Wangchuk,en,mkhar chen dpal gyi dbang   phyug,མཁར་ཆེན་དཔལ་གྱི་དབང་ཕྱུག།,,,,0,,30,,0,,31,M,,
494,P0RK1221,Dangma Lhungyel,en,ldang ma lhun rgyal,ལྡང་མ་ལྷུན་རྒྱལ།,,,,0,,41,,0,,,M,,
495,P0RK1222,Chetsun Sengge Wangchuk,en,lce btsun seng ge dbang phyug,ལྕེ་བཙུན་སེང་གེ་དབང་ཕྱུག།,,,,0,,45,,0,,,M,,
620,P0RK1366,Damcho Lingpa,en,dam chos gling pa,དམ་ཆོས་གླིང་པ།,,,1175,0,,48,,0,,,M,,
726,P0RK1485,Paṇchen Namkha Pelzang,en,paN chen nam mkha' dpal bzang,པཎ་ཆེན་ནམ་མཁའ་དཔལ་བཟང།,,,1464,0,,,1529,0,,,M,,
1029,P0RK27,Khenchen Sonam Pel,en,mkhan chen bsod nams dpal,མཁན་ཆེན་བསོད་ནམས་དཔལ།,,,,0,,49,,0,,,M,,
1035,P0RK28,Khenchen Tashi Tsultrim,en,mkhan chen bkra shis tshul,མཁན་ཆེན་བཀྲ་ཤིས་ཚུལ།,,,,0,,52,,0,,53,M,,
1108,P7743,Namkhai Nyingpo,en,nam mkha'i snying po,ནམ་མཁའི་སྙིང་པོ།,,,,0,,30,,0,,31,M,,
1370,P8218,Khon Lui Wangpo,en,khon klu'i dbang po,འཁོན་ཀླུའི་དབང་པོ།,,,,0,,30,,0,,,M,,
1564,P1003,Samten Gyatso,en,bsam gtan rgya mtsho,བསམ་གཏན་རྒྱ་མཚོ།,,,1616,0,,,1678,0,,,M,,
1575,P1004,Gyelwa Gyatso,en,rgyal ba rgya mtsho,རྒྱལ་བ་རྒྱ་མཚོ།,Tongkhor,stong 'khor,1588,0,,,1639,0,,,M,3,
1586,P1005,Drubkhang Gelek Gyatso,en,sgrub khang dge legs rgya mtsho,སྒྲུབ་ཁང་དགེ་ལེགས་རྒྱ་མཚོ།,,,1641,0,,,1713,0,,,M,,
1628,P10090,Machik Jobum,en,ma gcig jo 'bum,ཇོ་འབུམ།,,,,0,,44,,0,,47,F,,
1637,P101,Paṇchen Sonam Drakpa,en,paN chen bsod nams grags pa,པཎ་ཆེན་བསོད་ནམས་གྲགས་པ།,,,1478,0,,,1554,0,,,M,,
1639,P10100,Namgyel Gonpo,en,rnam rgyal mgon po,རྣམ་རྒྱལ་མགོན་པོ།,,,1399,0,,,1424,0,,,M,,
1659,P1012,Tashi Peljor,en,bkra shis dpal 'byor,བཀྲ་ཤིས་དཔལ་འབྱོར།,Sanggye Nyenpa,sangs rgyas mnyan pa,1457,0,,,1519,0,,,M,1,
1719,P10177,Jomo Mangchungma,en,jo mo mang chung ma,ཇོ་མོ་མང་ཆུང་མ།,,,,0,,45,,0,,,F,,
1720,P10178,Jocham Purmo,en,jo lcam phur mo,ཇོ་ལྕམ་ཕུར་མོ།,,,,0,,45,,0,,,F,,
1721,P10179,Yalung Jomo Auma,en,g.ya lung jo mo 'a 'u ma,གཡ་ལུང་ཇོ་མོ་འ་འུ་མ།,,,,0,,45,,0,,,F,,
1722,P1018,Langlab Jangchub Dorje,en,lang lab byang chub rdo rje,ལང་ལབ་བྱང་ཆུབ་རྡོ་རྗེ།,,,,0,,42,,0,,44,M,,
1726,P10183,Sumpa Lotsāwa Darma Yonten,en,sum pa lo tsA ba dar ma yon tan,སུམ་པ་ལོ་ཙཱ་བ་དར་མ་ཡོན་ཏན།,,,,0,,46,,0,,48,M,,
1728,P10185,Pelchok Dangpo Dorje,en,dpal mchog dang po'i rdo rje,དཔལ་མཆོག་དང་པོའི་རྡོ་རྗེ།,,,,0,,41,,0,,,M,,
1754,P1021,Trulzhik Sengge Gyabpa,en,khrul zhig seng+ge rgyab pa,འཁྲུལ་ཞིག་སེངྒེ་རྒྱབ་པ།,,,,0,,50,,0,,52,M,,
1820,P1027,Muchen Sanggye Rinchen,en,mus chen sangs rgyas rin chen,མུས་ཆེན་སངས་རྒྱས་རིན་ཆེན།,Ngor Khenchen,ngor mkhan chen,1450,0,,,1524,0,,,M,8,
1831,P1028,Ga Rabjampa Kunga Yeshe,en,sga rab 'byams pa kun dga' ye shes,སྒ་རབ་འབྱམས་པ་ཀུན་དགའ་ཡེ་ཤེས།,,,1397,0,,,1470,0,,,M,,
1852,P10299,Gendun Gyeltsen,en,dge 'dun rgyal mtshan,དགེ་འདུན་རྒྱལ་མཚན།,Kirti,kirti,1374,0,,,1450,0,,,M,1,
1869,P10313,Lodro Namgyel,en,blo gros rnam rgyal,བློ་གྲོས་རྣམ་རྒྱལ།,,,1618,0,,,1683,0,,,M,,
1871,P10315,Samlo Sanggye Tashi,en,bsam blo sangs rgyas bkra shis,བསམ་བློ་སངས་རྒྱས་བཀྲ་ཤིས།,,,,0,,,1413,0,,,M,,
1898,P1034,Muchen Sempa Chenpo Konchok Gyeltsen,en,mus chen sems dpa' chen po dkon mchog rgyal mtshan,མུས་ཆེན་སེམས་དཔའ་ཆེན་པོ་དཀོན་མཆོག་རྒྱལ་མཚན།,,,1388,0,,,1469,0,,,M,,
1901,P10342,Kunga Chopak Tubten Nyima,en,kun dga' chos 'phags thub bstan nyi ma,ཀུན་དགའ་ཆོས་འཕགས་ཐུབ་བསྟན་ཉི་མ།,Kirti,kirti,1797,0,,,1848,0,,,M,7,
1902,P10343,Kelzang Lodro Kunga Lungtok Gyatso,en,bskal bzang blo gros kun dga' lung rtogs rgya mtsho,བསྐལ་བཟང་བློ་གྲོས་ཀུན་དགའ་ལུང་རྟོགས་རྒྱ་མཚོ།,Kirti,kirti,1905,0,,,1920,0,,,M,9,
1903,P10344,Gendun Chokyi Wangchuk,en,dge 'dun chos kyi dbang phyug,དགེ་འདུན་ཆོས་ཀྱི་དབང་ཕྱུག།,Kirti,kirti,1773,0,,,1796,0,,,M,6,
1908,P1035,Drakpa Dorje,en,grags pa rdo rje,གྲགས་པ་རྡོ་རྗེ།,,,,0,,,1491,1,,,M,,
1930,P1037,Pelden Dorje,en,dpal ldan rdo rje,དཔལ་ལྡན་རྡོ་རྗེ།,Ngor Khenchen,ngor mkhan chen,1411,0,,,1482,0,,,M,5,
1963,P1040,Kunga Wangchuk,en,kun dga' dbang phyug,ཀུན་དགའ་དབང་ཕྱུག།,Ngor Khenchen,ngor mkhan chen,1424,0,,,1478,0,,,M,4,
1974,P1041,Kunga Wangchuk,en,kun dga' dbang phyug,ཀུན་དགའ་དབང་ཕྱུག།,,,1418,0,,,1462,0,,,M,,
1981,P10416,Kyabdak Drubchok Wangpo,en,khyab bdag grub mchog dbang po,ཁྱབ་བདག་གྲུབ་མཆོག་དབང་པོ།,,,1575,1,,,1618,1,,,M,,
1985,P1042,Gorampa Sonam Sengge,en,go rams pa bsod nams seng ge,གོ་རམས་པ་བསོད་ནམས་སེང་གེ།,,,1429,0,,,1489,0,,,M,,
2029,P1046,Shongton Dorje Gyeltsen,en,shong ston rdo rje rgyal mtshan,ཤོང་སྟོན་རྡོ་རྗེ་རྒྱལ་མཚན།,,,,0,,50,,0,,52,M,,
2051,P1048,Pakpa Lodro Gyeltsen,en,phags pa blo gros rgyal mtshan,འཕགས་པ་བློ་གྲོས་རྒྱལ་མཚན།,,,1235,0,,,1280,0,,,M,,
