TOL ID,TBRC RID,Primary title,Primary name,Primary name encoding,Wylie title,Wylie name,Tibetan,Display name English,Display name Wylie,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Ordinal,Wikidata ID,Lotsawa House URL,HAR URL,RMA URL,84000 URL
1,P9767,,shes rab rgyal mtshan,bo-x-ewts,,shes rab rgyal mtshan,,shes rab rgyal mtshan,shes rab rgyal mtshan,1958,0,,,,0,,,M,,,,,,
10,P00EGS1010204,,ngag dbang 'jigs med rdo rje,bo-x-ewts,,ngag dbang 'jigs med rdo rje,,ngag dbang 'jigs med rdo rje,ngag dbang 'jigs med rdo rje,,0,,,,0,,,,,,,,,
100,P00EGS1017624,,rlangs a myes byang chub 'dre khol,bo-x-ewts,,rlangs a myes byang chub 'dre khol,,rlangs a myes byang chub 'dre khol,rlangs a myes byang chub 'dre khol,,0,,,,0,,,,,,,,,
1000,P0RK221,,rnal 'byor pa sa ka pa la,bo-x-ewts,,rnal 'byor pa sa ka pa la,,rnal 'byor pa sa ka pa la,rnal 'byor pa sa ka pa la,,0,,,,0,,,M,,,,,,
10000,P7339,,nyi ma,bo-x-ewts,,nyi ma,,nyi ma,nyi ma,,0,,,,0,,,M,,,,,,
10001,P734,Kangyur Rinpoche,Longchen Yeshe Dorje,en,bka' 'gyur rin po che,klong chen ye shes rdo rje,,Kangyur Rinpoche Longchen Yeshe Dorje,bka' 'gyur rin po che klong chen ye shes rdo rje,,0,,,1975,0,,,M,,,,,,
10002,P7340,,bkra thang 07 'jam dpal ye shes rgyal mtshan,bo-x-ewts,,bkra thang 07 'jam dpal ye shes rgyal mtshan,,bkra thang 07 'jam dpal ye shes rgyal mtshan,bkra thang 07 'jam dpal ye shes rgyal mtshan,1947,0,,,,0,,,M,,,,,,
10003,P7341,,'jam bu,bo-x-ewts,,'jam bu,,'jam bu,'jam bu,,0,,,,0,,,M,,,,,,
10004,P7342,,tsha'o zha'o chin,bo-x-ewts,,tsha'o zha'o chin,,tsha'o zha'o chin,tsha'o zha'o chin,,0,,,,0,,,M,,,,,,
10005,P7343,,ka'o i,bo-x-ewts,,ka'o i,,ka'o i,ka'o i,,0,,,,0,,,M,,,,,,
