"TOL ID","TBRC RID","Primary title","Primary name","primary name encoding","Wylie title","Wylie name",Tibetan,"Display name","Birth year","Birth year approximate","Birth year alternate","Birth century","Death year","Death year approximate","Death year alternate","Death century",Gender,"Name display phonetic","Name display Wylie",Ordinal,"Wikidata ID","Lotsara House URL","HAR URL"
1,P9767,,"shes rab rgyal mtshan",en,,"shes rab rgyal mtshan",ཤེས་རབ་རྒྱལ་མཚན།,"shes rab rgyal mtshan",1958,0,,NULL,NULL,0,,NULL,M,"shes rab rgyal mtshan","shes rab rgyal mtshan",NULL,NULL,NULL,
2,P003JR4640,NULL,"bsod nams bstan pa",en,NULL,"bsod nams bstan pa",བསོད་ནམས་བསྟན་པ།,"bsod nams bstan pa",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bsod nams bstan pa","bsod nams bstan pa",NULL,NULL,NULL,NULL
3,P003JR5071,NULL,"nyi ma'i seng ge'i 'od",en,NULL,"nyi ma'i seng ge'i 'od",ཉི་མའི་སེང་གེའི་འོད།,"nyi ma'i seng ge'i 'od",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"nyi ma'i seng ge'i 'od","nyi ma'i seng ge'i 'od",NULL,NULL,NULL,NULL
5,P00AG02484,,"Gyergom Tsultrim Sengge",bo-x-ewts,,"gyer sgom tshul khrims seng+ge",གྱེར་སྒོམ་ཚུལ་ཁྲིམས་སེངྒེ།,"Gyergom Tsultrim Sengge",1144,0,,NULL,1204,0,,NULL,M,"Gyergom Tsultrim Sengge","gyer sgom tshul khrims seng+ge",NULL,NULL,NULL,
6,P00AG0343,NULL,"tshe dbang grags pa",en,NULL,"tshe dbang grags pa",ཚེ་དབང་གྲགས་པ།,"tshe dbang grags pa",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe dbang grags pa","tshe dbang grags pa",NULL,NULL,https://www.lotsawahouse.org/tibetan-masters/tsewang-drakpa/,NULL
7,P00AG0369,NULL,"'gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po",en,NULL,"'gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po",འགྱུར་མེད་པདྨ་བསྟན་འཛིན་མཁས་གྲུབ་རྒྱ་མཚོའི་དབང་པོ།,"'gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"'gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po","'gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po",NULL,NULL,NULL,NULL
8,P00AG0401,,"Pelden Chime Takpai Dorje",bo-x-ewts,,"dpal ldan 'chi med rtag pa'i rdo rje",དཔལ་ལྡན་འཆི་མེད་རྟག་པའི་རྡོ་རྗེ།,"Pelden Chime Takpai Dorje",1851,0,,NULL,1898,0,,NULL,M,"Pelden Chime Takpai Dorje","dpal ldan 'chi med rtag pa'i rdo rje",NULL,NULL,NULL,
9,P00AG0428,,Mandāravā,sa-x-iast,,"lha lcam man+dA ra bA",མནདརབ༹།,Mandāravā,NULL,0,,30,NULL,0,,31,F,Mandāravā,"lha lcam man+dA ra bA",NULL,NULL,https://www.lotsawahouse.org/indian-masters/mandarava/,
10,P00EGS1010204,NULL,"ngag dbang 'jigs med rdo rje",en,NULL,"ngag dbang 'jigs med rdo rje",ངག་དབང་འཇིགས་མེད་རྡོ་རྗེ།,"ngag dbang 'jigs med rdo rje",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"ngag dbang 'jigs med rdo rje","ngag dbang 'jigs med rdo rje",NULL,NULL,NULL,NULL
11,P00EGS1010412,NULL,"rat+na sa mu dra",en,NULL,"rat+na sa mu dra",རཏྣ་ས་མུ་དྲ།,"rat+na sa mu dra",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"rat+na sa mu dra","rat+na sa mu dra",NULL,NULL,NULL,NULL
12,P00EGS1016046,NULL,"tshe brtan bkra shis",en,NULL,"tshe brtan bkra shis",ཚེ་བརྟན་བཀྲ་ཤིས།,"tshe brtan bkra shis",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe brtan bkra shis","tshe brtan bkra shis",NULL,NULL,NULL,NULL
13,P00EGS1016275,NULL,"karma chos rgyal",en,NULL,"karma chos rgyal",ཀརྨ་ཆོས་རྒྱལ།,"karma chos rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"karma chos rgyal","karma chos rgyal",NULL,NULL,NULL,NULL
14,P00EGS1016297,NULL,"blo gros rgyal mtshan",en,NULL,"blo gros rgyal mtshan",བློ་གྲོས་རྒྱལ་མཚན།,"blo gros rgyal mtshan",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo gros rgyal mtshan","blo gros rgyal mtshan",NULL,NULL,NULL,NULL
15,P00EGS1016586,NULL,"byang chub rgyal po",en,NULL,"byang chub rgyal po",བྱང་ཆུབ་རྒྱལ་པོ།,"byang chub rgyal po",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"byang chub rgyal po","byang chub rgyal po",NULL,NULL,NULL,NULL
17,P00EGS1016610,NULL,"bstan 'dzin chos nyid",en,NULL,"bstan 'dzin chos nyid",བསྟན་འཛིན་ཆོས་ཉིད།,"bstan 'dzin chos nyid",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bstan 'dzin chos nyid","bstan 'dzin chos nyid",NULL,NULL,NULL,NULL
18,P00EGS1016614,NULL,"byams pa tshul khrims rnam rgyal",en,NULL,"byams pa tshul khrims rnam rgyal",བྱམས་པ་ཚུལ་ཁྲིམས་རྣམ་རྒྱལ།,"byams pa tshul khrims rnam rgyal",NULL,0,NULL,NULL,1993,0,NULL,NULL,,"byams pa tshul khrims rnam rgyal","byams pa tshul khrims rnam rgyal",NULL,NULL,NULL,NULL
19,P00EGS1016617,NULL,"mdo sngags bstan 'dzin",en,NULL,"mdo sngags bstan 'dzin",མདོ་སྔགས་བསྟན་འཛིན།,"mdo sngags bstan 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"mdo sngags bstan 'dzin","mdo sngags bstan 'dzin",NULL,NULL,NULL,NULL
20,P00EGS1016618,NULL,"lhun grub skal bzang",en,NULL,"lhun grub skal bzang",ལྷུན་གྲུབ་སྐལ་བཟང།,"lhun grub skal bzang",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"lhun grub skal bzang","lhun grub skal bzang",NULL,NULL,NULL,NULL
21,P00EGS1016619,NULL,"'jam dbyangs chos mtsho",en,NULL,"'jam dbyangs chos mtsho",འཇམ་དབྱངས་ཆོས་མཚོ།,"'jam dbyangs chos mtsho",NULL,0,NULL,NULL,NULL,0,NULL,NULL,F,"'jam dbyangs chos mtsho","'jam dbyangs chos mtsho",NULL,NULL,NULL,NULL
22,P00EGS1016624,NULL,"rdo rje bde chen gling pa",en,NULL,"rdo rje bde chen gling pa",རྡོ་རྗེ་བདེ་ཆེན་གླིང་པ།,"rdo rje bde chen gling pa",NULL,0,NULL,NULL,1928,0,NULL,NULL,,"rdo rje bde chen gling pa","rdo rje bde chen gling pa",NULL,NULL,https://www.lotsawahouse.org/tibetan-masters/dorje-dechen-lingpa/,NULL
23,P00EGS1016642,,Ratnākaraśānti,sa-x-iast,,"rin chen 'byung gnas zhi ba",རིན་ཆེན་འབྱུང་གནས་ཞི་བ།,Ratnākaraśānti,970,1,,NULL,1045,1,,NULL,M,Ratnākaraśānti,"rin chen 'byung gnas zhi ba",NULL,NULL,NULL,
24,P00EGS1016688,NULL,"pad+ma kun dga'",en,NULL,"pad+ma kun dga'",པདྨ་ཀུན་དགའ།,"pad+ma kun dga'",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"pad+ma kun dga'","pad+ma kun dga'",NULL,NULL,NULL,NULL
26,P00EGS1016697,NULL,"'jigs med dbang rgyal",en,NULL,"'jigs med dbang rgyal",འཇིགས་མེད་དབང་རྒྱལ།,"'jigs med dbang rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"'jigs med dbang rgyal","'jigs med dbang rgyal",NULL,NULL,NULL,NULL
27,P00EGS1016698,NULL,"bsod nams dbang rgyal",en,NULL,"bsod nams dbang rgyal",བསོད་ནམས་དབང་རྒྱལ།,"bsod nams dbang rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bsod nams dbang rgyal","bsod nams dbang rgyal",NULL,NULL,NULL,NULL
28,P00EGS1016715,NULL,"zla ba'i 'od zer",en,NULL,"zla ba'i 'od zer",ཟླ་བའི་འོད་ཟེར།,"zla ba'i 'od zer",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"zla ba'i 'od zer","zla ba'i 'od zer",NULL,NULL,NULL,NULL
29,P00EGS1016721,"Gyara Tulku","Lobzang Tendzin Chokyi Wangchuk",bo-x-ewts,"rgya ra sprul sku","blo bzang bstan 'dzin chos kyi dbang phyug",བློ་བཟང་བསྟན་འཛིན་ཆོས་ཀྱི་དབང་ཕྱུག།,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",1918,0,,NULL,1976,0,,NULL,M,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk","rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug",08,NULL,NULL,
30,P00EGS1016724,NULL,"blo bzang shes rab",en,NULL,"blo bzang shes rab",བློ་བཟང་ཤེས་རབ།,"blo bzang shes rab",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang shes rab","blo bzang shes rab",NULL,NULL,NULL,NULL
31,P00EGS1016727,NULL,"chos dbang",en,NULL,"chos dbang",ཆོས་དབང།,"chos dbang",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"chos dbang","chos dbang",NULL,NULL,NULL,NULL
32,P00EGS1016730,,"Tsarong Yangchen Dolkar",bo-x-ewts,,"tsha rong dbyangs can sgrol dkar",ཚ་རོང་དབྱངས་ཅན་སྒྲོལ་དཀར།,"Tsarong Yangchen Dolkar",NULL,0,,NULL,NULL,0,,NULL,F,"Tsarong Yangchen Dolkar","tsha rong dbyangs can sgrol dkar",NULL,NULL,NULL,
34,P00EGS1016742,NULL,"bstan 'dzin 'jam dbyangs, a tshogs",en,NULL,"bstan 'dzin 'jam dbyangs, a tshogs","བསྟན་འཛིན་འཇམ་དབྱངས,་ཨ་ཚོགས།","bstan 'dzin 'jam dbyangs, a tshogs",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bstan 'dzin 'jam dbyangs, a tshogs","bstan 'dzin 'jam dbyangs, a tshogs",NULL,NULL,NULL,NULL
35,P00EGS1016749,NULL,"shes rab zla shar",en,NULL,"shes rab zla shar",ཤེས་རབ་ཟླ་ཤར།,"shes rab zla shar",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"shes rab zla shar","shes rab zla shar",NULL,NULL,NULL,NULL
36,P00EGS1016778,NULL,"g.yag dgra khra sbog",en,NULL,"g.yag dgra khra sbog",གཡག་དགྲ་ཁྲ་སྦོག།,"g.yag dgra khra sbog",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"g.yag dgra khra sbog","g.yag dgra khra sbog",NULL,NULL,NULL,NULL
37,P00EGS1016930,NULL,"bkra shis rnam rgyal",en,NULL,"bkra shis rnam rgyal",བཀྲ་ཤིས་རྣམ་རྒྱལ།,"bkra shis rnam rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bkra shis rnam rgyal","bkra shis rnam rgyal",NULL,NULL,NULL,NULL
38,P00EGS1016932,NULL,"tshe ring dpal 'byor",en,NULL,"tshe ring dpal 'byor",ཚེ་རིང་དཔལ་འབྱོར།,"tshe ring dpal 'byor",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe ring dpal 'byor","tshe ring dpal 'byor",NULL,NULL,NULL,NULL
39,P00EGS1016934,NULL,"rdo rje rig 'dzin",en,NULL,"rdo rje rig 'dzin",རྡོ་རྗེ་རིག་འཛིན།,"rdo rje rig 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"rdo rje rig 'dzin","rdo rje rig 'dzin",NULL,NULL,NULL,NULL
