TOL ID,TBRC RID,Primary title,Primary name,Primary name encoding,Wylie title,Wylie name,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Display name English,Display name Wylie,Display name Tibetan,Wikidata ID,Lotsawa House URL,HAR URL
12898,P1GS147817,,abhayadatta,en,,abhayadatta,,0,,,,0,,,,abhayadatta,abhayadatta,ཨབྷཡདཏཏ།,,,
9780,P7136,,abhayasri,en,,jigs med dpal,,0,,,,0,,,M,abhayasri,jigs med dpal,འཇིགས་མེད་དཔལ།,,,
13621,P4CZ15574,,Abhiyuktaka Taraśrīmitra,en,,a b+hi yuk+ta de ba shrI/,,0,,,,0,,,,Abhiyuktaka Taraśrīmitra,a b+hi yuk+ta de ba shrI/,ཨ་བྷི་ཡུཀྟ་དེ་བ་ཤྲཱི༎,,,
1094,P0RK37,,Ācārya Bodhibhadra,sa-x-iast,,slob dpon byang chub bzang po,,0,,,,0,,,M,Ācārya Bodhibhadra,slob dpon byang chub bzang po,སློབ་དཔོན་བྱང་ཆུབ་བཟང་པོ།,,,
40,P00EGS1016936,,Acharya Sempa Dorje,en,,a tsarya sems dpa' rdo rje,1930,0,,,2022,0,,,M,Acharya Sempa Dorje,a tsarya sems dpa' rdo rje,ཨ་ཙརྱ་སེམས་དཔའ་རྡོ་རྗེ།,,,
10886,P8188,,adayasri,en,,adayasri,,0,,,,0,,,M,adayasri,adayasri,ཨདཡསྲི།,,,
10875,P8177,,adayasrimati,en,,adayasrimati,,0,,,,0,,,M,adayasrimati,adayasrimati,ཨདཡསྲིམཏི།,,,
13510,P1KG4195,,Agvan Dorjiev,en,,ngag dbang blo bzang,1854,0,,,1938,0,,,M,Agvan Dorjiev,ngag dbang blo bzang,ངག་དབང་བློ་བཟང།,,,
10872,P8174,,akarasiddhi,en,,akarasiddhi,,0,,,,0,,,M,akarasiddhi,akarasiddhi,ཨཀརསིདདྷི།,,,
13864,,,Akyong Wangpo,en,,a skyong dbang po,1908,0,,,1958,0,,,M,Akyong Wangpo,a skyong dbang po,ཨ་སྐྱོང་དབང་པོ།,,,
10077,P7413,,amarasimha,en,,amarasimha,,0,,,,0,,,M,amarasimha,amarasimha,ཨམརསིམཧ།,,,
5897,P3546,,Amdo Geshe Jampel Rolpai Lodro,en,,a mdo dge bshes 'jam dpal rol pa'i blo gros,1888,0,,,1936,0,,,M,Amdo Geshe Jampel Rolpai Lodro,a mdo dge bshes 'jam dpal rol pa'i blo gros,ཨ་མདོ་དགེ་བཤེས་འཇམ་དཔལ་རོལ་པའི་བློ་གྲོས།,,https://www.lotsawahouse.org/tibetan-masters/amdo-geshe/,
10884,P8186,,amogha,en,,amogha,,0,,,,0,,,M,amogha,amogha,ཨམོགྷ།,,,
469,P0RK1192,,amoghasiddhi,en,,amoghasiddhi,,0,,,,0,,,M,amoghasiddhi,amoghasiddhi,ཨམོགྷསིདདྷི།,,,
12850,P1KG1936,,"amtzis, judith s.",en,,"amtzis, judith",,0,,,,0,,,F,"amtzis, judith s.","amtzis, judith","ཨམཏཟིས,་ཇུདིཐ།",,,
12485,P9666,,"an, chunyang",en,,"an, chunyang",,0,,,,0,,,M,"an, chunyang","an, chunyang","ཨན,་ཆུཉང།",,,
10955,P8252,,ananda,en,,ananda,,0,,,,0,,,M,ananda,ananda,ཨནནད།,,,
13663,P4CZ10574,,Ānandavajra,sa-x-iast,,A nan+da badz+ra,,0,,,,0,,,,Ānandavajra,,,,,
13684,P8LS76441,,Ani Trinle Chodron,en,,a ni 'phrin las chos sgron,1938,0,,,1970,0,,,F,Ani Trinle Chodron,a ni 'phrin las chos sgron,ཨ་ནི་འཕྲིན་ལས་ཆོས་སྒྲོན།,,,
8707,P6123,,anubhuti,en,,anubhuti,,0,,,,0,,,M,anubhuti,anubhuti,ཨནུབྷུཏི།,,,
