TOL ID,TBRC RID,Primary title,Primary name,Primary name encoding,Wylie title,Wylie name,Tibetan,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Display name English,Display name Wylie,Ordinal,Display name Tibetan,Wikidata ID,Lotsawa House URL,HAR URL
1,P9767,,shes rab rgyal mtshan,bo-x-ewts,,shes rab rgyal mtshan,ཤེས་རབ་རྒྱལ་མཚན།,1958,0,,,,0,,,M,shes rab rgyal mtshan,shes rab rgyal mtshan,,ཤེས་རབ་རྒྱལ་མཚན།,,,
2,P003JR4640,,bsod nams bstan pa,bo-x-ewts,,bsod nams bstan pa,བསོད་ནམས་བསྟན་པ།,,0,,,,0,,,,bsod nams bstan pa,bsod nams bstan pa,,བསོད་ནམས་བསྟན་པ།,,,
3,P003JR5071,,nyi ma'i seng ge'i 'od,bo-x-ewts,,nyi ma'i seng ge'i 'od,ཉི་མའི་སེང་གེའི་འོད།,,0,,,,0,,,,nyi ma'i seng ge'i 'od,nyi ma'i seng ge'i 'od,,ཉི་མའི་སེང་གེའི་འོད།,,,
5,P00AG02484,,Gyergom Tsultrim Sengge,en,,gyer sgom tshul khrims seng+ge,གྱེར་སྒོམ་ཚུལ་ཁྲིམས་སེངྒེ།,1144,0,,,1204,0,,,M,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,,གྱེར་སྒོམ་ཚུལ་ཁྲིམས་སེངྒེ།,,,
6,P00AG0343,,tshe dbang grags pa,bo-x-ewts,,tshe dbang grags pa,ཚེ་དབང་གྲགས་པ།,,0,,,,0,,,,tshe dbang grags pa,tshe dbang grags pa,,ཚེ་དབང་གྲགས་པ།,,https://www.lotsawahouse.org/tibetan-masters/tsewang-drakpa/,
7,P00AG0369,,gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po,bo-x-ewts,,gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po,འགྱུར་མེད་པདྨ་བསྟན་འཛིན་མཁས་གྲུབ་རྒྱ་མཚོའི་དབང་པོ།,,0,,,,0,,,,gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po,gyur med pad+ma bstan 'dzin mkhas grub rgya mtsho'i dbang po,,འགྱུར་མེད་པདྨ་བསྟན་འཛིན་མཁས་གྲུབ་རྒྱ་མཚོའི་དབང་པོ།,,,
8,P00AG0401,,Pelden Chime Takpai Dorje,en,,dpal ldan 'chi med rtag pa'i rdo rje,དཔལ་ལྡན་འཆི་མེད་རྟག་པའི་རྡོ་རྗེ།,1851,0,,,1898,0,,,M,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,,དཔལ་ལྡན་འཆི་མེད་རྟག་པའི་རྡོ་རྗེ།,,,
9,P00AG0428,,Mandāravā,sa-x-iast,,lha lcam man+dA ra bA,མནདརབ༹།,,0,,30,,0,,31,F,Mandāravā,lha lcam man+dA ra bA,,ལྷ་ལྕམ་མནྡཱ་ར་བཱ།,,https://www.lotsawahouse.org/indian-masters/mandarava/,
10,P00EGS1010204,,ngag dbang 'jigs med rdo rje,bo-x-ewts,,ngag dbang 'jigs med rdo rje,ངག་དབང་འཇིགས་མེད་རྡོ་རྗེ།,,0,,,,0,,,,ngag dbang 'jigs med rdo rje,ngag dbang 'jigs med rdo rje,,ངག་དབང་འཇིགས་མེད་རྡོ་རྗེ།,,,
11,P00EGS1010412,,rat+na sa mu dra,bo-x-ewts,,rat+na sa mu dra,རཏྣ་ས་མུ་དྲ།,,0,,,,0,,,,rat+na sa mu dra,rat+na sa mu dra,,རཏྣ་ས་མུ་དྲ།,,,
12,P00EGS1016046,,tshe brtan bkra shis,bo-x-ewts,,tshe brtan bkra shis,ཚེ་བརྟན་བཀྲ་ཤིས།,,0,,,,0,,,,tshe brtan bkra shis,tshe brtan bkra shis,,ཚེ་བརྟན་བཀྲ་ཤིས།,,,
13,P00EGS1016275,,karma chos rgyal,bo-x-ewts,,karma chos rgyal,ཀརྨ་ཆོས་རྒྱལ།,,0,,,,0,,,,karma chos rgyal,karma chos rgyal,,ཀརྨ་ཆོས་རྒྱལ།,,,
14,P00EGS1016297,,blo gros rgyal mtshan,bo-x-ewts,,blo gros rgyal mtshan,བློ་གྲོས་རྒྱལ་མཚན།,,0,,,,0,,,,blo gros rgyal mtshan,blo gros rgyal mtshan,,བློ་གྲོས་རྒྱལ་མཚན།,,,
