Person ID,Historical Period ID,Historical Period Name,Person Name
5,7,12th Century,Gyergom Tsultrim Sengge
8,14,19th Century,Pelden Chime Takpai Dorje
9,3,8th Century,Mandāravā
23,5,10th Century,Ratnākaraśānti
23,6,11th Century,Ratnākaraśānti
29,14,19th Century,Lobzang Tendzin Chokyi Wangchuk
61,7,12th Century,Dorje Sherab
61,8,13th Century,Dorje Sherab
84,3,8th Century,Lasum Gyelwa Jangchub
86,3,8th Century,Langdro Konchok Jungne
96,3,8th Century,Lang Pelgyi Sengge
276,15,20th Century,Lhagyari Namgyel Gyatso
303,3,8th Century,Nanam Dorje Dudjom
490,3,8th Century,Kharchen Pelgyi Wangchuk
494,6,11th Century,Dangma Lhungyel
495,7,12th Century,Chetsun Sengge Wangchuk
620,7,12th Century,Damcho Lingpa
620,8,13th Century,Damcho Lingpa
726,10,15th Century,Paṇchen Namkha Pelzang
726,11,16th Century,Paṇchen Namkha Pelzang
1029,8,13th Century,Khenchen Sonam Pel
1035,8,13th Century,Khenchen Tashi Tsultrim
1035,9,14th Century,Khenchen Tashi Tsultrim
1108,3,8th Century,Namkhai Nyingpo
1370,3,8th Century,Khon Lui Wangpo
1564,12,17th Century,Samten Gyatso
1575,11,16th Century,Gyelwa Gyatso
1575,12,17th Century,Gyelwa Gyatso
1628,6,11th Century,Machik Jobum
1628,7,12th Century,Machik Jobum
1637,10,15th Century,Paṇchen Sonam Drakpa
1637,11,16th Century,Paṇchen Sonam Drakpa
1639,10,15th Century,Namgyel Gonpo
1659,10,15th Century,Tashi Peljor
1659,11,16th Century,Tashi Peljor
1719,7,12th Century,Jomo Mangchungma
1720,7,12th Century,Jocham Purmo
1721,7,12th Century,Yalung Jomo Auma
1722,6,11th Century,Langlab Jangchub Dorje
1726,7,12th Century,Sumpa Lotsāwa Darma Yonten
1728,7,12th Century,Pelchok Dangpo Dorje
1754,8,13th Century,Trulzhik Sengge Gyabpa
1820,10,15th Century,Muchen Sanggye Rinchen
1831,10,15th Century,Ga Rabjampa Kunga Yeshe
1852,9,14th Century,Gendun Gyeltsen
1852,10,15th Century,Gendun Gyeltsen
1869,12,17th Century,Lodro Namgyel
1871,9,14th Century,Samlo Sanggye Tashi
1871,10,15th Century,Samlo Sanggye Tashi
1898,10,15th Century,Muchen Sempa Chenpo Konchok Gyeltsen
1901,14,19th Century,Kunga Chopak Tubten Nyima
1902,15,20th Century,Kelzang Lodro Kunga Lungtok Gyatso
1903,13,18th Century,Gendun Chokyi Wangchuk
1908,10,15th Century,Drakpa Dorje
1930,10,15th Century,Pelden Dorje
1963,10,15th Century,Kunga Wangchuk
1974,10,15th Century,Kunga Wangchuk
1981,11,16th Century,Kyabdak Drubchok Wangpo
1981,12,17th Century,Kyabdak Drubchok Wangpo
1985,10,15th Century,Gorampa Sonam Sengge
2029,8,13th Century,Shongton Dorje Gyeltsen
2051,8,13th Century,Pakpa Lodro Gyeltsen
2069,15,20th Century,Rinchen Dorje
2104,8,13th Century,Lotsāwa Chokden Lekpai Lodro
2118,13,18th Century,Kunzang Ngedon Wangpo
2118,14,19th Century,Kunzang Ngedon Wangpo
2137,7,12th Century,Sakya Paṇḍita Kunga Gyeltsen
2137,8,13th Century,Sakya Paṇḍita Kunga Gyeltsen
2162,10,15th Century,Tashi Namgyel
2162,11,16th Century,Tashi Namgyel
2180,12,17th Century,Lobzang Yeshe
2180,13,18th Century,Lobzang Yeshe
2181,8,13th Century,Chim Namkha Drak
2203,8,13th Century,Zhangton Konchok Pel
2232,10,15th Century,Kunkyong Lingpa
2235,15,20th Century,Kelzang Lungrik Gyatso
2237,14,19th Century,Kelzang Jigme Namkha
2238,14,19th Century,Lobzang Trinle Gyatso
2280,8,13th Century,Yeshe Rinchen
2314,8,13th Century,Rinchen Gyeltsen
2327,12,17th Century,Lobzang Donyo
2328,12,17th Century,Chokyi Gyelpo
2329,12,17th Century,Ngawang Jampa
2329,13,18th Century,Ngawang Jampa
2330,12,17th Century,Ngawang Chokyi Wangchuk
2336,12,17th Century,Kunga Puntsok
2338,11,16th Century,Nesar Jamyang Khyentse Wangchuk
2339,13,18th Century,Jampel Gyatso
2339,14,19th Century,Jampel Gyatso
2340,11,16th Century,Labsum Gyeltsen
2387,10,15th Century,Ngorchen Kunga Zangpo
2392,12,17th Century,Lobzang Dorje
2392,13,18th Century,Lobzang Dorje
2393,14,19th Century,Lobzang Tsultrim Jigme Gyatso
2393,15,20th Century,Lobzang Tsultrim Jigme Gyatso
2399,13,18th Century,Yeshe Kelzang
2409,13,18th Century,Namkha Sengge
2418,14,19th Century,Ngawang Lobzang
2418,15,20th Century,Ngawang Lobzang
2419,15,20th Century,Dungkar Lobzang Trinle
2423,15,20th Century,Surkhang Wangchen Gelek
2424,15,20th Century,Horkhang Sonam Pelbar
2427,11,16th Century,Pelden Gyeltsen
2434,11,16th Century,Yonten Gyatso
2436,12,17th Century,Lobzang Dondrub
2436,13,18th Century,Lobzang Dondrub
2441,11,16th Century,Drakpa Wozer
2441,12,17th Century,Drakpa Wozer
2442,12,17th Century,Sumpa Damcho Gyatso
2456,14,19th Century,Khyenrab Yonten Gyatso
2456,15,20th Century,Khyenrab Yonten Gyatso
2462,12,17th Century,Gyelwa Gyatso
2462,13,18th Century,Gyelwa Gyatso
2469,14,19th Century,Lobzang Chopel Gyatso
2469,15,20th Century,Lobzang Chopel Gyatso
2483,8,13th Century,Kyoton Monlam Tsultrim
2491,9,14th Century,Lama Dampa Sonam Gyeltsen
2495,14,19th Century,Sherab Gyatso
2504,6,11th Century,Machik Zhama
2504,7,12th Century,Machik Zhama
2506,14,19th Century,Tubten Jigme Gyatso
2510,6,11th Century,Padampa Sanggye
2510,7,12th Century,Padampa Sanggye
2521,15,20th Century,Lobzang Trinle Lungtok Gyatso
2523,11,16th Century,Ngawang Chokyi Gyeltsen
2523,12,17th Century,Ngawang Chokyi Gyeltsen
2527,14,19th Century,Ngawang Chokdrub Tenpai Gyeltsen
2539,7,12th Century,Pakmodrupa Dorje Gyelpo
2541,15,20th Century,Takla Norbu
2561,7,12th Century,Lobpon Tsilungpa
2561,8,13th Century,Lobpon Tsilungpa
2577,8,13th Century,Drakpa Sherab
2577,9,14th Century,Drakpa Sherab
2578,8,13th Century,Zeu Drakpa Tsondru
2578,9,14th Century,Zeu Drakpa Tsondru
2584,8,13th Century,Won Sherab Jungne
2589,7,12th Century,Katokpa Dampa Deshek
2591,6,11th Century,Neuzurpa Yeshe Bar
2591,7,12th Century,Neuzurpa Yeshe Bar
2592,9,14th Century,Drubchen Namkha Gyeltsen
2593,7,12th Century,Shupu Namkha Sengge
2595,7,12th Century,Chennga Drakpa Jungne
2595,8,13th Century,Chennga Drakpa Jungne
2598,6,11th Century,Gonpawa Wangchuk Gyeltsen
2606,7,12th Century,Ngoje Repa
2606,8,13th Century,Ngoje Repa
2638,7,12th Century,Duldzinpa Takmapa Kawa Darseng
2639,13,18th Century,Karma Ngedon Tendzin Trinle Rabgye
2639,14,19th Century,Karma Ngedon Tendzin Trinle Rabgye
2640,13,18th Century,Karma Ngelek Tendzin Trinle Rabgye
2661,10,15th Century,Peljor Dondrub
2662,12,17th Century,Choying Dorje
2665,11,16th Century,Tsuklak Gyatso
2665,12,17th Century,Tsuklak Gyatso
2670,9,14th Century,Dolpopa Sherab Gyeltsen
2683,7,12th Century,Dusum Khyenpa
2712,12,17th Century,Tāranātha
2720,12,17th Century,Sonam Puntsok
2720,13,18th Century,Sonam Puntsok
2730,14,19th Century,Karma Shedrub Chokyi Sengge
2730,15,20th Century,Karma Shedrub Chokyi Sengge
2733,8,13th Century,Orgyenpa Rinchen Pel
2740,8,13th Century,Yungton Dorje Pel
2740,9,14th Century,Yungton Dorje Pel
2755,12,17th Century,Ngawang Sonam Gyatso
2755,13,18th Century,Ngawang Sonam Gyatso
2758,14,19th Century,Kelzang Tubten Wangchuk
2758,15,20th Century,Kelzang Tubten Wangchuk
2774,9,14th Century,Chokyi Gyelpo
2776,8,13th Century,Karma Pakshi
2780,8,13th Century,Sonam Bumpa
2781,7,12th Century,Jampa Bum
2781,8,13th Century,Jampa Bum
2784,15,20th Century,Lobzang Jamyang Yeshe Tenpai Gyeltsen
2787,13,18th Century,Jamyang Khyenrab Gyatso
2787,14,19th Century,Jamyang Khyenrab Gyatso
2788,14,19th Century,Jigme Trinle Gyatso
2788,15,20th Century,Jigme Trinle Gyatso
2789,7,12th Century,Nyo Gyelwa Lhanangpa Sanggye Rinchen
2789,8,13th Century,Nyo Gyelwa Lhanangpa Sanggye Rinchen
2790,8,13th Century,Yonten Gyatso
2790,9,14th Century,Yonten Gyatso
2791,8,13th Century,Tsonawa Sherab Zangpo
2798,7,12th Century,Kunden Repa
2799,7,12th Century,Tropu Gyeltsa Rinchen Gon
2801,9,14th Century,Sabzang Mati Paṇchen Lodro Gyeltsen
2803,8,13th Century,Jangsem Gyelwa Yeshe 
2803,9,14th Century,Jangsem Gyelwa Yeshe 
2806,8,13th Century,Kodrakpa Sonam Gyeltsen
2810,7,12th Century,Śākyaśrībhadra
2810,8,13th Century,Śākyaśrībhadra
2812,9,14th Century,Chokle Namgyel
2814,12,17th Century,Tenzin Lekshe
2816,4,9th Century,Lachen Gongpa Rabsel
2816,5,10th Century,Lachen Gongpa Rabsel
2819,13,18th Century,Yeshe Tardo
2819,14,19th Century,Yeshe Tardo
2823,9,14th Century,Jonang Lotsāwa Lodro Pel
2845,8,13th Century,Buton Rinchen Drub
2845,9,14th Century,Buton Rinchen Drub
2854,9,14th Century,Dondrub Rinchen
2866,10,15th Century,Jamyang Sherab Gyatso
2871,11,16th Century,Gendun Tenpa Dargye
2872,12,17th Century,Lodro Gyatso
2882,9,14th Century,Longchenpa Drime Wozer
2891,9,14th Century,Duldzin Drakpa Gyeltsen
2891,10,15th Century,Duldzin Drakpa Gyeltsen
2896,10,15th Century,Jamyang Donyo Pelden
2896,11,16th Century,Jamyang Donyo Pelden
2899,7,12th Century,Jikten Gonpo Rinchen Pel
2912,10,15th Century,Lobzang Nyima
2915,7,12th Century,Drakpa Gyeltsen
2916,7,12th Century,Sachen Kunga Nyingpo
2919,7,12th Century,Sonam Tsemo
2926,12,17th Century,Lobzang Samten
2926,13,18th Century,Lobzang Samten
2931,12,17th Century,Drakpa Shedrub
2931,13,18th Century,Drakpa Shedrub
2943,14,19th Century,Konchok Gyatso
2943,15,20th Century,Konchok Gyatso
2945,14,19th Century,Sungrab Gyatso
2945,15,20th Century,Sungrab Gyatso
