"TOL ID","TBRC RID","Primary title","Primary name","Wylie title","Wylie name","Birth year","Birth year approximate","Birth year alternate","Death year","Death year approximate","Death year alternate",Gender,"HAR URL","Death century","Historical period","Name displayed as","Name Variants","Birth century",Ordinal,"Wikidata ID"
5,P00AG02484,,"Gyergom Tsultrim Sengge",,"gyer sgom tshul khrims seng+ge",1144,0,,1204,0,,M,,,,"Phonetic: Gyergom Tsultrim Sengge Wylie: gyer sgom tshul khrims seng+ge","gyer sgom gnyis pa,bo-x-ewts;Gyergom Nyipa,en",,,
8,P00AG0401,,"Pelden Chime Takpai Dorje",,"dpal ldan 'chi med rtag pa'i rdo rje",1851,0,,1898,0,,M,,,,"Phonetic: Pelden Chime Takpai Dorje Wylie: dpal ldan 'chi med rtag pa'i rdo rje","'jigs bral dpal ldan pa'i nyi ma 'chi med rtag pa'i rdo rje srid zhi'i dbang phyig don thams cad yongs su grub pa'i sde,bo-x-ewts;Dokham Dege Gyelgenma,en;mdo khams sde dge rgyal rgan ma,bo-x-ewts;tshe dbang rig 'dzin,bo-x-ewts",,,
9,P00AG0428,,Mandāravā,,"lha lcam man+dA ra bA",,0,,,0,,F,,,,"Phonetic: Mandāravā Wylie: lha lcam man+dA ra bA","grub pa'i rgyal mo,bo-x-ewts;ma gcig grub pa'i rgyal mo,bo-x-ewts;Machik Drubpai Gyelmo,en;man+DA ra ba,bo-x-ewts;mandarava,en","8th century (early)",,
23,P00EGS1016642,,Ratnākaraśānti,,"rin chen 'byung gnas zhi ba",970,1,,1045,1,,M,,,,"Phonetic: Ratnākaraśānti Wylie: rin chen 'byung gnas zhi ba","dkon mchog 'byung gnas,bo-x-ewts;Ratnākara,sa-x-iast;Rinchen Jungne Shiwa,en;Śānti,sa-x-iast;Śāntipa,sa-x-iast;Śāntipā,sa-x-iast",,,
29,P00EGS1016721,"Gyara Tulku","Lobzang Tendzin Chokyi Wangchuk","rgya ra sprul sku","blo bzang bstan 'dzin chos kyi dbang phyug",1918,0,,1976,0,,M,,,,"Phonetic: The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk Wylie: rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug","Gyara 08,en;rgya ra 08,bo-x-ewts",,08,
61,P00EGS1017135,,"Dorje Sherab",,"rdo rje shes rab",,0,,,0,,M,,,,"Phonetic: Dorje Sherab Wylie: rdo rje shes rab","Chennga Dorje Sherab,en;spyan snga rdo rje shes rab,bo-x-ewts","12th century",,
84,P00EGS1017608,,"Lasum Gyelwa Jangchub",,"la gsum rgyal ba byang chub",,0,,,0,,M,,,,"Phonetic: Lasum Gyelwa Jangchub Wylie: la gsum rgyal ba byang chub","Gyelwa Jangchub,en;rgyal ba byang chub,bo-x-ewts","8th century (early)",,
86,P00EGS1017610,,"Langdro Konchok Jungne",,"lang gro dkon mchog 'byung gnas",,0,,,0,,M,,,,"Phonetic: Langdro Konchok Jungne Wylie: lang gro dkon mchog 'byung gnas","dkon mchog 'byung gnas,bo-x-ewts;Konchok Jungne,en","8th century (early)",,
96,P00EGS1017620,,"Lang Pelgyi Sengge",,"rlangs dpal gyi seng+ge",,0,,,0,,M,,,,"Phonetic: Lang Pelgyi Sengge Wylie: rlangs dpal gyi seng+ge","dpal gyi seng+ge,bo-x-ewts;Pelgyi Sengge,en","8th century (early)",,
276,P00KG09732,"Ruler of Eyul","Lhagyari Namgyel Gyatso","e lha rgya ri khri chen","rnam rgyal rgya mtsho",1927,1,,2003,0,,M,,,,"Phonetic: The Seventeenth Ruler of Eyul, Lhagyari Namgyel Gyatso Wylie: e lha rgya ri khri chen 17 rnam rgyal rgya mtsho","e lha rgya ri'i khri thog 17 rnam rgyal rgya mtsho,bo-x-ewts",,17,
303,P4CZ10564,,"Nanam Dorje Dudjom",,"sna nam rdo rje bdud 'joms",,0,,,0,,M,,,,"Phonetic: Nanam Dorje Dudjom Wylie: sna nam rdo rje bdud 'joms","Ba Trishi,en;Dorje Dudjom,en;rba khri gzigs,bo-x-ewts;rdo rje bdud 'joms,bo-x-ewts","8th century (early)",,
