TOL ID,TBRC RID,Primary title,Primary name,Wylie title,Wylie name,Wylie script,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,HAR URL,Name display phonetic,Name display Wylie,Ordinal,Wikidata ID
5,P00AG02484,,Gyergom Tsultrim Sengge,,gyer sgom tshul khrims seng+ge,གྱེར་སྒོམ་ཚུལ་ཁྲིམས་སེངྒེ།,1144,0,,NULL,1204,0,,NULL,M,,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,NULL,NULL
8,P00AG0401,,Pelden Chime Takpai Dorje,,dpal ldan 'chi med rtag pa'i rdo rje,དཔལ་ལྡན་འཆི་མེད་རྟག་པའི་རྡོ་རྗེ།,1851,0,,NULL,1898,0,,NULL,M,,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,NULL,NULL
9,P00AG0428,,Mandāravā,,lha lcam man+dA ra bA,མནདརབ༹།,NULL,0,,30,NULL,0,,31,F,,Mandāravā,lha lcam man+dA ra bA,NULL,NULL
23,P00EGS1016642,,Ratnākaraśānti,,rin chen 'byung gnas zhi ba,རིན་ཆེན་འབྱུང་གནས་ཞི་བ།,970,1,,NULL,1045,1,,NULL,M,,Ratnākaraśānti,rin chen 'byung gnas zhi ba,NULL,NULL
29,P00EGS1016721,Gyara Tulku,Lobzang Tendzin Chokyi Wangchuk,rgya ra sprul sku,blo bzang bstan 'dzin chos kyi dbang phyug,བློ་བཟང་བསྟན་འཛིན་ཆོས་ཀྱི་དབང་ཕྱུག།,1918,0,,NULL,1976,0,,NULL,M,,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug,8,NULL
61,P00EGS1017135,,Dorje Sherab,,rdo rje shes rab,རྡོ་རྗེ་ཤེས་རབ།,NULL,0,,45,NULL,0,,NULL,M,,Dorje Sherab,rdo rje shes rab,NULL,NULL
84,P00EGS1017608,,Lasum Gyelwa Jangchub,,la gsum rgyal ba byang chub,ལ་གསུམ་རྒྱལ་བ་བྱང་ཆུབ།,NULL,0,,30,NULL,0,,32,M,,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,NULL,NULL
86,P00EGS1017610,,Langdro Konchok Jungne,,lang gro dkon mchog 'byung gnas,ལང་གྲོ་དཀོན་མཆོག་འབྱུང་གནས།,NULL,0,,30,NULL,0,,32,M,,Langdro Konchok Jungne,lang gro dkon mchog 'byung gnas,NULL,NULL
96,P00EGS1017620,,Lang Pelgyi Sengge,,rlangs dpal gyi seng+ge,རླངས་དཔལ་གྱི་སེངྒེ།,NULL,0,,30,NULL,0,,32,M,,Lang Pelgyi Sengge,rlangs dpal gyi seng+ge,NULL,NULL
276,P00KG09732,Ruler of Eyul,Lhagyari Namgyel Gyatso,e lha rgya ri khri chen,rnam rgyal rgya mtsho,རྣམ་རྒྱལ་རྒྱ་མཚོ།,1927,1,,NULL,2003,0,,NULL,M,,"The Seventeenth Ruler of Eyul, Lhagyari Namgyel Gyatso",e lha rgya ri khri chen 17 rnam rgyal rgya mtsho,17,NULL
303,P4CZ10564,,Nanam Dorje Dudjom,,sna nam rdo rje bdud 'joms,སྣ་ནམ་རྡོ་རྗེ་བདུད་འཇོམས།,NULL,0,,30,NULL,0,,32,M,,Nanam Dorje Dudjom,sna nam rdo rje bdud 'joms,NULL,NULL
490,P0RK1217,,Kharchen Pelgyi Wangchuk,,mkhar chen dpal gyi dbang   phyug,མཁར་ཆེན་དཔལ་གྱི་དབང་ཕྱུག།,NULL,0,,30,NULL,0,,31,M,,Kharchen Pelgyi Wangchuk,mkhar chen dpal gyi dbang   phyug,NULL,NULL
494,P0RK1221,,Dangma Lhungyel,,ldang ma lhun rgyal,ལྡང་མ་ལྷུན་རྒྱལ།,NULL,0,,41,NULL,0,,NULL,M,,Dangma Lhungyel,ldang ma lhun rgyal,NULL,NULL
495,P0RK1222,,Chetsun Sengge Wangchuk,,lce btsun seng ge dbang phyug,ལྕེ་བཙུན་སེང་གེ་དབང་ཕྱུག།,NULL,0,,45,NULL,0,,NULL,M,,Chetsun Sengge Wangchuk,lce btsun seng ge dbang phyug,NULL,NULL
620,P0RK1366,,Damcho Lingpa,,dam chos gling pa,དམ་ཆོས་གླིང་པ།,1175,0,,48,NULL,0,,NULL,M,,Damcho Lingpa,dam chos gling pa,NULL,NULL
726,P0RK1485,,Paṇchen Namkha Pelzang,,paN chen nam mkha' dpal bzang,པཎ་ཆེན་ནམ་མཁའ་དཔལ་བཟང།,1464,0,,NULL,1529,0,,NULL,M,,Paṇchen Namkha Pelzang,paN chen nam mkha' dpal bzang,NULL,NULL
1029,P0RK27,,Khenchen Sonam Pel,,mkhan chen bsod nams dpal,མཁན་ཆེན་བསོད་ནམས་དཔལ།,NULL,0,,49,NULL,0,,NULL,M,,Khenchen Sonam Pel,mkhan chen bsod nams dpal,NULL,NULL
1035,P0RK28,,Khenchen Tashi Tsultrim,,mkhan chen bkra shis tshul,མཁན་ཆེན་བཀྲ་ཤིས་ཚུལ།,NULL,0,,52,NULL,0,,53,M,,Khenchen Tashi Tsultrim,mkhan chen bkra shis tshul,NULL,NULL
1108,P7743,,Namkhai Nyingpo,,nam mkha'i snying po,ནམ་མཁའི་སྙིང་པོ།,NULL,0,,30,NULL,0,,31,M,,Namkhai Nyingpo,nam mkha'i snying po,NULL,NULL
1370,P8218,,Khon Lui Wangpo,,khon klu'i dbang po,འཁོན་ཀླུའི་དབང་པོ།,NULL,0,,30,NULL,0,,NULL,M,,Khon Lui Wangpo,khon klu'i dbang po,NULL,NULL
1564,P1003,,Samten Gyatso,,bsam gtan rgya mtsho,བསམ་གཏན་རྒྱ་མཚོ།,1616,0,,NULL,1678,0,,NULL,M,,Samten Gyatso,bsam gtan rgya mtsho,NULL,NULL
1575,P1004,Tongkhor,Gyelwa Gyatso,stong 'khor,rgyal ba rgya mtsho,རྒྱལ་བ་རྒྱ་མཚོ།,1588,0,,NULL,1639,0,,NULL,M,,"The Third Tongkhor, Gyelwa Gyatso",stong 'khor 03 rgyal ba rgya mtsho,3,NULL
1586,P1005,,Drubkhang Gelek Gyatso,,sgrub khang dge legs rgya mtsho,སྒྲུབ་ཁང་དགེ་ལེགས་རྒྱ་མཚོ།,1641,0,,NULL,1713,0,,NULL,M,,Drubkhang Gelek Gyatso,sgrub khang dge legs rgya mtsho,NULL,NULL
1628,P10090,,Machik Jobum,,ma gcig jo 'bum,ཇོ་འབུམ།,NULL,0,,44,NULL,0,,47,F,,Machik Jobum,ma gcig jo 'bum,NULL,NULL
1637,P101,,Paṇchen Sonam Drakpa,,paN chen bsod nams grags pa,པཎ་ཆེན་བསོད་ནམས་གྲགས་པ།,1478,0,,NULL,1554,0,,NULL,M,,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,NULL,NULL
1639,P10100,,Namgyel Gonpo,,rnam rgyal mgon po,རྣམ་རྒྱལ་མགོན་པོ།,1399,0,,NULL,1424,0,,NULL,M,,Namgyel Gonpo,rnam rgyal mgon po,NULL,NULL
1659,P1012,Sanggye Nyenpa,Tashi Peljor,sangs rgyas mnyan pa,bkra shis dpal 'byor,བཀྲ་ཤིས་དཔལ་འབྱོར།,1457,0,,NULL,1519,0,,NULL,M,,"The First Sanggye Nyenpa, Tashi Peljor",sangs rgyas mnyan pa 01 bkra shis dpal 'byor,1,NULL
1719,P10177,,Jomo Mangchungma,,jo mo mang chung ma,ཇོ་མོ་མང་ཆུང་མ།,NULL,0,,45,NULL,0,,NULL,F,,Jomo Mangchungma,jo mo mang chung ma,NULL,NULL
1720,P10178,,Jocham Purmo,,jo lcam phur mo,ཇོ་ལྕམ་ཕུར་མོ།,NULL,0,,45,NULL,0,,NULL,F,,Jocham Purmo,jo lcam phur mo,NULL,NULL
1721,P10179,,Yalung Jomo Auma,,g.ya lung jo mo 'a 'u ma,གཡ་ལུང་ཇོ་མོ་འ་འུ་མ།,NULL,0,,45,NULL,0,,NULL,F,,Yalung Jomo Auma,g.ya lung jo mo 'a 'u ma,NULL,NULL
1722,P1018,,Langlab Jangchub Dorje,,lang lab byang chub rdo rje,ལང་ལབ་བྱང་ཆུབ་རྡོ་རྗེ།,NULL,0,,42,NULL,0,,44,M,,Langlab Jangchub Dorje,lang lab byang chub rdo rje,NULL,NULL
1726,P10183,,Sumpa Lotsāwa Darma Yonten,,sum pa lo tsA ba dar ma yon tan,སུམ་པ་ལོ་ཙཱ་བ་དར་མ་ཡོན་ཏན།,NULL,0,,46,NULL,0,,48,M,,Sumpa Lotsāwa Darma Yonten,sum pa lo tsA ba dar ma yon tan,NULL,NULL
1728,P10185,,Pelchok Dangpo Dorje,,dpal mchog dang po'i rdo rje,དཔལ་མཆོག་དང་པོའི་རྡོ་རྗེ།,NULL,0,,41,NULL,0,,NULL,M,,Pelchok Dangpo Dorje,dpal mchog dang po'i rdo rje,NULL,NULL
1754,P1021,,Trulzhik Sengge Gyabpa,,khrul zhig seng+ge rgyab pa,འཁྲུལ་ཞིག་སེངྒེ་རྒྱབ་པ།,NULL,0,,50,NULL,0,,52,M,,Trulzhik Sengge Gyabpa,khrul zhig seng+ge rgyab pa,NULL,NULL
1820,P1027,Ngor Khenchen,Muchen Sanggye Rinchen,ngor mkhan chen,mus chen sangs rgyas rin chen,མུས་ཆེན་སངས་རྒྱས་རིན་ཆེན།,1450,0,,NULL,1524,0,,NULL,M,,"The Eighth Ngor Khenchen, Muchen Sanggye Rinchen",ngor mkhan chen 08 mus chen sangs rgyas rin chen,8,NULL
1831,P1028,,Ga Rabjampa Kunga Yeshe,,sga rab 'byams pa kun dga' ye shes,སྒ་རབ་འབྱམས་པ་ཀུན་དགའ་ཡེ་ཤེས།,1397,0,,NULL,1470,0,,NULL,M,,Ga Rabjampa Kunga Yeshe,sga rab 'byams pa kun dga' ye shes,NULL,NULL
1852,P10299,Kirti,Gendun Gyeltsen,kirti,dge 'dun rgyal mtshan,དགེ་འདུན་རྒྱལ་མཚན།,1374,0,,NULL,1450,0,,NULL,M,,"The First Kirti, Gendun Gyeltsen",kirti 01 dge 'dun rgyal mtshan,1,NULL
1869,P10313,,Lodro Namgyel,,blo gros rnam rgyal,བློ་གྲོས་རྣམ་རྒྱལ།,1618,0,,NULL,1683,0,,NULL,M,,Lodro Namgyel,blo gros rnam rgyal,NULL,NULL
1871,P10315,,Samlo Sanggye Tashi,,bsam blo sangs rgyas bkra shis,བསམ་བློ་སངས་རྒྱས་བཀྲ་ཤིས།,NULL,0,,NULL,1413,0,,NULL,M,,Samlo Sanggye Tashi,bsam blo sangs rgyas bkra shis,NULL,NULL
1898,P1034,NULL,Muchen Sempa Chenpo Konchok Gyeltsen,NULL,mus chen sems dpa' chen po dkon mchog rgyal mtshan,མུས་ཆེན་སེམས་དཔའ་ཆེན་པོ་དཀོན་མཆོག་རྒྱལ་མཚན།,1388,0,,NULL,1469,0,,NULL,M,,Muchen Sempa Chenpo Konchok Gyeltsen,mus chen sems dpa' chen po dkon mchog rgyal mtshan,NULL,NULL
1901,P10342,Kirti,Kunga Chopak Tubten Nyima,kirti,kun dga' chos 'phags thub bstan nyi ma,ཀུན་དགའ་ཆོས་འཕགས་ཐུབ་བསྟན་ཉི་མ།,1797,0,,NULL,1848,0,,NULL,M,,"The Seventh Kirti, Kunga Chopak Tubten Nyima",kirti 07 kun dga' chos 'phags thub bstan nyi ma,7,NULL
1902,P10343,Kirti,Kelzang Lodro Kunga Lungtok Gyatso,kirti,bskal bzang blo gros kun dga' lung rtogs rgya mtsho,བསྐལ་བཟང་བློ་གྲོས་ཀུན་དགའ་ལུང་རྟོགས་རྒྱ་མཚོ།,1905,0,,NULL,1920,0,,NULL,M,,"The Ninth Kirti, Kelzang Lodro Kunga Lungtok Gyatso",kirti 09 bskal bzang blo gros kun dga' lung rtogs rgya mtsho,9,NULL
1903,P10344,Kirti,Gendun Chokyi Wangchuk,kirti,dge 'dun chos kyi dbang phyug,དགེ་འདུན་ཆོས་ཀྱི་དབང་ཕྱུག།,1773,0,,NULL,1796,0,,NULL,M,,"The Sixth Kirti, Gendun Chokyi Wangchuk",kirti 06 dge 'dun chos kyi dbang phyug,6,NULL
1908,P1035,NULL,Drakpa Dorje,NULL,grags pa rdo rje,གྲགས་པ་རྡོ་རྗེ།,NULL,0,,NULL,1491,1,,NULL,M,,Drakpa Dorje,grags pa rdo rje,NULL,NULL
1930,P1037,Ngor Khenchen,Pelden Dorje,ngor mkhan chen,dpal ldan rdo rje,དཔལ་ལྡན་རྡོ་རྗེ།,1411,0,,NULL,1482,0,,NULL,M,,"The Fifth Ngor Khenchen, Pelden Dorje",ngor mkhan chen 05 dpal ldan rdo rje,5,NULL
1963,P1040,Ngor Khenchen,Kunga Wangchuk,ngor mkhan chen,kun dga' dbang phyug,ཀུན་དགའ་དབང་ཕྱུག།,1424,0,,NULL,1478,0,,NULL,M,,"The Fourth Ngor Khenchen, Kunga Wangchuk",ngor mkhan chen 04 kun dga' dbang phyug,4,NULL
1974,P1041,,Kunga Wangchuk,,kun dga' dbang phyug,ཀུན་དགའ་དབང་ཕྱུག།,1418,0,,NULL,1462,0,,NULL,M,,Kunga Wangchuk,kun dga' dbang phyug,NULL,NULL
1981,P10416,,Kyabdak Drubchok Wangpo,,khyab bdag grub mchog dbang po,ཁྱབ་བདག་གྲུབ་མཆོག་དབང་པོ།,1575,1,,NULL,1618,1,,NULL,M,,Kyabdak Drubchok Wangpo,khyab bdag grub mchog dbang po,NULL,NULL
1985,P1042,NULL,Gorampa Sonam Sengge,NULL,go rams pa bsod nams seng ge,གོ་རམས་པ་བསོད་ནམས་སེང་གེ།,1429,0,,NULL,1489,0,,NULL,M,,Gorampa Sonam Sengge,go rams pa bsod nams seng ge,NULL,NULL
2029,P1046,,Shongton Dorje Gyeltsen,,shong ston rdo rje rgyal mtshan,ཤོང་སྟོན་རྡོ་རྗེ་རྒྱལ་མཚན།,NULL,0,,50,NULL,0,,52,M,,Shongton Dorje Gyeltsen,shong ston rdo rje rgyal mtshan,NULL,NULL
2051,P1048,,Pakpa Lodro Gyeltsen,,phags pa blo gros rgyal mtshan,འཕགས་པ་བློ་གྲོས་རྒྱལ་མཚན།,1235,0,,NULL,1280,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=574,Pakpa Lodro Gyeltsen,phags pa blo gros rgyal mtshan,NULL,NULL
