place_id,is_branch_of
43,9
44,9
62,39
110,39
145,720
158,95
159,720
179,128
207,32
209,206
219,218
243,468
345,156
346,156
361,41
368,41
404,237
410,41
421,9
437,375
470,13
473,95
480,41
485,64
488,9
499,398
519,9
522,12
525,14
567,14
572,190
574,39
591,95
621,14
687,95
696,9
697,9
699,9
702,174
724,349
813,237
838,39
979,41
1013,41
1038,354
1042,401
1069,237
1089,352
1096,14
1112,14
1178,41
1185,41
1187,95
1211,14
1216,215
1229,342
1231,38
1246,349
1261,12
1263,12
1266,244
1273,237
1276,603
1277,9
1315,348
1317,38
1318,9
1334,40
1340,95
1398,11
1401,327
1431,9
1521,342
1541,95
1549,385
1556,12
1592,128
1596,32
1597,207
1604,128
1617,32
1618,32
1619,32
1620,32
1625,375
1631,128
1632,12
1649,9
1659,342
1674,9
1676,9
1747,9
183,839
403,1299
827,892
1300,1299
1320,1316
1335,12
1475,892
1560,893
1750,41
1191,947
1194,947
1308,869
1502,968
1551,1493
1686,1685
1694,1493
1702,9
