community_id,person_id
1256,13121; 13123; 13124
514,1639; 3010; 7767; 13650
1724,13879
1336,2740
1131,6749; 6756
522,5099
309,9105; 11572
232,7803; 10536; 13825
1704,2992
1662,13823
1102,3152
1276,3194
39,40; 1586; 2180; 2328; 2339; 2418; 2462; 2787; 2912; 2949; 3141; 3152; 3307; 3414; 3758; 3782; 3791; 3822; 3877; 3883; 3989; 4077; 4265; 4380; 4631; 5317; 5426; 5729; 5805; 5871; 5899; 6175; 6219; 6526; 6746; 6788; 6910; 6953; 7240; 7297; 7525; 8156; 9289; 9693; 9839; 9873; 10168; 10687; 10961; 11114; 11417; 11437; 11575; 11731; 12521; 12828; 13173; 13203; 13510; 13628
344,2442; 3758
38,29; 1637; 1901; 2327; 2328; 2330; 2339; 2399; 2436; 2462; 2506; 2758; 2787; 2912; 2949; 3008; 3040; 3064; 3085; 3107; 3225; 3307; 3758; 3782; 3866; 3877; 3955; 3989; 4092; 4141; 4259; 4285; 4314; 4535; 4730; 5317; 5338; 5805; 5849; 5871; 5897; 6009; 6065; 6110; 6161; 6286; 6470; 6535; 6536; 6670; 6746; 6874; 6910; 6935; 6953; 6997; 7007; 7107; 7162; 7232; 8103; 8986; 9062; 9126; 9213; 9254; 9839; 9873; 10579; 11114; 11131; 11437; 11565; 11731; 12096; 12828; 12883; 13026; 13168; 13182; 13423; 13519; 13596; 13625; 13628; 13652; 13683; 13694; 13708; 13725; 13737; 13740; 13743; 13744; 13822
342,1564; 2393; 2436; 2441; 2442; 2456; 2758; 2784; 2872; 2996; 3008; 3064; 3086; 3173; 3307; 3758; 3769; 3866; 4163; 4206; 4380; 4488; 4490; 4493; 4607; 4642; 4720; 5317; 5328; 5338; 5360; 5729; 5796; 6161; 6185; 6466; 6493; 6502; 6505; 6548; 6622; 6635; 6646; 6670; 6731; 7162; 7170; 7232; 7882; 8184; 9055; 9254; 9693; 10394; 11437; 13182; 13183; 13195; 13202; 13510
11,2997; 3006; 3866; 3883; 8181; 8964; 8975; 9126; 9158; 9169; 9254; 9383; 9513; 9935; 13190; 13191; 13617; 13654; 13689; 13817
1229,5317
351,4487
1036,5326
