"Place Name","BDRC ID",community_id,person_id
"Achung Namdzong",G1KG514,1428,2816
"Adu Yakgo ",G3091,1486,5824
"Adzom Gar",G188,43,"13653; 13654; 13659; 13810; 8574; 9990"
"Adzom Wosel Dongag Chokher Ling",NULL,1741,13884
"Alchi Chokhor",G0LAT901,1102,3152
"Alo Peljor Gang",G1691,571,4358
Amarbayasgalant,G2KR4,1192,7162
"Amchok Monastery",G393,480,"6045; 7881; 7882"
"Amchok Tsenyi",G1962,718,12171
"Amdo Chubzang Monastery",G164,340,"13867; 4524; 5479; 5490; 3883; 8861"
"Amnye Machen",G3214,1086,"9083; 4611; 13086; 2541; 3061"
Angang,NULL,501,6635
"Ani Tsemkhung",G1KR827,1022,3989
"Anja Ritro",NULL,1334,2399
"Ara Khamtsen",G2463,1246,7565
"Arik Gonchen",G1KR2385,805,"6065; 12828"
"Aten Tsamkhang",G1KR2912,1703,13865
"Ati Ling",NULL,1640,12981
"Atsagat Datsan",NULL,1049,"13510; 11437"
"Baḥne Monastery ",G4098,1321,"13617; 13688"
Bakha,G1KR1893,1330,10811
"Banak Zhol Gyelkhang",NULL,865,11114
"Bangri Jokpo ",G00JR2680,309,"9105; 11572"
Banshul,G1911,1041,8861
"Baradrak Dondrubding",G512,1493,"9761; 9764; 13855; 13859; 3266"
Bardan,NULL,1588,"13743; 13825"
"Bardrok Dorje Ling",G212,996,"11942; 11462"
"Barkor Mani Lhakhang",NULL,867,5805
"Barom Gon",G1KR1663,70,"7637; 3181"
"Baruun Khiid",G2KR18,1200,13588
"Batang Drubgon",G522,1322,13617
Benchen,NULL,1542,12839
"Benchok Ritro",NULL,1050,10093
Bengen,G1574,1415,12180
Bennak,G1KR2634,1071,10083
"Beri Monastery",G380,1219,13173
"Beru Lachen",G1KR2824,1604,"12479; 4310"
"Beshing Monastery",G4847,1178,"7879; 9523"
"Bhutan House",G1TD23,1099,3307
"Bido Gonchen",G4681,398,"2788; 3296; 4665"
"Birla House",NULL,1470,7007
"Bo Gangkar Monastery",G409,1429,"10355; 2730"
Bodhgaya,G2GS1037,1158,"1728; 3307; 3822; 4261; 5527; 6037; 7007; 13230; 13628; 13648; 13697; 13773; 13811; 13812; 8536; 9985; 10355; 11385"
"Bodong E",G244,612,"10480; 2338; 2340; 2733; 3153; 3753; 4086; 13206"
Bora,G2DB94319,979,2409
Borobudur,NULL,1397,13648
Boudhanath,G00KG09762,173,"12839; 13745; 8782; 9372; 10355; 11385; 4611; 5457; 7007; 7870; 2997; 3152"
"Boulder Shambhala Center",NULL,1447,"11231; 11385"
"Buchu Lhakhang",G00JR3006,1120,"9513; 13239"
"Buddhistisk Center Kobenhavn",NULL,1508,11385
"Buxa Chogar Tosam Tardo Ling",NULL,1473,"8612; 12479; 7007"
"Central Institute of Buddhist Studies",NULL,1411,13652
"Central Tibetan Administration",NULL,1543,"13519; 13545; 13549; 13583; 13611; 9983"
"Chagdud Dechen Ling",NULL,1638,12981
"Chagdud Orgyen Ling",G1603,449,"12981; 4125"
"Chakar Monastery",G2CN11085,590,6285
Chakpori,G261,443,"4358; 6205; 13654; 13693; 13694; 13806; 8538; 8906; 9442; 9839; 2180; 2662; 3134; 3955"
"Chakri Nyidrak Monastery",G1KR1686,426,"6668; 8578; 9546; 10412; 10413; 10414; 10415; 11487"
"Chakzam Chuwori",G3507,563,"9469; 13205"
"Chamdo Jampa Ling ",G180,237,"11565; 11597; 11618; 13078; 13097; 13098; 13099; 13100; 13101; 13102; 13103; 13104; 13105; 13106; 13107; 13108; 13109; 13110; 13404; 13423; 8076; 8085; 8101; 8103; 9126; 9693; 9750; 29; 2328; 2329; 2462; 2592; 3778; 3782; 3783; 3784; 3785; 3786; 3788; 3789; 3791; 3792; 3793; 3794; 3795; 3877; 3989; 4002; 4285; 5137; 5897; 6340; 6373; 6770; 6793; 6935"
"Changlung Choding ",NULL,109,13064
"Changlung Monastery",G3832,1249,4358
"Changma Gar",G2JM249,526,"5122; 10457"
"Changra Samdrubtse",NULL,1687,"7581; 2720"
Charasa,NULL,1418,7305
"Chekar Chode",G2CN10832,198,"12828; 13541"
Chekha,G2066,435,5791
Chemrey,G1BL6,234,10536
"Chenye Monastery",G1KR1455,1218,"5500; 7114"
"Cheri Monastery",G4711,307,"7622; 7803; 7815"
Chimilung,G4611,1247,7565
"Chitokha Puntsok Rabten Ling ",NULL,381,"7644; 13133; 3000"
Chobar,NULL,1653,13773
"Choding Monastery",G1KR1885,134,10824
"Chodrak Gon",G3919,1226,4125
"Choje Monastery",G1KR236,209,"11632; 4358; 8752"
"Chokhor Gang",G321,1197,11285
"Chokhor Gyel",G4634,466,"8108; 9361; 11114; 4141; 4720; 5901; 6874"
"Chokhor Ling",NULL,1476,"7007; 4309"
"Chokhor Tse",NULL,106,"2434; 13064"
"Chokhor Uding",NULL,186,13026
"Cholung Jangtse",G1AG83,119,"2670; 2712; 4085; 11437"
"Chone Ganden Shedrub Ling",G435,354,"2788; 2926; 2931; 3072; 13502; 13507; 13544; 13547; 13550; 5652; 5706; 5897; 6331; 6332; 6333; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 7881"
"Chopra House",NULL,1471,7007
"Chorten Kyak",NULL,502,6635
"Chorten Tang Tashi Dargye Ling ",G170,441,"6419; 2755; 3134; 3739; 9873"
"Chozang Ritro",G4473,1152,3225
"Chubar Hermitage",G1AG82,1068,"3877; 10835"
Chubzang,G4619,112,"9574; 4497; 6466"
"Chubzang Hermitage (Sera)",G2479,1021,"6009; 3989; 4000; 4309"
"Chukha Monastery",NULL,597,5626
"Chukyer Gonsar",NULL,235,11352
Chumik,G1KR1511,1329,"4086; 12838"
"Chunak Tashi Choling",G1877,442,3134
"Chung Riwoche ",G381,115,"9030; 13065"
"Chungchen Peldzong",G2CN11105,1296,9990
Chungtang,NULL,1552,9761
"Chushur Tarpa Ling",G2424,827,6065
"Chuwar Monastery",G3109,1292,13240
CIHTS,NULL,1707,40
"Dab Yangteng Monastery",G1162,351,4487
Dachen,G1KR239,1365,10961
Daci'ensi,NULL,1378,13633
"Dagam Wangpuk",NULL,1430,"8181; 4358; 7442"
"Dago Monastery",G3821,1212,"8972; 10018"
"Daklha Gampo",G197,63,"9126; 10258; 7523; 13242; 620; 2584; 2589; 2595; 2662; 2683; 3121; 3165; 3168; 3169; 3175; 3182"
"Dakpo Draka",NULL,217,2683
"Dakpo Dratsang ",G308,298,"3171; 4489; 7093; 7565; 8107; 8109; 9062"
Daktok,G1BL7,1398,13650
"Dambadarjaa Monastery",G2KR38,1295,7069
Damtok,G2706,1488,4820
Dangkhar,NULL,1394,8108
"Dar Chode",G2360,310,6286
"Dar Drangmoche",G1KR1565,33,"5858; 12613; 13721; 2338; 4310; 10548"
"Dargye Monastery",G1541,266,"8103; 5381"
"Darnga Hermitage",NULL,204,8752
