Person TOL ID,Institution Founded ID
2589,9
9633,10
8975,11
9126,12
9525,13
9148,14
3178,15
11471,21
2387,32
10539,33
2817,35
8986,36
5795,37
5849,38
10687,39
12828,40
6646,41
8574,43
9895,44
6205,45
4676,48
7114,52
8181,59
8181,60
5790,62
3168,63
2539,64
2799,67
3182,68
3181,70
11877,73
6547,75
6547,76
4175,78
4368,80
2899,82
5,85
11865,87
11307,90
5728,91
3673,93
2683,95
4341,101
4343,105
2712,110
4118,116
13065,116
5728,117
10811,127
6735,128
2789,129
6749,130
2806,132
10824,134
12828,136
12828,137
11114,140
9296,145
6159,151
11619,156
7636,157
7636,159
3469,160
10467,165
12523,174
1831,178
2051,180
6626,185
13557,185
3762,190
5557,191
7393,192
5810,195
6285,197
5789,199
13587,200
11632,206
11632,209
1869,210
2683,215
2875,216
1732,218
13141,218
13068,219
5786,224
6699,225
6452,226
4630,229
9201,231
10536,233
10536,234
2891,236
13078,237
12078,241
4369,242
2980,244
13571,245
1898,249
1898,250
5457,254
6770,255
8103,266
8103,267
1985,269
1985,270
7370,276
12692,277
6690,279
13230,282
6690,285
6690,286
2591,291
7093,298
9065,305
11865,306
7589,307
10531,308
11572,309
6175,314
13036,316
6441,317
1586,321
1586,322
10440,323
5823,324
2596,325
4267,327
9634,331
2892,335
2952,339
5962,340
13195,342
8986,343
7232,348
10199,352
2051,354
6712,357
2854,358
6198,361
4492,363
12763,364
5824,367
2996,368
6738,370
13121,371
1871,373
3296,375
7589,376
7815,378
7644,381
4379,382
4379,383
2789,387
4372,388
4372,389
7895,390
8343,392
10760,393
3000,400
3062,401
9750,404
7589,405
2882,406
4727,408
3712,411
9383,412
1852,413
10531,415
7874,418
4140,419
4691,421
6668,426
6668,427
8625,430
8578,432
6667,434
5791,435
9601,439
9873,440
9873,441
3134,442
9622,445
2051,447
4125,450
4125,452
10539,453
5897,455
6162,464
11114,466
5479,468
12371,472
2683,473
2996,480
6045,482
3049,484
2489,485
9071,488
1564,496
6635,497
6635,498
6635,500
6635,502
6635,503
6635,504
9929,508
9929,509
7767,514
9052,515
9052,516
1901,517
3246,524
9587,526
5961,532
2816,533
6746,539
2330,540
4328,547
5417,551
4344,560
13244,561
13206,564
8892,567
10909,571
13553,571
13221,585
13222,586
6285,590
6620,591
5489,599
6100,603
5504,615
13587,650
10760,672
10824,687
8972,688
13525,691
9083,696
5151,700
1617,702
13233,703
13233,704
2510,711
6130,713
13760,718
10199,719
5447,720
13751,723
5652,724
2683,807
10500,808
6065,810
5999,811
12828,812
2137,814
10199,821
6065,827
5588,828
1539,829
2504,834
4266,838
8986,840
4513,861
6712,866
13469,869
2072,871
3135,874
5871,878
13277,881
6065,889
12828,892
10760,894
10811,899
3107,906
10199,910
10687,911
10760,912
3955,915
2996,920
2996,921
2758,922
6646,923
3899,935
3899,937
10772,938
11880,939
5436,942
13435,944
8334,947
4691,955
4166,956
9688,957
7373,961
11385,968
3169,972
4358,974
7069,984
4358,989
4632,1000
11736,1009
8603,1016
6009,1021
4000,1023
6344,1038
13510,1055
10832,1056
2882,1066
13104,1068
13530,1069
7803,1072
7442,1073
12100,1087
7486,1090
11246,1097
10199,1102
8513,1104
6065,1119
10760,1120
10760,1121
10750,1122
10760,1123
10760,1124
10760,1125
2427,1126
6756,1131
12840,1147
3758,1150
11550,1157
4511,1162
2854,1165
6766,1166
4676,1172
9699,1173
9523,1185
8334,1191
8342,1194
2696,1206
10018,1211
10909,1216
13553,1216
7114,1218
13593,1224
525,1226
5317,1230
5803,1240
8538,1244
2854,1248
2986,1249
7326,1250
10434,1251
3778,1273
11726,1282
9587,1284
5820,1294
6548,1299
7442,1305
294,1318
12050,1340
2998,1353
13628,1370
4622,1380
5820,1386
5820,1387
6441,1388
2511,1390
5823,1399
8027,1400
9618,1404
12403,1408
13652,1412
4267,1414
7305,1417
7305,1418
7305,1419
7305,1420
7305,1422
3049,1426
11231,1442
3323,1450
12180,1453
12180,1454
12180,1455
12180,1456
12180,1457
12180,1458
12180,1459
12180,1460
12180,1461
11274,1462
5824,1486
5824,1487
3266,1493
10343,1496
11483,1501
11385,1502
11407,1504
11385,1506
11385,1507
11385,1509
11199,1510
11385,1512
5489,1513
10952,1518
6118,1521
2784,1522
6646,1523
2951,1530
13576,1530
10015,1535
2776,1541
2951,1543
13576,1543
7218,1551
1659,1554
2776,1556
3419,1560
11042,1562
10355,1573
12403,1575
9095,1578
12479,1591
