"Person TOL ID","Institution Founded ID"
5,85
294,1318
525,1226
1539,829
1564,496
1586,321
1586,322
1617,702
1659,1554
1732,218
13141,218
1831,178
1852,413
1869,210
1871,373
1898,249
1898,250
1901,517
1952,275
1985,269
1985,270
2051,180
2051,354
2051,447
2051,1627
2072,871
2137,814
2330,540
13244,561
2387,32
2427,1126
13221,585
13222,586
13233,703
13233,704
2489,485
2504,834
2510,711
2511,1390
2539,64
2589,9
2591,291
2596,325
2683,95
2683,215
2683,473
2683,807
2696,1206
2712,110
2758,922
2776,1541
2776,1556
2784,1522
2789,129
2789,387
2799,67
2806,132
2816,533
2817,35
2854,358
2854,1165
2854,1248
2875,216
2882,406
2882,1066
2891,236
2892,335
2899,82
2951,1530
13576,1530
2951,1543
13576,1543
2952,339
2962,1633
2980,244
2986,1249
2996,368
2996,480
2996,920
2996,921
2998,1353
3000,400
3049,484
3049,1426
3062,401
3107,906
3134,442
3135,874
3168,63
3169,972
3178,15
3181,70
3182,68
3246,524
3266,1493
3296,375
3323,1450
13435,944
3419,1560
3469,160
13628,1370
13510,1055
13277,881
3673,93
3712,411
3758,1150
3762,190
3778,1273
3899,935
3899,937
3955,915
4000,1023
4118,116
13065,116
4125,450
4125,452
4140,419
4166,956
4175,78
4266,838
4267,327
4267,1414
4328,547
4341,101
4343,105
4344,560
4358,974
4358,989
4368,80
4369,242
4372,388
4372,389
4379,382
4379,383
4492,363
4511,1162
4513,861
4622,1380
4630,229
4632,1000
4676,48
4676,1172
4691,421
4691,955
4727,408
13104,1068
13121,371
13814,449
13593,1224
13230,282
13587,200
13587,650
13571,245
13078,237
13530,1069
5151,700
13525,691
5317,1230
5417,551
5436,942
5447,720
5457,254
5479,468
5489,599
5489,1513
5504,615
5557,191
5588,828
5652,724
5728,91
5728,117
5786,224
5789,199
5790,62
5791,435
5795,37
5803,1240
5810,195
5820,1294
5820,1386
5820,1387
5823,324
5823,1399
5824,367
5824,1486
5824,1487
5849,38
5871,878
5897,455
5961,532
5962,340
5999,811
6009,1021
6045,482
6065,810
6065,827
6065,889
6065,1119
6100,603
6118,1521
6130,713
6159,151
6162,464
6175,314
6198,361
6205,45
6285,197
6285,590
6344,1038
13068,219
13652,1412
12981,1642
6441,317
6441,1388
6452,226
6547,75
6547,76
6548,1299
6620,591
6626,185
13557,185
6635,497
6635,498
6635,500
6635,502
6635,503
6635,504
6646,41
6646,923
6646,1523
6667,434
6668,426
6668,427
6690,279
6690,285
6690,286
6699,225
6712,357
6712,866
6735,128
6738,370
6746,539
6749,130
6756,1131
6766,1166
6770,255
7069,984
7093,298
7114,52
7114,1218
7218,1551
7232,348
7305,1417
7305,1418
7305,1419
7305,1420
7305,1422
7305,1662
7326,1250
7370,276
7373,961
7393,192
7442,1073
7442,1305
7486,1090
7589,307
7589,376
7589,405
7636,157
7636,159
7644,381
7767,514
7803,1072
7815,378
7874,418
7895,390
8027,1400
8103,266
8103,267
8181,59
8181,60
8334,947
8334,1191
8342,1194
8343,392
8513,1104
8538,1244
8574,43
8578,432
8603,1016
8625,430
8641,1611
8892,567
8972,688
8975,11
8986,36
8986,343
8986,840
9052,515
9052,516
9065,305
9071,488
9083,696
9095,1578
9126,12
9126,1632
9148,14
9201,231
9296,145
9383,412
9523,1185
9525,13
9587,526
9587,1284
9601,439
9618,1404
9622,445
9633,10
9634,331
9688,957
9699,1173
9750,404
9873,440
9873,441
9895,44
9929,508
9929,509
10015,1535
10018,1211
10019,1717
10199,352
10199,719
10199,821
10199,910
10199,1102
10343,1496
10355,1573
10355,1612
10434,1251
10440,323
10467,165
10500,808
10531,308
10531,415
10536,233
10536,234
10539,33
10539,453
10687,39
10687,911
10750,1122
10760,393
10760,672
10760,894
10760,912
10760,1120
10760,1121
10760,1123
10760,1124
10760,1125
10772,938
10811,127
10811,899
10824,134
10824,687
10832,1056
10909,571
10909,1216
10952,1518
11042,1562
11114,140
11114,466
11199,1510
11231,1442
11246,1097
11274,1462
11307,90
11385,968
11385,1502
11385,1506
11385,1507
11385,1509
11385,1512
11407,1504
11471,21
11483,1501
11550,1157
11572,309
11619,156
11632,206
11632,209
11726,1282
11736,1009
13195,342
13751,723
13206,564
13760,718
13469,869
11865,87
11865,306
11877,73
11880,939
12050,1340
12078,241
12100,1087
12180,1453
12180,1454
12180,1455
12180,1456
12180,1457
12180,1458
12180,1459
12180,1460
12180,1461
12371,472
12403,1408
12403,1575
12479,1591
12523,174
12692,277
12840,1147
12763,364
13036,316
12828,40
12828,136
12828,137
12828,812
12828,892
