community_id,tbrc_id,community_name,founded_date,founded_date_approximate,founded_date_alternate,founded_century_id,existed_by_century_id,founded_century_id,existed_by_century_id
172,G3156,Swayambhunath,,0,,17,,17,
1065,G2CN568,Nālandā,,0,,17,,17,
127,G3791,Lhagang,,0,,25,,25,
312,G3322,Nyima Tang Monastery ,,0,,25,,25,
393,G1TD43,Kyichu Lhakhang ,,0,,25,,25,
529,G389,Lhalung Gon,,0,,25,,25,
672,G2820,Trandruk,,0,,25,,25,
811,G4196,Khoting Lhakhang,,0,,25,,25,
872,,Palden Lhamo Shrine,,0,,25,,25,
877,G4261,Lhasa Tsuklakhang ,,0,,25,,25,
894,G1KR840,Northern Rigsum Gonpo Lhakhang,,0,,25,,25,
897,G1KR828,Southern Rigsum Gonpo Lhakhang,,0,,25,,25,
899,G4552,Ramoche ,,0,,25,,25,
912,G4553,Tsepak Lhakhang,,0,,25,,25,
1120,G00JR3006,Buchu Lhakhang,,0,,25,,25,
1121,G2051,Katsel,,0,,25,,25,
1122,G2GS1265,Drampagyang,,0,,25,,25,
1123,G660,Tsangdram,,0,,25,,25,
1124,G1KR1630,Traduntse,,0,,25,,25,
1125,G2GS1293,Mangyul Jamtrin Lhakhang,,0,,25,,25,
1331,,Odantapuri,,0,,25,,25,
120,G457,Nenying,,0,,29,,29,
143,G2067,Tangkya Lhakhang ,,0,,29,,29,
895,,South-Eastern Rigsum Gonpo Shrine,,0,,29,,29,
896,,South-Western Rigsum Gonpo Lhakhang,,0,,29,,29,
1184,G2829,Yarlung Sheldrak,,0,,29,,29,
1593,,Lo Gekar,,0,,29,,29,
722,G4556,Meru Nyingpa,,0,,33,,33,
869,G4379,Karchung Monastery,,0,,33,,33,
1308,G3CN219,Karchung Doring,,0,,33,,33,
1355,G2CN569,Vikramaśīla,,0,,33,,33,
533,G4651,Martsang Drak Gon,,0,,37,,37,
829,G973,Dzingchi,,0,,37,,37,
1545,G4401,Jekhar Chode Gon,,0,,37,,37,
117,G3055,Menchu,,0,,41,,41,
183,G2CN11074,Rong Ngurmik,,0,,41,,41,
199,G4576,Langtang,,0,,41,,41,
224,G4595,Poto,,0,,41,,41,
229,G392,Zur Ukpalung,,0,,41,,41,
232,G00JR3353,Hemis,,0,,41,,41,
246,G4598,Joden Gendungang ,,0,,41,,41,
251,G1KR1528,Dingma Monastery,,0,,41,,41,
657,G4676,Ripuk Hermitage,,0,,41,,41,
806,G1PD96097,Shadzong Ritro,,0,,41,,41,
823,G1213,Gadong,,0,,41,,41,
824,G1KR1539,Changra,,0,,41,,41,
834,G3119,Kharta Tarpa Ling,,0,,41,,41,
880,G4555,Meru Dratsang,,0,,41,,41,
1000,G2840,Zurlung Pelchen Lhakhang,,0,,41,,41,
1102,G0LAT901,Alchi Chokhor,,0,,41,,41,
1128,G2KT9,Sakya Mendrong,,0,,41,,41,
