parent_community_id,community_id,community_name
1085,1278,Dakpa Shelri
12,439,Śrī Siṃha College
13,1441,Lekshe Nyida Ling
14,1095,Tosam Norbu Lhunpo
1472,1478,Ling Khamtsen (India)
1477,1474,Ganden Tritok Khang (India)
1622,1704,Ke Mingyur Dorje Drak
1750,1522,Labrang Gyuto Dratsang
1750,1523,Labrang Gyume Dratsang
180,445,Khamshe Dargye Ling
207,412,Derge Parkhang
237,1186,Lingto College
32,543,Drepung Zurkhang
32,1617,Tartse Labrang
32,1618,Pende Labrang
32,1619,Khangsar Labrang
32,1620,Luding Labrang
342,1229,Hardong Khamtsen
348,1268,Drati House
348,1315,Lhopa Khamtsen
349,907,Sera Ngakpa Dratsang
349,1021,Chubzang Hermitage (Sera)
349,1246,Ara Khamtsen
349,1300,Zhungpa Khamtsen
349,1480,Pombora Khamtsen
355,1231,Ling Khamtsen
355,1369,Gyarong Khamtsen
355,1409,Petub Khamsten
36,315,Ganden Jangtse College 
36,319,Ganden Shartse College
369,981,Tsongkhapa Lhakhang
37,841,Drakri Hermitage
37,860,Keutsang West Hermitage
37,1020,Tashi Choling Hermitage
37,322,Sera Utse
37,348,Sera Je
37,349,Sera Me
37,423,Pabongkha Hermitage 
37,572,Sera Choding
37,294,Purbuchok
37,841,Drakri Hermitage
37,860,Keutsang West Hermitage
374,941,Rongwo Tantric College
374,942,Rongwo Kālacakra College
374,505,Rongwo Tashikhyil
375,1625,Ditsa Parkhang
38,355,Drepung Loseling College
38,909,Drepung Ngakpa Dratsang
38,908,Drepung Deyang College
38,342,Drepung Gomang Dratsang
39,1143,Tosamling College
39,344,Tashilhunpo Shartse Dratsang
40,924,Kumbum Tantric College
40,925,Kumbum Medical College
40,926,Kumbum Kālacakra College
40,927,Kumbum Debate College
40,1024,Kumbum Printing Press
41,920,Labrang Kālacakra College
41,921,Labrang Medical College
41,922,Labrang Hevajra College
41,923,Mejung Tosam Ling
41,1750,Labrang Tantric College
443,1359,Drak Lhalubuk
443,1359,Drak Lhalubuk
567,1570,Dogyu Tosam Ling
603,934,Zhitok Labrang
603,935,Rinchen Gang Labrang
603,936,Ducho Labrang
603,937,Lhakhang Labrang
603,938,Drolma Podrang
603,939,Puntsok Podrang
603,1220,Labrang Shar
603,1276,Nedruk Lhakhang
603,934,Zhitok Labrang
603,935,Rinchen Gang Labrang
603,936,Ducho Labrang
603,937,Lhakhang Labrang
603,938,Drolma Podrang
603,939,Puntsok Podrang
727,851,Tethong Manor House
728,1298,Surkhang Printery
809,991,Tsongkhapa Hall
869,1308,Karchung Doring
9,1173,Katok Shedra Norbu Lhunpo
9,1014,Katok Drakdong Ritro
9,1014,Katok Drakdong Ritro
947,1195,Gyu Dratsang
947,1191,Riwo Gegye Ganden Shedrubling
947,1194,Kunga Choling
947,984,Tashi Chopel Dratsang
947,984,Tashi Chopel Dratsang
95,1541,Pema Khyung Dzong
95,1745,Samten Tse
