community_id,tbrc_id,community_name,tradition_id
9,G17,Katok,1
10,G14,Mindroling,1
11,G11,Dorje Drak,1
12,G16,Dzogchen Monastery,1
13,G20,Shechen,1
14,G18,Pelyul Monastery,1
43,G188,Adzom Gar,1
44,G3636,Nyoshul Jonpalung Monastery,1
45,G2043,Zha Lhakhang,1
48,G375,Dodrubchen Monastery,1
59,G1AG98,Neten Monastery,1
60,G3JT12623,Tsike,1
85,G521,Shukseb,1
115,G381,Chung Riwoche ,1
127,G3791,Lhagang,1
141,G4195,Kharchu Monastery,1
143,G2067,Tangkya Lhakhang ,1
150,G1KR1891,Powo Samling,1
193,NULL,Samdrub Ling,1
229,G392,Zur Ukpalung,1
235,NULL,Chukyer Gonsar,1
253,G665,Pelri Tekchen Ling ,1
254,G351,Tseringjong,1
259,G3774,Sinmo Dzong ,1
290,G314,Dentik ,1
309,G00JR2680,Bangri Jokpo ,1
312,G3322,Nyima Tang Monastery ,1
371,G2AG31,Petseling Jangchub Pelri Monastery ,1
381,NULL,Chitokha Puntsok Rabten Ling ,1
382,G183,Gangteng Monastery ,1
383,NULL,Trakar Lhakhang ,1
385,G382,Tsamdrak Monastery ,1
388,NULL,Lhundrub Deyang,1
393,G1TD43,Kyichu Lhakhang ,1
400,NULL,Tamshing Lhakhang,1
407,G1KR200,Karchen,1
421,G518,Getse Dralek,1
422,G3954,Gemang,1
426,G1KR1686,Chakri Nyidrak Monastery,1
427,G491,Takmogang Kelzang Puntsok Ling,1
430,G3755,Rakchab Sengri Dorje Yudzong,1
432,G1680,Gyarong Takten Nampar Gyelwai Ling,1
439,G3219,Śrī Siṃha College,1
444,G3961,Gegong,1
449,G1603,Chagdud Orgyen Ling,1
450,G1629,Kelzang Sanggye Choling Monastery,1
452,G1590,Tsogyel Jomo,1
455,NULL,Pel Nyenmo Ri Namgyel,1
470,NULL,Jumohor Sangngak Choling,1
471,G289,Junyung Hermitage,1
488,G1723,Wangda,1
489,G1740,Denang Monastery,1
508,NULL,Tashi Chokhor Ling,1
509,G3203,Gome Oseltang,1
510,NULL,Nakchung Ritro,1
514,G00AG01622,Se Trabzang,1
515,G4795,Sang Ngak Tekchokling,1
516,NULL,Guru Pema Evaṁ Chokgar,1
518,G1604,Jazi,1
519,G3635,Tromge Gon,1
520,G1727,Horkor Gon,1
522,G00EGS1016716,Gegyel Dzogchen,1
524,G496,Yangcho Sangcho Pema Lhunding,1
525,G3971,Nubzur Gon,1
526,G2JM249,Changma Gar,1
527,G3997,Larung Gar,1
529,G389,Lhalung Gon,1
534,NULL,Serkyi Gyelgo,1
546,G1KR1596,Zhe Dratsang,1
553,G7,Mawochok,1
554,G00AG01620,Guru Lhakhang,1
556,NULL,Dregon Sar,1
559,NULL,Dekyi Ling,1
563,G3507,Chakzam Chuwori,1
