community_id,community_name,place_type_id,place_type_name
1162,"Tachogang Lhakhang",3,Temple
1185,"Gyelwa Sengge Ngaro Lhakhang",3,Temple
181,"Longtang Drolma Lhakhang",3,Temple
865,"Banak Zhol Gyelkhang",3,Temple
866,"Barkor Jampa Lhakhang",3,Temple
873,"Gesar Lhakhang",3,Temple
874,"Jebumgang Lhakhang",3,Temple
878,Lukhang,3,Temple
92,"Nyetang Drolma Lhakang",3,Temple
1500,"Jasa Lhakhang",3,Temple
875,"Karmashak Tsenkhang",3,Temple
1122,Drampagyang,3,Temple
867,"Barkor Mani Lhakhang",3,Temple
45,"Zha Lhakhang",3,Temple
1120,"Buchu Lhakhang",3,Temple
1217,"Chakhyi Lhakhang",3,Temple
1591,"Jamchen Lhakhang",3,Temple
1597,"Tangtong Gyelpo Lhakhang",3,Temple
1025,"Nalatse Nepoche",3,Temple
1123,Tsangdram,3,Temple
1124,Traduntse,3,Temple
1125,"Mangyul Jamtrin Lhakhang",3,Temple
1347,"Sinpo Ri Lhakhang",3,Temple
1372,Śāntipura,3,Temple
1376,"Chode (Denma)",3,Temple
1397,Borobudur,3,Temple
1539,"Hiraṇyavarṇa Mahāvihāra",3,Temple
1598,"Shukden Lhakhang",3,Temple
868,"Barkor Mani Lhakhang Shar",3,Temple
872,"Palden Lhamo Shrine",3,Temple
877,"Lhasa Tsuklakhang ",3,Temple
894,"Northern Rigsum Gonpo Lhakhang",3,Temple
895,"South-Eastern Rigsum Gonpo Shrine",3,Temple
896,"South-Western Rigsum Gonpo Lhakhang",3,Temple
897,"Southern Rigsum Gonpo Lhakhang",3,Temple
898,"Rabsel Tsenkhang",3,Temple
899,"Ramoche ",3,Temple
1158,Bodhgaya,2,Stupa
1333,"Namo Buddha",2,Stupa
1351,"Gontang Bumpa",2,Stupa
1494,Lumbini,2,Stupa
172,Swayambhunath,2,Stupa
173,Boudhanath,2,Stupa
1327,"Nyarongsha School",1326,School
1354,"Namgyal Institute of Tibetology",1326,School
1370,"Indo Tibetan Buddhist Cultural Institute",1326,School
1374,"St. Joseph's School",1326,School
1411,"Central Institute of Buddhist Studies",1326,School
1440,"Young Lama's Home School",1326,School
1442,"Naropa University",1326,School
1557,"Potala School",1326,School
905,Potala,886,Palace
906,Norbulingkha,886,Palace
1198,"Gyel Kartse Palace",886,Palace
1345,"Yumbu Lagang",886,Palace
1349,"Tashi Podrang",886,Palace
1407,"Stok Royal Palace",886,Palace
1558,"Sokmo Palace",886,Palace
1589,"Padum Palace",886,Palace
1087,Khapung,1505,Nunnery
1386,"Ney Monastery",1505,Nunnery
1241,"Ya Nga Chamda Ganden Khacho Ling",1505,Nunnery
1088,"Trewel Ude",1505,Nunnery
1502,"Karma Chokhor Dechen Ling",1505,Nunnery
1511,"Karma Drubgyu Thargay Ling",1505,Nunnery
1520,Taser,1505,Nunnery
1535,"Gechak Monastery",1505,Nunnery
452,"Tsogyel Jomo",1505,Nunnery
1592,Rinding,1505,Nunnery
85,Shukseb,1505,Nunnery
1022,"Ani Tsemkhung",1505,Nunnery
1537,"Nagi Gonpa",1505,Nunnery
1082,"Yarlha Shampo",1080,Mountain
1083,"Khawa Karpo",1080,Mountain
1084,Kailash,1080,Mountain
1085,Tsāri,1080,Mountain
1086,"Amnye Machen",1080,Mountain
1118,Tsibri,1080,Mountain
1136,"Jomo Kharak",1080,Mountain
1140,"Wutai Shan",1080,Mountain
1163,Labchi,1080,Mountain
1164,"Emei Shan",1080,Mountain
1169,"Riwo Jakang",1080,Mountain
1258,"Kongpo Bonri",1080,Mountain
1278,"Dakpa Shelri",1080,Mountain
1348,"Hepo Ri",1080,Mountain
1396,Kanchendzonga,1080,Mountain
1402,"Nyenchen Tanglha",1080,Mountain
1051,"Nyima Changra",1623,"Monastic College"
1143,"Tosamling College",1623,"Monastic College"
1186,"Lingto College",1623,"Monastic College"
1195,"Gyu Dratsang",1623,"Monastic College"
1401,"Kamkam Monastery",1623,"Monastic College"
1522,"Labrang Gyuto Dratsang",1623,"Monastic College"
1523,"Labrang Gyume Dratsang",1623,"Monastic College"
190,"Gyume Dratsang",1623,"Monastic College"
315,"Ganden Jangtse College ",1623,"Monastic College"
316,"Gyuto Dratsang",1623,"Monastic College"
319,"Ganden Shartse College",1623,"Monastic College"
344,"Tashilhunpo Shartse Dratsang",1623,"Monastic College"
355,"Drepung Loseling College",1623,"Monastic College"
573,"Segyu Dratsang",1623,"Monastic College"
574,"Lhunpo Tse",1623,"Monastic College"
909,"Drepung Ngakpa Dratsang",1623,"Monastic College"
920,"Labrang Kālacakra College",1623,"Monastic College"
921,"Labrang Medical College",1623,"Monastic College"
922,"Labrang Hevajra College",1623,"Monastic College"
924,"Kumbum Tantric College",1623,"Monastic College"
925,"Kumbum Medical College",1623,"Monastic College"
926,"Kumbum Kālacakra College",1623,"Monastic College"
927,"Kumbum Debate College",1623,"Monastic College"
941,"Rongwo Tantric College",1623,"Monastic College"
942,"Rongwo Kālacakra College",1623,"Monastic College"
947,"Ikh Khuree",1623,"Monastic College"
907,"Sera Ngakpa Dratsang",1623,"Monastic College"
908,"Drepung Deyang College",1623,"Monastic College"
1388,"Tolung Tsendro",1623,"Monastic College"
1250,"Drentang Monastery",1623,"Monastic College"
1016,"Litang Nyingma Dratsang",1623,"Monastic College"
1095,"Tosam Norbu Lhunpo",1623,"Monastic College"
1173,"Katok Shedra Norbu Lhunpo",1623,"Monastic College"
1570,"Dogyu Tosam Ling",1623,"Monastic College"
439,"Śrī Siṃha College",1623,"Monastic College"
489,"Denang Monastery",1623,"Monastic College"
445,"Khamshe Dargye Ling",1623,"Monastic College"
1355,Vikramaśīla,1623,"Monastic College"
1473,"Buxa Chogar Tosam Tardo Ling",1623,"Monastic College"
1005,Jakrong,1,Monastery
1406,Spituk,1,Monastery
345,"Ganden Rinchen Ling",1,Monastery
958,"Gyelteng Monastery",1,Monastery
1340,"Mendong Monastery",1,Monastery
12,"Dzogchen Monastery",1,Monastery
508,"Tashi Chokhor Ling",1,Monastery
893,Nechung,1,Monastery
818,"Khacho Monastery",1,Monastery
1546,"Drapu Choling",1,Monastery
1548,"Tashi Choling (Dharamsala)",1,Monastery
1549,"Kagyu Gonsar",1,Monastery
1493,"Baradrak Dondrubding",1,Monastery
1552,Chungtang,1,Monastery
1175,"Kumbum Monastery",1,Monastery
1338,"Kyodrak Monastery",1,Monastery
1516,Lhalam,1,Monastery
70,"Barom Gon",1,Monastery
1517,Lachab,1,Monastery
1534,"Tsangsar Namgon",1,Monastery
1545,"Jekhar Chode Gon",1,Monastery
560,"Porong Pelmo Choding Monastery ",1,Monastery
564,"Samding Monastery",1,Monastery
612,"Bodong E",1,Monastery
1179,"Tokden Monastery",1,Monastery
1199,"Tarde Monastery",1,Monastery
1249,"Changlung Monastery",1,Monastery
1266,"Menri (Dolanji)",1,Monastery
1267,Kyangtsang,1,Monastery
1286,"Zangri Monastery",1,Monastery
1365,Dachen,1,Monastery
241,"Patsang Gon Yungdrung Rabten Ling",1,Monastery
244,Menri,1,Monastery
245,"Yeru Wensakha",1,Monastery
263,"Khyungpak Tsang",1,Monastery
297,"Sang Ngak Tekchen Choling",1,Monastery
585,Senmo,1,Monastery
586,"Tolung Yangwen Pelgon",1,Monastery
650,"Khyungpo Tengchen",1,Monastery
679,"Gyu Monastery",1,Monastery
721,"Yeta Lungkar",1,Monastery
808,Rigyel,1,Monastery
861,"Yungdrung Ling",1,Monastery
1133,"Kharak Yungdrung Dechen Ling",1,Monastery
1362,"Rinpung Monastery",1,Monastery
1367,Samdrub,1,Monastery
1368,Nateng,1,Monastery
242,"Lupuk Gonpa ",1,Monastery
441,"Chorten Tang Tashi Dargye Ling ",1,Monastery
1110,Rahor,1,Monastery
129,"Lhatel Rinchen Ling",1,Monastery
1515,"Tawu Sangngak Chokdrub Ling",1,Monastery
228,Sewalung,1,Monastery
420,"Yangri Gar ",1,Monastery
701,Phyang,1,Monastery
703,"Kham Kyogon",1,Monastery
704,"Tashi Gang",1,Monastery
705,"Sharkyo Ganden Monastery",1,Monastery
707,"Lho Ganden Monastery ",1,Monastery
82,"Drigung Til",1,Monastery
821,Lamayuru,1,Monastery
945,"Legon Chokyi Podrang ",1,Monastery
1102,"Alchi Chokhor",1,Monastery
134,"Choding Monastery",1,Monastery
479,"Terlung Yiga Chodzin Ling",1,Monastery
280,Chakra,1,Monastery
282,Pewar,1,Monastery
944,"Ngangkyel Chode",1,Monastery
1270,Dechenpuk,1,Monastery
1017,"Drugu Gon",1,Monastery
1072,"Seula Chokhor Dorjeden",1,Monastery
1114,Dzigar,1,Monastery
1115,"Mersho Monastery",1,Monastery
1157,Dingpoche,1,Monastery
1236,"Druk Jangchub Choling",1,Monastery
1257,"Trashigang Dzong",1,Monastery
1305,"Sani Gonpa",1,Monastery
145,"Druk Monastery",1,Monastery
1501,"Druk Dechen Chokhor",1,Monastery
1510,"Khampa Gar (Tashi Jong)",1,Monastery
1518,"Sangngak Choling",1,Monastery
1587,Stakna,1,Monastery
1588,Bardan,1,Monastery
232,Hemis,1,Monastery
233,Hanle,1,Monastery
234,Chemrey,1,Monastery
248,"Nangchen Gar",1,Monastery
273,Shey,1,Monastery
307,"Cheri Monastery",1,Monastery
308,Tango,1,Monastery
376,"Wangdue Phodrang Dzong ",1,Monastery
377,"Talang ",1,Monastery
378,"Tubten Jago Pungpo ",1,Monastery
380,"Talo Sangngak Choling ",1,Monastery
384,"Paro Lateng Monastery",1,Monastery
389,"Gongto Sergyi Lhakhang ",1,Monastery
390,"Lhadzong Tashigang ",1,Monastery
392,"Gorina Kunang Osel Ling ",1,Monastery
405,"Punakha Dzong",1,Monastery
406,"Trongsa Dzong",1,Monastery
415,"Pajoding ",1,Monastery
417,"Drangjekha ",1,Monastery
418,"Sang Chokhor ",1,Monastery
537,"Lampar Monastery",1,Monastery
538,"Nyel Drewule Gon",1,Monastery
576,"Lhadong Gon",1,Monastery
720,"Khampa Gar",1,Monastery
73,"Napu Monastery",1,Monastery
87,"Ralung Monastery",1,Monastery
996,"Bardrok Dorje Ling",1,Monastery
997,"Bamo Choding",1,Monastery
1134,"Tsibri Monastery",1,Monastery
949,"Tashi Tongmon",1,Monastery
1532,Dranggyekha,1,Monastery
1533,"Do Chorten",1,Monastery
387,Tashichoedzong,1,Monastery
1233,"Tikchi Monastery",1,Monastery
1009,Khyungritang,1,Monastery
1018,"Langling Monastery",1,Monastery
1019,"Wikcho Dzong",1,Monastery
1023,"Driru Drubde",1,Monastery
1038,"Nakdo Monastery",1,Monastery
1041,Banshul,1,Monastery
1042,Nyegon,1,Monastery
1043,Datsen,1,Monastery
1044,"Sengge Shong Mago",1,Monastery
1045,"Sengge Shong Yago",1,Monastery
1049,"Atsagat Datsan",1,Monastery
1054,"Chepa Darge Gon",1,Monastery
1055,"Datsan Gunzechoinei",1,Monastery
1069,"Ngodu Monastery",1,Monastery
107,"Tupten Dargye Ling ",1,Monastery
1091,Khyage,1,Monastery
1093,Ongsum,1,Monastery
1103,Likir,1,Monastery
1119,"Sorik Dropen Ling",1,Monastery
112,Chubzang,1,Monastery
1137,"Draksum Puri",1,Monastery
1138,"Hangri Drubde",1,Monastery
1148,"Tseuruma Serde",1,Monastery
1150,"Zungchu Zi",1,Monastery
1154,"Drakteng Monastery",1,Monastery
1166,Yershong,1,Monastery
1174,Mangge,1,Monastery
1176,"Ne Chode",1,Monastery
1178,"Beshing Monastery",1,Monastery
1191,"Riwo Gegye Ganden Shedrubling",1,Monastery
1192,Amarbayasgalant,1,Monastery
1194,"Kunga Choling",1,Monastery
1200,"Baruun Khiid",1,Monastery
1201,"Pekar Choling",1,Monastery
1215,"Tashi Tse",1,Monastery
1219,"Beri Monastery",1,Monastery
1229,"Hardong Khamtsen",1,Monastery
1231,"Ling Khamtsen",1,Monastery
1246,"Ara Khamtsen",1,Monastery
1248,"Shadrang ",1,Monastery
1254,"Gyakhar Gar",1,Monastery
1268,"Drati House",1,Monastery
1273,"Pomda Sangngak Dechen Monastery",1,Monastery
1274,"Zhamar Monastery",1,Monastery
1280,"Gandan Tegchenling",1,Monastery
