community_id,community_name,place_type_name,place_type_id
9,Katok,Monastery,1
10,Mindroling,Monastery,1
11,Dorje Drak,Monastery,1
12,Dzogchen Monastery,Monastery,1
12,Dzogchen Monastery,Temple,3
13,Shechen,Monastery,1
14,Pelyul Monastery,Monastery,1
15,Sekhar Gutok,Monastery,1
21,Zhung Treuzhing ,Monastery,1
32,Ngor Ewaṃ Choden,Monastery,1
33,Dar Drangmoche,Monastery,1
35,Zhalu,Monastery,1
36,Ganden,Monastery,1
37,Sera Monastery,Monastery,1
38,Drepung Monastery,Monastery,1
39,Tashilhunpo,Monastery,1
40,Kumbum Jampa Ling,Monastery,1
41,Labrang Tashikhyil,Monastery,1
43,Adzom Gar,Monastery,1
44,Nyoshul Jonpalung Monastery,Monastery,1
45,Zha Lhakhang,Temple,3
48,Dodrubchen Monastery,Monastery,1
52,Dratang,Monastery,1
59,Neten Monastery,Monastery,1
60,Tsike,Monastery,1
62,Nartang,Monastery,1
63,Daklha Gampo,Monastery,1
64,Densatil,Monastery,1
67,Tropu Monastery,Monastery,1
68,Tsel Gungtang,Monastery,1
70,Barom Gon,Monastery,1
73,Napu Monastery,Monastery,1
75,Lhachuk,Monastery,1
76,Jupu Monastery,Monastery,1
78,Rokam,Monastery,1
80,Taklung Monastery,Monastery,1
82,Drigung Til,Monastery,1
85,Shukseb,Nunnery,1505
87,Ralung Monastery,Monastery,1
90,Jonang Monastery,Monastery,1
91,Sangpu Neutok,Monastery,1
92,Nyetang Drolma Lhakang,Temple,3
93,Tsechen,Monastery,1
95,Tsurpu Monastery,Monastery,1
96,Drakram ,Monastery,1
97,Gharung,Monastery,1
98,Palung,Monastery,1
101,Pokhang ,Monastery,1
102,Pelkhor Chode,Monastery,1
105,Serdokchen,Monastery,1
106,Chokhor Tse,Monastery,1
107,Tupten Dargye Ling ,Monastery,1
108,Puntsok Samten Ling ,Monastery,1
109,Changlung Choding ,Monastery,1
110,Takten Puntsok Ling ,Monastery,1
112,Chubzang,Monastery,1
114,Kyangdur ,Monastery,1
115,Chung Riwoche ,Monastery,1
116,Mending,Monastery,1
117,Menchu,Monastery,1
119,Cholung Jangtse,Monastery,1
120,Nenying,Monastery,1
121,Tolung Namgyel,Monastery,1
122,Sabzang Ganden,Monastery,1
124,Pelteng,Monastery,1
126,Tselmin,Monastery,1
127,Lhagang,Monastic College,1623
128,Nalendra Monastery,Monastery,1
