s,c1,c2,c3
_Place_1014,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1014,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1014,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1014,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1184,_InstitutionType_monastery,_PlaceFunction_hermitage,_PlaceType_cave
_Place_1184,_InstitutionType_monastery,_PlaceFunction_hermitage,_PlaceType_cave
_Place_1184,_InstitutionType_monastery,_PlaceFunction_hermitage,_PlaceType_cave
_Place_1184,_InstitutionType_monastery,_PlaceFunction_hermitage,_PlaceType_cave
_Place_1184,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1184,_InstitutionType_monastery,_PlaceType_cave,
_Place_1184,_InstitutionType_monastery,_PlaceType_cave,
_Place_1184,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1184,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1184,_InstitutionType_monastery,_PlaceType_cave,
_Place_1184,_InstitutionType_monastery,_PlaceType_cave,
_Place_1184,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1227,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1232,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1245,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1291,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1296,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1340,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1340,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1340,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1340,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1359,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1359,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1359,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1359,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1377,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1377,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1377,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1377,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1406,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1406,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1406,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1406,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_143,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_143,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_143,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_143,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1460,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1460,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1460,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1460,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_149,_PlaceFunction_hermitage,_PlaceType_cave,
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_dharma_center,_InstitutionType_monastery,_PlaceFunction_temple
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_dharma_center,_PlaceFunction_temple,
_Place_1613,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1648,_PlaceFunction_hermitage,_PlaceType_lake,
_Place_165,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_165,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_165,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_165,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_1691,_InstitutionType_dharma_center,_InstitutionType_monastery,
_Place_1691,_InstitutionType_dharma_center,_InstitutionType_monastery,
_Place_1691,_InstitutionType_dharma_center,_InstitutionType_monastery,
_Place_1691,_InstitutionType_dharma_center,_InstitutionType_monastery,
_Place_1706,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1706,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1706,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_1706,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_345,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_345,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_345,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_345,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_494,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_494,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_494,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_494,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_495,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_495,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_495,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_495,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_508,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_508,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_508,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_508,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_510,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_510,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_510,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_510,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_818,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_818,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_818,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_818,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_825,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_825,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_825,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_825,_InstitutionType_monastery,_PlaceFunction_hermitage,
_Place_851,_PlaceFunction_manor,_PlaceFunction_temple,
_Place_893,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_893,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_893,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_893,_InstitutionType_monastery,_PlaceFunction_temple,
_Place_984,_InstitutionType_monastery,_InstitutionType_monastic_college,
_Place_984,_InstitutionType_monastery,_InstitutionType_monastic_college,
_Place_984,_InstitutionType_monastery,_InstitutionType_monastic_college,
