map_region_id,bdrc_id,label,wylie,tibetan,chinese,lat,long,region_type,html,zoom_min,zoom_max,type,zoom_level_on_click,map_priority_level_id
26,,KHAM,khams,ཁམས།,,31.3066,98.0279,region,<h2 class='normal spaced'  id='demo2'>KHAM</h2>,6,7,region,6,2
191,G977,QINGHAI,mtsho sngon,མཚོ་སྔོན།,青海,35.9862,96.1874,,,7,8,region,8,3
235,,JE,,,,29.48415,88.25523,,,8,10,region,10,5
236,G1291,TANAK,rta nag,རྟ་ནག།,,29.48474,88.33626,,,8,10,region,10,3
237,,MU,,,,29.52509,87.66541,,,8,10,region,10,5
240,G2172,DROMO,gro mo,གྲོ་མོ།,亚东,27.6063,88.93982,,,8,10,region,10,5
188,G655,POWO,spo bo,སྤོ་བོ།,,30.6,95.33936,,,7,8,region,8,5
197,,LABRANG,bla brang ,བླ་བྲང་།,,35.10026,102.74414,sub_region,,8,10,region,8,3
198,G1164,CHONE,co ne,ཅོ་ནེ།,卓尼,34.53203,103.40607,,,8,10,region,8,4
199,,TEWO,the bo,ཐེ་བོ།,,33.91946,103.39783,,,8,10,region,8,5
200,,SHARPA,shar pa,ཤར་པ།,,32.67756,103.4967,,,9,10,region,9,5
203,G299,DZOGE,mdzod dge,མཛོད་དགེ།,若尔盖,33.2858,102.58759,,,8,10,region,8,5
204,,SOKWO,sog po,སོག་པོ།,,34.59032,101.86523,,,8,10,region,8,5
205,,NGAWA,rnga ba,རྔ་བ།,,32.87155,101.56586,sub_region,,8,10,region,8,4
206,,RONGWO,rong bo,རོང་བོ།,,35.49032,101.98334,sub_region,,8,10,region,8,5
210,G3200,CHENTSA,gcan tsha,གཅན་ཚ།,,35.91715,102.02316,,,8,10,region,8,5
211,,TSONGKHA,tsong kha,ཙོང་ཁ།,,36.70699,101.84326,sub_region,,8,10,region,8,3
212,,PARI,dpa' ris ,དཔའ་རིས་།,,37.41492,102.17834,,,8,10,region,8,5
213,,SHARA YUGUR ,ban dha hor,འབན་དྷ་ཧོར།,,38.29105,100.0827,,,8,10,region,8,5
214,,GYELRONG,rgyal rong ,རྒྱལ་རོང་།,结隆,31.98718,102.12891,,,8,10,region,10,5
215,,NYARONG,nyag rong,ཉག་རོང།,,30.96119,100.79407,,,8,10,region,10,3
216,,JYEKUNDO,skye rgu mdo,སྐྱེ་རྒུ་མདོ།,,33.15713,96.90216,,,8,10,region,10,3
217,,HOR GYADE,hor rgya sde,ཧོར་རྒྱ་སྡེ།,,32.3313,93.40027,,,8,10,region,10,5
218,G640,KONGPO,kong po,ཀོང་པོ།,,29.69644,93.83972,sub_region,,8,10,region,10,3
219,,DAKPO,dwags po,དྭགས་པོ།,,29.0502,92.76581,sub_region,,8,10,region,10,3
220,,YAMDROK,yar 'brog,ཡར་འབྲོག།,,28.79297,90.65918,,,8,10,region,10,5
221,,LHODRAK,lho brag,ལྷོ་བྲག།,,28.17192,91.06018,sub_region,,8,10,region,8,5
222,,NYAL,gnyal,གཉལ།,,28.37331,92.3291,,,8,10,region,8,5
223,G1983,TSONA,mtsho sna,མཚོ་སྣ།,错那,27.96834,91.95969,,,8,10,region,10,5
224,,LORO,lo ro,ལོ་རོ།,,28.15981,92.39227,,,8,10,region,10,5
225,G844,JAYUL,bya yul,བྱ་ཡུལ།,,28.30138,92.85645,,,8,10,region,10,5
226,G4631,TSARI,tsA ri,ཙཱ་རི།,匝日山,28.7767,93.16818,,,8,10,region,10,5
227,G1379,WOLKHA,ol kha,འོལ་ཁ།,,29.42675,92.40738,,,8,10,region,10,5
228,,WON,on,འོན།,,29.35256,91.90338,,,8,10,region,10,5
229,,MELDRO,mal gro,མལ་གྲོ།,,29.85584,91.82991,,,8,10,region,10,5
230,,PENPO,phan po ,འཕན་པོ་།,,29.93382,91.18378,,,8,10,region,10,5
231,,DAM,gdam,གདམ།,党巴,30.44455,91.02997,,,8,10,region,10,5
232,,NYEMO,snye mo,སྙེ་མོ།,,29.44021,90.14008,,,8,10,region,10,5
233,,WOYUK,o yug,འོ་ཡུག།,,29.7006,89.61273,,,8,10,region,10,5
234,,SHANG,shangs,ཤངས།,,29.72445,89.07028,,,8,10,region,10,4
238,G2165,DINGRI,ding ri,དིང་རི།,定日,28.62011,86.59561,,,8,10,region,10,3
239,,TINGYE,gting skyes,གཏིང་སྐྱེས།,,28.40531,87.84531,,,8,10,region,10,5
241,,NYANG,nyang,ཉང།,,29.10149,89.44794,sub_region,,8,10,region,10,5
242,G1398,SIKKIM,bras ljongs,འབྲས་ལྗོངས།,,27.5614,88.4273,,,8,11,region,11,4
244,G3205,BHUTAN,brug yul,འབྲུག་ཡུལ།,不丹,27.4135,90.4195,region,,7,12,region,7,3
245,G4450,NEPAL,bal yul,བལ་ཡུལ།,尼泊尔,28.264,83.9614,region,,7,12,region,7,3
246,,PEMAKO,pad+ma bkod,པདྨ་བཀོད།,,29.32356,95.18829,,,8,10,region,10,3
247,,ZAYUL,rdza yul,རྫ་ཡུལ།,,28.81827,97.39929,,,8,10,region,10,5
248,,MUSTANG,glo smon thang,གློ་སྨོན་ཐང།,,29.25227,83.74878,sub_region,,8,10,region,10,5
249,G2084,DOLPO,dol po,དོལ་པོ།,,29.61929,82.74353,,,8,10,region,10,5
251,G2156,RUTOK,ru thog,རུ་ཐོག།,日土,33.58377,79.95026,,,8,10,region,8,5
187,G3182,LADAKH,la dwags,ལ་དྭགས།,,34.41,77.28882,region,,7,8,region,8,3
189,G1490,GOLOK,mgo log,མགོ་ལོག།,俄洛,34,100,sub_region,,7,8,region,8,4
190,,MINYAK,mi nyak,མི་ཉཀ།,木雅,30.2,101,,,8,9,region,9,5
192,,TSAIDAM,tshwa'i 'dam,ཚྭའི་འདམ།,柴达木盆地,36.93947,94.5,,,7,8,region,8,3
194,G1974,NUBRA VALLEY,ldum rwa,ལྡུམ་རྭ།,,34.35379,77.82543,sub_region,,9,11,region,9,4
195,G867,ZANSKAR,zangs dkar,ཟངས་དཀར།,,33.74919,76.87889,,,9,11,region,9,5
196,G3189,JANGTANG,byang thang,བྱང་ཐང།,,32.12459,84.10034,,,7,8,region,7,5
1,,Sera,se ra,སེ་ར།,,29.69899,91.13365,,,13,12,cluster,12,5
6,G2KR132,Ulaan Baatar,khu re,ཁུ་རེ།,,47.91885,106.91758,,,2,21,city,15,5
7,G1366,Derge,sde dge,སྡེ་དགེ།,德格县,31.80645,98.5798,sub_region,,5,21,city,10,1
8,G2170,Shigatse,gzhis ka rtse,གཞིས་ཀ་རྩེ།,日喀则市,29.27475,88.88566,,,5,21,city,15,2
9,G2185,Chamdo,chab mdo,ཆབ་མདོ།,昌都县,31.14107,97.17665,sub_region,,6,21,city,12,3
10,G2304,Litang,li thang,ལི་ཐང།,理塘县,29.99441,100.27198,,,6,21,city,13,5
11,G2308,Dartsedo,dar rtse mdo,དར་རྩེ་མདོ།,康定县,29.99824,101.95491,,,5,14,city,12,5
12,G2131,Tsetang,rtsed thang,རྩེད་ཐང།,泽当镇,29.23626,91.76204,,,6,16,city,12,5
13,G1085,Leh,gle,གླེ།,,34.16388,77.58475,,,2,16,city,15,5
14,G869,Jyekundo,skye dgu mdo,སྐྱེ་དགུ་མདོ།,结古,33.00266,97.01189,,,4,21,city,15,5
15,G598,Xining,zi ling,ཟི་ལིང།,西宁市,36.61138,101.77031,,,2,21,city,15,1
16,G2175,Gyantse,rgyal rtse,རྒྱལ་རྩེ།,江孜县,28.91533,89.60362,,,7,21,city,15,5
17,G10MS19724,Chengdu,khreng tu,ཁྲེང་ཏུ།,成都,30.58818,104.0619,,,4,16,city,12,5
18,G1949,Beijing,pe cin,པེ་ཅིན།,北京,39.91604,116.39045,,,2,11,city,11,5
19,,Gangtok,sgang thog,སྒང་ཐོག།,,27.33566,88.61169,,,6,16,city,15,1
20,G4706,Thimphu,thim phu,ཐིམ་ཕུ།,,27.47248,89.63934,,,5,16,city,15,5
21,G2CN11080,Kathmandu,ka thu man kru,ཀ་ཐུ་མན་ཀྲུ།,加德满都,27.69762,85.32429,,,3,16,city,13,5
22,G4236,Satam,sa tham,ས་ཐམ།,丽江,26.85554,100.22497,,,4,21,city,15,5
23,G00EGS1017242,Lo Montang,glo smon thang,གློ་སྨོན་ཐང།,,29.18295,83.9566,,,5,21,city,15,5
24,G2800,Lhasa,lha sa,ལྷ་ས།,拉萨,29.6535,91.1225,local_region,,2,15,city,15,1
27,,TSANG,gtsang,གཙང།,,29.42325,88.82994,sub_region,<h2 class='tsang spaced-1' id='demo1'>TSANG</h2>,6,8,region,6,2
28,,NGARI,mnga' ris,མངའ་རིས།,,32,82.2,sub_region,<h2 class='normal spaced' id='NGARI'>NGARI</h2>,6,7,region,6,2
29,,U,dbu,དབུ།,,29.4733,91.799,sub_region,<h1 class='u-normal spaced-1'>U</h2>,7,8,region,7,2
30,G1202,AMDO,a mdo,ཨ་མདོ།,,36.00335,100.48645,region,<h2 class='normal spaced-1'  id='demo3'>AMDO</h2>,6,7,region,7,2
31,G2127,Lhundrub,lhun grub,ལྷུན་གྲུབ།,林周县,29.90242,91.24901,,,10,21,city,11,5
32,G1818,Damzhung,dam gzhung,འདམ་གཞུང།,当雄县,30.475761,91.109767,,,10,21,city,11,5
33,G3597,Dardrong,dar grong,དར་གྲོང།,塔榮 ,29.430873,90.167193,,,10,21,city,11,5
34,G2128,Chushur,chu shur,ཆུ་ཤུར།,曲水县,29.35596,90.72939,,,10,21,city,11,5
35,G1325,Tolung Dechen,stod lung bde chen ,སྟོད་ལུང་བདེ་ཆེན་།,堆龙德庆县,29.646604,91.001085,,,10,21,city,11,5
36,G1516,Taktse,stag rtse,སྟག་རྩེ།,达孜县,29.67315,91.34278,,,10,21,city,11,5
37,G2014,Meldro Gungkar,mal gro gung dkar,མལ་གྲོ་གུང་དཀར།,墨竹工卡,29.83929,91.72472,,,10,21,city,11,5
38,G2376,Jomda,jo mda',འཇོ་མདའ།,江达县,31.499296,98.217742,,,9,21,city,11,5
39,G2182,Gonjo,go 'jo,གོ་འཇོ།,贡觉县,30.859628,98.270734,,,9,21,city,11,5
40,G2186,Riwoche,ri bo che,རི་བོ་ཆེ།,类乌齐,31.211923,96.600596,,,10,21,city,11,5
41,G2188,Tengchen,steng chen,སྟེང་ཆེན།,丁青县,31.412217,95.595715,,,9,21,city,11,5
42,,Jamdun,byams mdun,བྱམས་མདུན།,香堆,30.56854,97.97221,,,9,21,city,11,5
43,G1719,Pema,pad ma,པད་མ།,白馬,30.05704,96.91752,,,9,32,city,11,5
44,G2180,Dzogang,mdzo sgang ,མཛོ་སྒང་།,左贡,29.70757,97.79564,,,10,21,city,11,5
45,,Gartok,sgar thog,སྒར་ཐོག།,呷托,29.69504,98.5932,,,9,21,city,11,5
46,,Dzito,rdzi tho,རྫི་ཐོ།,孜托,30.74306,95.82625,,,10,21,city,11,5
47,G2189,Pelbar,dpal 'bar,དཔལ་འབར།,边坝县,30.93818,94.70798,,,10,21,city,11,5
48,G799,Dratang,gra thang,གྲ་ཐང།,扎塘,29.239405,91.333115,,,10,21,city,11,5
