Wikidata,BDRC ROLE ID,Role ID,Role Name,Role Parent,Role Parent ID,Role Variant Names,Wylie Role Name,Tibetan Script,Role Chinese name,Role Variant Names Tibetan,Role Variant Names Wylie,Role Description
Q483501,,1030,Artist,,,,sgyu rtsal pa,སྒྱུ་རྩལ་པ།,艺术家,,,"The category of Artist includes biographies of people who were engaged in the production of visual art, either as their primary activity or in addition to other other social roles they held. This includes religious art as well as secular art, both painting and sculpture."
Q1540389,,1031,Translator,,,,lo tsA ba,ལོ་ཙཱ་བ།,譯師,,,"The category of Translators includes any historical person who engaged in the translation of texts. Generally, these figures are credited with having worked from an Indic language such as Sanskrit or Bengali source materials and translated into Tibetan. There are examples of translators who worked from Chinese, Mongolian, or other Central or East Asian languages."
Q39631,,1032,Doctor,,,,sman pa,སྨན་པ།,医生,,,"The category of doctors in the Treasury of Lives includes individuals who received medical training and practiced the healing arts, in a fashion appropriate for their time, and who self-identified or are described in the historical literature as medical practitioners."
Q2493637,,1035,Treasure Revealer,,,,gter ston,གཏེར་སྟོན།,伏藏师,,,"Treasure Revealers (gter ston) are men and women who have produced scripture or objects known as treasure (gter ma) through visionary experience, memory, or physical extraction. Generally these treasures are said to have been concealed by an earlier historical figure, with the intention that they would be recovered for use by future generations. Although most common in the Nyingma and Bon traditions, there have been treasure revealers in all traditions of Tibetan religion."
,,1116,Military,Government Officer,694,,dmag mi,དམག་མི།,軍官,,,"The category comprises Tibetan military officials belonging to any formal national army. These can include the national army of the Tibetan Ganden Podrang government (1642-1959), or the Bhutanese government, or the Indian government, including the army of the British Raj as well as Unit 22 of the modern Indian army."
,,1252,Indian Master,,,,,,,,,"In the category of Indian Masters we include all men and women from Bengal, Kashmir, the Ganges Plain, and other regions of the subcontinent that Tibetans considered ""India."""
Q477406,R36,1319,Desi,Government Officer,694,Regent,sde srid,སྡེ་སྲིད།,留守,,,"The Desi, or Regent, was ostensibly responsible for the operation of the Ganden Podrang government while the Dalai Lama was in infancy. The term Depa (sde pa) is also used to refer to Regents of the Ganden Podrang."
Q83460,R34,1360,Dapon,Military,1116,General,mda' dpon,མདའ་དཔོན།,將軍,,,"Dapon is an army officer in charge of a Da (mda', literally 'arrow' or 'archer') or cohort of 500 soldiers. In the Tibetan military system, a Dapon ranks immediately below the Makchi (dmag spyi, 'commander-in-chief'), the highest officer of the military force, and is senior to a Rupon (ru dpon, 'commander of ru'). The Tibetan army rank of Dapon is loosely equivalent to 'brigadier general' or 'colonel.'"
,,1371,Tsedrung,Government Officer,694,Monk Official,rtse drung,རྩེ་དྲུང་།,,,,"Tsedrung were monk officials of the Tibetan Government. These were individuals from all levels of Tibetan society. The office was primarily located in the Potala Palace, shifting to Norbulingka in the summer."
Q11545923,R2,1483,Makchi,Military,1116,Commander,dmag spyi,དམག་སྤྱི།,武将,,,"Makchi, also known as Sungmak Chikhyab (srung dmag spyi khyab), meaning chief commander, was the highest office in the Tibetan military before 1959. It is also used to denote commanders of Chushi Gangdruk regiments."
,,1484,Rupon,Military,1116,,ru dpon,རུ་དཔོན།,,,,"Rupon were military officers in charge of a regiment of approximately 250 soldiers. They ranked below Dapon (mda' dpon), who led regiments of approximately 500 men, and above Gyapon (brgya dpon), who led regiments of approximately 100 troops."
,T2494,1580,Dome Chikyab,Government Officer,694,,mdo smad spyi khyab,མདོ་སྨད་སྤྱི་ཁྱབ།,,,,Governor of Kham was a position based in Kham that was appointed by the Tibetan government and usually filled by a cabinet minister.
,,1581,Rimzhi,Government Officer,694,,rim bzhi,རིམ་བཞི།,,,,"Rimshi is a fourth level official of the Ganden Podrang government, sometimes translated as secretary."
Q2514216,,1582,Neshan,Government Officer,694,Liaison,sne shan,སྣེ་ཤན།,聯絡官,,,Neshan is an official guide or liaison of the Tibetan government.
,,1654,Delok,,,,das log,འདས་ལོག།,,,,"Delok are people, usually women, who tell the story of dying and returning to life with moral teachings for their communities. "
,,1656,Monastery Head,Monastic Officer,NONE YET,,,,,,,"The category of monastery head comprises the leaders of monasteries and associated colleges. The position usually comes with seniority and accomplishment, and heads generally possess Geshe degrees or the highest equivalent in their tradition. Tripa, Tridzin, Khenpo, Khenchen are all different terms for abbot."
,,1657,Monastic Officer,,,,,,,,,"The category of monastic officers includes all formal roles within a religious institution such as a monastery, monastic college, or tantric encampment, from the head of the organization to roles such as disciplinarian. "
Q1251349,R37,1658,Personal Physician,Doctor,,,sku bcar bla sman,སྐུ་བཅར་བླ་སྨན།,,,,Kuchar Lamen served as court physicians or as private doctors to important figures such as the Dalai Lamas. 
Q388338,,1659,Treasurer,Monastic Officer,,,phyag mdzod,ཕྱག་མཛོད།,,,,"The chandzo, or treasurer of a monastery or monastic estate, manages internal and external financial matters. Sometimes translated as bursar."
Q901222,,1660,Tutor,,,,yongs 'dzin,ཡོངས་འཛིན།,,,,A tutor is a person who serves in a formal role as instructor to a high lama such as the Dalai Lamas.
,,1661,Governor,Government Officer,,Dzongpon,rdzong dpon,རྫོང་དཔོན།,,,,Dzongpon is a head of a region administered by the traditional Tibetan government.
