Lineage ID,Role,BDRC ROLE ID,Lineage Place ID,Lineage Name,Wylie Lineage Name,Lineage Tibetan Name,Lineage Chinese Name,Lineage Variant Names English,Lineage Variant Names Tibetan,Lineage Variant Names Wylie
1,Monastery Head,R30,9,Katok Khenpo,kaH thog mkhan rabs,ཀཿ་ཐོག་མཁན་རབས།,,,,
2,Monastery Head,R30,10,Minling Khenchen,smin gling mkhan chen,སྨིན་གླིང་མཁན་ཆེན།,,,,
3,Monastery Head,R8LS12190,10,Minling Trichen,smin gling khri chen,སྨིན་གླིང་ཁྲི་ཆེན།,,,,
4,Monastery Head,R8LS12188,12,Dzogchen Denrab,rdzogs chen gdan rabs,རྫོགས་ཆེན་གདན་རབས།,,,,
5,Monastery Head,R8LS12188,14,Pelyul Denrab,dpal yul gdan rabs,དཔལ་ཡུལ་དགན་རབས།,,,,
6,Monastery Head,R30,14,Pelyul Khyenrab,dpal yul mkhyen rabs,དཔལ་ཡུལ་མཁན་རབས།,,,,
7,Monastery Head,R10MS14292,32,Ngor Khenchen,ngor mkhan chen,ངོར་མཁན་ཆེན།,,,,
8,Monastery Head,R30,35,Zhalu Khenchen,zhwa lu mkhan chen,ཞྭ་ལུ་མཁན་ཆེན།,,,,
9,Monastery Head,R35,36,Ganden Tripa,dga' ldan khri pa,དགའ་ལྡན་ཁྲི་པ།,,,,
10,Monastery Head,R30,37,Sera Trirab,se ra khri rabs,སེ་ར་ཁྲི་རབས།,,,,
11,Monastery Head,R10MS14282,38,Drepung,bras spungs khri pa,བྲས་སྤུངས་ཁྲི་པ།,,,,
12,Monastery Head,R30,40,Kumbum Trichen,sku 'bum khri chen,སྐུ་འབུམ་ཁྲི་ཆེན།,,,,
13,Monastery Head,R30,41,Labrang Tri,bla brang khri,བླ་བྲང་ཁྲི།,,,,
14,Monastery Head,R30,62,Nartang Denrab,snar thang gdan rabs,སྣར་ཐང་གདན་རབས།,,,,
15,Monastery Head,R30,63,Daklha Gampo Denrab,dwags lha sgam po gdan rabs,དྭགས་ལྷ་སགམ་པོགདན་རབས།,,,,
16,Monastery Head,R30,63,Yangpachen Denrab,yangs pa can mkhan rabs,ཡང་པ་ཅན་མཁན་རབས།,,,,
17,Monastery Head,R30,64,Densatil Denrab,gdan sa mthil gdan rabs,གདན་ས་མཐིལ་གདན་རབས།,,,,
18,Monastery Head,R30,68,Tsel Gungtang Trirab,tshal gung thang khri rabs,ཚལ་གུང་ཐང་ཁྲི་རབས།,,,,
19,Monastery Head,R30,78,Rokam Khenrab,ro skam mkhan rabs,རོ་སྐམ་མཁན་རབས།,,,,
20,Monastery Head,R30,80,Taklung Tri,stag lung khri,སྟག་ལུང་ཁྲི།,,,,
21,Monastery Head,R1AG22,82,Drigung Denrab,bri gung gdan rabs,བྲི་གུང་གདན་རབས།,,,,
22,Monastery Head,R30,90,Jonang Denrab,jo nang gdan rabs,ཇོ་ནང་གདན་རབས།,,,,
