teacher_id,tbrc_teacher_id,teacher_default_name,teacher_default_name-_lang-encoding,teacher_has_bio,student_id,student_bdrc_id,student_default_name,student_default_name-_lang-encoding,student_has_bio
2539,P127,"Pakmodrupa Dorje Gyelpo",2,5,5,P00AG02484,"Gyergom Tsultrim Sengge",2,5
12435,P962,"kun dga' bstan pa'i rgyal   mtshan",1,NULL,56,P00EGS1017075,"byams pa bstan 'dzin",1,NULL
4291,P258,"Jamyang Khyentse Wangpo",2,5,56,P00EGS1017075,"byams pa bstan 'dzin",2,NULL
57,P00EGS1017076,"kun dga' chos kyi dbang po",1,NULL,56,P00EGS1017075,"byams pa bstan 'dzin",1,NULL
12692,P986,"dngos grub dpal 'bar",1,NULL,80,P00EGS1017397,"byams pa lha btsun grags pa",1,NULL
7442,P4956,Padmasambhava,2,5,96,P00EGS1017620,"Lang Pelgyi Sengge",2,5
96,P00EGS1017620,"Lang Pelgyi Sengge",2,5,4626,P2885,"Nubchen Sanggye Yeshe",2,5
4228,P252,"Mipam Gyatso",2,5,8887,P6306,"tshe dbang rig 'dzin",2,NULL
179,P00KG0218,"mnyam med dmu la 'dul ba",1,NULL,178,P00KG0217,"grags pa rgyal mtshan",1,NULL
180,P00KG0221,"rin chen rgyal mtshan",1,NULL,178,P00KG0217,"grags pa rgyal mtshan",1,NULL
203,P00KG02850,"bzod pa phrin las",1,NULL,202,P00KG02849,"tshul khrims rgya mtsho",1,NULL
11433,P8693,"pad+ma bde chen bzang po",1,NULL,219,P00KG03790,"dkon mchog rgyal mtshan",1,NULL
10302,P7629,"bdud 'joms rol pa rtsal",1,NULL,220,P00KG03800,"bsod nams snyan grags",1,NULL
221,P00KG03801,"shes rab go cha",1,NULL,220,P00KG03800,"bsod nams snyan grags",1,NULL
220,P00KG03800,"bsod nams snyan grags",1,NULL,222,P00KG03802,"tshe dbang rdo rje",1,NULL
220,P00KG03800,"bsod nams snyan grags",1,NULL,223,P00KG03803,"nam mkha' dri med",1,NULL
226,P00KG03806,"shes rab gsal byed",1,NULL,225,P00KG03805,"rtsi nang dbyings rig",1,NULL
7858,P5343,"skal bzang bstan 'dzin",1,NULL,229,P00KG03883,"chos kyi rdo rje",1,NULL
10550,P7871,"chos kyi grags pa, rgya bya   bral",1,NULL,233,P00KG03959,"chos skyong rgyal po",1,NULL
9234,P663,"nus ldan rdo rje",1,NULL,234,P00KG04015,"bsam gtan mi pham chos kyi rgya   mtsho",1,NULL
7711,P5200,"o rgyan chos kyi grags pa",1,NULL,234,P00KG04015,"bsam gtan mi pham chos kyi rgya   mtsho",1,NULL
9105,P651,"Dudul Dorje",2,5,235,P00KG04016,"dbang grags rdo rje",2,NULL
7711,P5200,"o rgyan chos kyi grags pa",1,NULL,236,P00KG04017,"pad+ma phrin las rdo rje",1,NULL
11527,P878,"mi pham blo gros",1,NULL,236,P00KG04017,"pad+ma phrin las rdo rje",1,NULL
250,P00KG07605,"gter chen rin po che",1,NULL,249,P00KG07604,"ting 'dzin",1,NULL
255,P00KG07612,"gar chos",1,NULL,249,P00KG07604,"ting 'dzin",1,NULL
8574,P6002,"Drodul Pawo Dorje",2,5,251,P00KG07607,"chos dbyings rang grol",2,NULL
8646,P6068,"sna tshogs rang grol",1,NULL,251,P00KG07607,"chos dbyings rang grol",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,13002,P3JM77,"rwa skor dri med 'od zer",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,13003,P3JM78,"rdo ba mchog ldan",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,10093,P743,"Botrul Dongak Tenpai Nyima",1,5
251,P00KG07607,"chos dbyings rang grol",1,NULL,8538,P5970,"Lerab Lingpa",1,5
251,P00KG07607,"chos dbyings rang grol",1,NULL,4273,P2562,"kun bzang 'jigs med chos   dbyings rang grol",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,9945,P7289,"Choying Khyabdel",1,5
251,P00KG07607,"chos dbyings rang grol",1,NULL,4067,P2370,"legs bshad 'byor ldan",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,13004,P3JM79,"chos nyid stong gsal",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,13005,P3JM80,"rgyal rong brtson 'grus",1,NULL
251,P00KG07607,"chos dbyings rang grol",1,NULL,13006,P3JM81,"grong stod phur pa",1,NULL
255,P00KG07612,"gar chos",1,NULL,10457,P7774,"Khenpo Jigme Puntsok",1,5
261,P00KG07869,"rig 'dzin dbang rgyal",1,NULL,260,P00KG07868,"dhondup chokyi nyima",1,NULL
262,P00KG07870,"'phrin las dbang rgyal",1,NULL,260,P00KG07868,"dhondup chokyi nyima",1,NULL
263,P00KG07871,"pad+ma dbang rgyal",1,NULL,260,P00KG07868,"dhondup chokyi nyima",1,NULL
9594,P6963,"Kunga Pelden",2,5,261,P00KG07869,"rig 'dzin dbang rgyal",2,NULL
5058,P2JM340,"ba thur mkhan chen thub dga'",1,NULL,261,P00KG07869,"rig 'dzin dbang rgyal",1,NULL
12922,P3JM118,"'jam dbyangs bstan 'dzin",1,NULL,261,P00KG07869,"rig 'dzin dbang rgyal",1,NULL
9585,P6955,"Pema Tekchok Loden",2,5,261,P00KG07869,"rig 'dzin dbang rgyal",2,NULL
9203,P6600,"Yonten Gonpo",2,5,261,P00KG07869,"rig 'dzin dbang rgyal",2,NULL
9587,P6957,"thub bstan chos 'phel",1,NULL,262,P00KG07870,"'phrin las dbang rgyal",1,NULL
9203,P6600,"Yonten Gonpo",2,5,262,P00KG07870,"'phrin las dbang rgyal",2,NULL
10169,P750,"Jikdrel Jangchub Dorje",2,5,262,P00KG07870,"'phrin las dbang rgyal",2,NULL
262,P00KG07870,"'phrin las dbang rgyal",1,NULL,8825,P625,"Dilgo Khyentse Tashi Peljor",1,5
262,P00KG07870,"'phrin las dbang rgyal",1,NULL,8836,P626,"Ngawang Chokyi Lodro",1,NULL
262,P00KG07870,"'phrin las dbang rgyal",1,NULL,8814,P624,"'jigs med chos kyi seng+ge",1,NULL
273,P00KG09684,"dkon mchog bstan pa'i rgyal mtshan",1,NULL,274,P00KG09685,"bsod nams bag dro",1,NULL
11436,P8696,"thub bstan chos kyi grags pa",1,NULL,291,P00KG09979,"'gyur med bzod pa mchog grub",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,987,P0RK2,"shA ri pu tra (shAriputra)",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,1226,P0RK573,"rje btsun 'jam dbyangs (   manyjughoSa )",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,8701,P6118,maitreyanatha,1,NULL
9986,P7326,"shAkya thub pa",1,NULL,1110,P0RK387,"spyan ras gzigs   (avalokiteshvara)",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,1416,P0RK851,"lo ki shwa ra (lokeshvara)",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,1491,P0RK940,"kun dga' bo (Ananda)",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,706,P0RK1463,"rgyal po zla ba bzang po   (jina/rAjan sucandra?)",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,6402,P4004,"a bha yA kA ra gupta",1,NULL
9986,P7326,"shAkya thub pa",1,NULL,917,P0RK1720,"nye ba 'khor",1,NULL
1462,P0RK9,"gu Na pa ri ()",1,NULL,297,P0RK10,"chos kyi phreng ba   (dharmamAla)",1,NULL
297,P0RK10,"chos kyi phreng ba   (dharmamAla)",1,NULL,387,P0RK11,"'byung gnas sbas pa   (Akaragupta)",1,NULL
298,P0RK1000,"ro lang bde ba'i dngos grub",1,NULL,299,P0RK1001,"slob dpon sangs rgyas gsang ba   (AcArya buddhagupta/ buddhaguhya)",1,NULL
299,P0RK1001,"slob dpon sangs rgyas gsang ba   (AcArya buddhagupta/ buddhaguhya)",1,NULL,7776,P5263,"hUM ka ra",1,NULL
421,P0RK1135,"mkha' 'gro las kyi dbang mo   che",1,NULL,7776,P5263,"hUM ka ra",1,NULL
302,P0RK1004,"bal po shI la manydzu",1,NULL,303,P4CZ10564,"Nanam Dorje Dudjom",1,5
303,P4CZ10564,"Nanam Dorje Dudjom",2,5,304,P0RK1006,"gnyal dznyA na ku ma ra",2,NULL
303,P4CZ10564,"Nanam Dorje Dudjom",2,5,491,P0RK1218,"chim ston shAkya pra bha",2,NULL
304,P0RK1006,"gnyal dznyA na ku ma ra",1,NULL,1377,P0RK80,"'khon rdo rje rin chen",1,NULL
316,P0RK102,"gan pa ston dar",1,NULL,306,P0RK1010,"gan pa shes rab blo gros",1,NULL
306,P0RK1010,"gan pa shes rab blo gros",1,NULL,326,P0RK103,"gan pa chos rgyal",1,NULL
308,P0RK1012,"rta mchog (paramAshva)",1,NULL,309,P0RK1013,"bI Na ba",1,NULL
309,P0RK1013,"bI Na ba",1,NULL,13774,P2CN574,Indrabodhi,1,NULL
13774,P2CN574,Indrabodhi,1,NULL,310,P0RK1014,"phun tshogs zhabs",1,NULL
312,P0RK1016,"chos kyi pa (dhArmika?)",1,NULL,313,P0RK1017,"bzang po'i zhabs (bhadrapAda)",1,NULL
313,P0RK1017,"bzang po'i zhabs (bhadrapAda)",1,NULL,314,P0RK1018,"tog rtse pa (khanitra?)",1,NULL
314,P0RK1018,"tog rtse pa (khanitra?)",1,NULL,315,P0RK1019,"bhu Sa Na",1,NULL
315,P0RK1019,"bhu Sa Na",1,NULL,317,P0RK1020,"dha ma pa",1,NULL
659,P0RK1409,"rta stag so ba khu dbon",1,NULL,316,P0RK102,"gan pa ston dar",1,NULL
316,P0RK102,"gan pa ston dar",1,NULL,326,P0RK103,"gan pa chos rgyal",1,NULL
316,P0RK102,"gan pa ston dar",1,NULL,713,P0RK147,"gan pa so ston",1,NULL
317,P0RK1020,"dha ma pa",1,NULL,318,P0RK1021,"ka hn a",1,NULL
1207,P0RK540,"la ru ba bsod nams seng ge",1,NULL,319,P0RK1022,"ye shes mgon",1,NULL
320,P0RK1023,"'u yug pa rig pa'i seng ge",1,NULL,3191,P1865,"Jamyang Donyo Gyeltsen",1,5
