teacher_id,teacher_tbrc_rid,teacher_default_name,teacher_default_name-_lang-encoding,teacher_has_bio,student_id,student_tbrc_rid,student_default_name,student_default_name-_lang-encoding,student_has_bio
5639,P3308,blo bzang bstan pa rab rgyas,,NO,3829,P2156,blo bzang 'phrin las,,NO
5639,P3308,blo bzang bstan pa rab rgyas,,NO,5640,P3309,ngag dbang blo bzang bstan pa   dar rgyas,,NO
5639,P3308,blo bzang bstan pa rab rgyas,,NO,8125,P5589,chos 'phel dar rgyas,,NO
5639,P3308,blo bzang bstan pa rab rgyas,,NO,8127,P5590,chos ldan rgya mtsho,,NO
5639,P3308,blo bzang bstan pa rab rgyas,,NO,8240,P5693,dge 'dun sgang pa,,NO
12435,P962,kun dga' bstan pa'i rgyal   mtshan,,NO,56,P00EGS1017075,byams pa bstan 'dzin,,NO
57,P00EGS1017076,kun dga' chos kyi dbang po,,NO,56,P00EGS1017075,byams pa bstan 'dzin,,NO
12692,P986,dngos grub dpal 'bar,,NO,80,P00EGS1017397,byams pa lha btsun grags pa,,NO
179,P00KG0218,mnyam med dmu la 'dul ba,,NO,178,P00KG0217,grags pa rgyal mtshan,,NO
180,P00KG0221,rin chen rgyal mtshan,,NO,178,P00KG0217,grags pa rgyal mtshan,,NO
203,P00KG02850,bzod pa phrin las,,NO,202,P00KG02849,tshul khrims rgya mtsho,,NO
11433,P8693,pad+ma bde chen bzang po,,NO,219,P00KG03790,dkon mchog rgyal mtshan,,NO
10302,P7629,bdud 'joms rol pa rtsal,,NO,220,P00KG03800,bsod nams snyan grags,,NO
221,P00KG03801,shes rab go cha,,NO,220,P00KG03800,bsod nams snyan grags,,NO
220,P00KG03800,bsod nams snyan grags,,NO,222,P00KG03802,tshe dbang rdo rje,,NO
220,P00KG03800,bsod nams snyan grags,,NO,223,P00KG03803,nam mkha' dri med,,NO
226,P00KG03806,shes rab gsal byed,,NO,225,P00KG03805,rtsi nang dbyings rig,,NO
7858,P5343,skal bzang bstan 'dzin,,NO,229,P00KG03883,chos kyi rdo rje,,NO
10550,P7871,"chos kyi grags pa, rgya bya   bral",,NO,233,P00KG03959,chos skyong rgyal po,,NO
9234,P663,nus ldan rdo rje,,NO,234,P00KG04015,bsam gtan mi pham chos kyi rgya   mtsho,,NO
7711,P5200,o rgyan chos kyi grags pa,,NO,234,P00KG04015,bsam gtan mi pham chos kyi rgya   mtsho,,NO
9105,P651,bdud 'dul rdo rje,,NO,235,P00KG04016,dbang grags rdo rje,,NO
7711,P5200,o rgyan chos kyi grags pa,,NO,236,P00KG04017,pad+ma phrin las rdo rje,,NO
11527,P878,mi pham blo gros,,NO,236,P00KG04017,pad+ma phrin las rdo rje,,NO
250,P00KG07605,gter chen rin po che,,NO,249,P00KG07604,ting 'dzin,,NO
255,P00KG07612,gar chos,,NO,249,P00KG07604,ting 'dzin,,NO
8646,P6068,sna tshogs rang grol,,NO,251,P00KG07607,chos dbyings rang grol,,NO
251,P00KG07607,chos dbyings rang grol,,NO,13002,P3JM77,rwa skor dri med 'od zer,,NO
251,P00KG07607,chos dbyings rang grol,,NO,13003,P3JM78,rdo ba mchog ldan,,NO
251,P00KG07607,chos dbyings rang grol,,NO,10093,P743,Botrul Dongak Tenpai Nyima,,YES
251,P00KG07607,chos dbyings rang grol,,NO,8538,P5970,Lerab Lingpa,,YES
251,P00KG07607,chos dbyings rang grol,,NO,10368,P7690,thub bstan phrin las bzang po,,NO
251,P00KG07607,chos dbyings rang grol,,NO,9945,P7289,Choying Khyabdel,,YES
251,P00KG07607,chos dbyings rang grol,,NO,4067,P2370,legs bshad 'byor ldan,,NO
251,P00KG07607,chos dbyings rang grol,,NO,13004,P3JM79,chos nyid stong gsal,,NO
251,P00KG07607,chos dbyings rang grol,,NO,13005,P3JM80,rgyal rong brtson 'grus,,NO
251,P00KG07607,chos dbyings rang grol,,NO,13006,P3JM81,grong stod phur pa,,NO
255,P00KG07612,gar chos,,NO,10457,P7774,Khenpo Jigme Puntsok,,YES
261,P00KG07869,rig 'dzin dbang rgyal,,NO,260,P00KG07868,dhondup chokyi nyima,,NO
262,P00KG07870,phrin las dbang rgyal,,NO,260,P00KG07868,dhondup chokyi nyima,,NO
263,P00KG07871,pad+ma dbang rgyal,,NO,260,P00KG07868,dhondup chokyi nyima,,NO
5058,P2JM340,ba thur mkhan chen thub dga',,NO,261,P00KG07869,rig 'dzin dbang rgyal,,NO
12922,P3JM118,jam dbyangs bstan 'dzin,,NO,261,P00KG07869,rig 'dzin dbang rgyal,,NO
9587,P6957,thub bstan chos 'phel,,NO,262,P00KG07870,phrin las dbang rgyal,,NO
262,P00KG07870,phrin las dbang rgyal,,NO,8825,P625,Dilgo Khyentse Tashi Peljor,,YES
262,P00KG07870,phrin las dbang rgyal,,NO,8836,P626,ngag dbang chos kyi blo gros,,NO
262,P00KG07870,phrin las dbang rgyal,,NO,8814,P624,jigs med chos kyi seng+ge,,NO
273,P00KG09684,dkon mchog bstan pa'i rgyal mtshan,,NO,274,P00KG09685,bsod nams bag dro,,NO
11436,P8696,thub bstan chos kyi grags pa,,NO,291,P00KG09979,gyur med bzod pa mchog grub,,NO
1462,P0RK9,gu Na pa ri (),,NO,297,P0RK10,chos kyi phreng ba   (dharmamAla),,NO
297,P0RK10,chos kyi phreng ba   (dharmamAla),,NO,387,P0RK11,byung gnas sbas pa   (Akaragupta),,NO
298,P0RK1000,ro lang bde ba'i dngos grub,,NO,299,P0RK1001,slob dpon sangs rgyas gsang ba   (AcArya buddhagupta/ buddhaguhya),,NO
299,P0RK1001,slob dpon sangs rgyas gsang ba   (AcArya buddhagupta/ buddhaguhya),,NO,300,P0RK1002,slob dpon huM ka ra (AcArya   hUMkAra),,NO
