person_id,tbrc_rid,default_name,tradition_id,tradition_name
8,P00AG0401,Pelden Chime Takpai Dorje,1,Nyingma
9,P00AG0428,Mandāravā,1,Nyingma
84,P00EGS1017608,Lasum Gyelwa Jangchub,1,Nyingma
86,P00EGS1017610,Langdro Konchok Jungne,1,Nyingma
96,P00EGS1017620,Lang Pelgyi Sengge,1,Nyingma
303,P4CZ10564,Nanam Dorje Dudjom,1,Nyingma
490,P0RK1217,Kharchen Pelgyi Wangchuk,1,Nyingma
494,P0RK1221,Dangma Lhungyel,1,Nyingma
495,P0RK1222,Chetsun Sengge Wangchuk,1,Nyingma
1108,P7743,Namkhai Nyingpo,1,Nyingma
1370,P8218,Khon Lui Wangpo,1,Nyingma
1639,P10100,Namgyel Gonpo,1,Nyingma
1722,P1018,Langlab Jangchub Dorje,1,Nyingma
1754,P1021,Trulzhik Sengge Gyabpa,1,Nyingma
2069,P10497,Rinchen Dorje,1,Nyingma
2118,P5987,Kunzang Ngedon Wangpo,1,Nyingma
2232,P10646,Kunkyong Lingpa,1,Nyingma
2541,P1271,Takla Norbu,1,Nyingma
2589,P1314,Katokpa Dampa Deshek,1,Nyingma
2662,P1382,Choying Dorje,1,Nyingma
2720,P1435,Sonam Puntsok,1,Nyingma
2740,P1454,Yungton Dorje Pel,1,Nyingma
2776,P1487,Karma Pakshi,1,Nyingma
2780,P1490,Sonam Bumpa,1,Nyingma
2781,P1492,Jampa Bum,1,Nyingma
2790,P150,Yonten Gyatso,1,Nyingma
2806,P1514,Kodrakpa Sonam Gyeltsen,1,Nyingma
2816,P1523,Lachen Gongpa Rabsel,1,Nyingma
2845,P155,Buton Rinchen Drub,1,Nyingma
2882,P1583,Longchenpa Drime Wozer,1,Nyingma
2948,P1646,Jigme Rigpai Lodro,1,Nyingma
2992,P1686,Longsel Nyingpo,1,Nyingma
2996,P169,Konchok Jigme Wangpo,1,Nyingma
2997,P1690,Tenzin Norbu,1,Nyingma
3000,P1693,Pema Lingpa,1,Nyingma
3006,P1699,Ngari Paṇchen Pema Wanggyel,1,Nyingma
3010,P1701,Lekden Dorje,1,Nyingma
3020,P1710,Mingyur Namkhai Dorje,1,Nyingma
3107,P179,Kelzang Gyatso,1,Nyingma
3121,P1801,"Dungtso Repa The Earlier""""",1,Nyingma
3125,P1805,Trulzhik Nauwa,1,Nyingma
3152,P183,Shukseb Jetsun Choying Zangmo,1,Nyingma
3266,P1932,Barawa Gyeltsen Pelzang,1,Nyingma
3307,P197,Tubten Gyatso,1,Nyingma
3417,P1GS124509,Meban Rinchen Lingpa,1,Nyingma
3436,P1GS138134,Losel Drolma,1,Nyingma
3485,P1GS60402,Do Dasel Wangmo,1,Nyingma
3627,P1PD76599,Khaying Drolma,1,Nyingma
3770,P210,Tamdrin Lhamo,1,Nyingma
3866,P219,Gendun Chopel,1,Nyingma
3883,P2204,Pema Rangdol,1,Nyingma
3889,P221,Jigme Damcho Gyatso,1,Nyingma
3989,P230,Dechen Nyingpo,1,Nyingma
4028,P2335,Yeshe Gyeltsen,1,Nyingma
4043,P2349,Kumārarāja,1,Nyingma
4080,P2382,Konchok Chodrak,1,Nyingma
4125,P2424,Nyakla Pema Dudul,1,Nyingma
4140,P2438,Pomdrakpa Sonam Dorje,1,Nyingma
4185,P248,Jigme Tenpai Nyima,1,Nyingma
4228,P252,Mipam Gyatso,1,Nyingma
4272,P2561,Jigme Puntsok Jungne,1,Nyingma
4291,P258,Jamyang Khyentse Wangpo,1,Nyingma
4358,P264,Jamgon Kongtrul Lodro Taye,1,Nyingma
4372,P2652,Dawa Gyeltsen,1,Nyingma
4379,P2659,Pema Trinle,1,Nyingma
4425,P270,Patrul Orgyen Jigme Chokyi Wangpo,1,Nyingma
4478,P2748,Orgyen Trinle Dorje,1,Nyingma
4611,P287,Zhabkar Tsokdruk Rangdrol,1,Nyingma
4622,P2881,Jigme Ngotsar Gyatso,1,Nyingma
4626,P2885,Nubchen Sanggye Yeshe,1,Nyingma
4630,P2889,Zurchen Shakya Jungne,1,Nyingma
4632,P2890,Zurchung Sherab Drakpa,1,Nyingma
4659,P2914,Sengdruk Pema Tashi,1,Nyingma
4676,P293,Jigme Trinle Wozer,1,Nyingma
4691,P2943,Gyurme Tsewang Chokdrub,1,Nyingma
4903,P2JM167,Gyelwa Chokyang,1,Nyingma
4986,P2JM275,Namkha Chokyi Gyatso,1,Nyingma
4987,P2JM276,Jigme Choying Wosel,1,Nyingma
5024,P2JM309,Ngawang Norbu,1,Nyingma
5041,P2JM325,Gelek Namgyel,1,Nyingma
5044,P2JM328,Tsering Norbu,1,Nyingma
5048,P2JM331,Konchok Zangpo,1,Nyingma
5078,P2JM359,Gyurme Wosel,1,Nyingma
5099,P2JM378,Pema Tsewang Gyatso,1,Nyingma
5115,P2JM392,Wozer Taye,1,Nyingma
5117,P2JM394,Konchok Yeshe Wozer,1,Nyingma
5120,P2JM397,Tenzin Chozang,1,Nyingma
5121,P2JM398,Chonam,1,Nyingma
5122,P2JM399,Tsering Chojor,1,Nyingma
5151,P2JM424,Orgyen Samten,1,Nyingma
5159,P2JM431,Kunzang Pema Wanggyel,1,Nyingma
5164,P2JM436,Peljor Gyatso,1,Nyingma
5166,P2JM438,Garwang Chokyi Gyeltsen,1,Nyingma
5234,P2JM5,Ma Rinchen Chok,1,Nyingma
5281,P2JM8,Sokpo Pelgyi Yeshe,1,Nyingma
5312,P3005,Yutok Yonten Gonpo,1,Nyingma
5457,P314,Jigme Lingpa,1,Nyingma
5461,P3143,Ra Lotsāwa Dorje Drakpa,1,Nyingma
5500,P318,Go Lotsāwa Zhonnu Pel,1,Nyingma
5588,P326,Guru Chowang,1,Nyingma
5644,P3312,Machik Labdron,1,Nyingma
5803,P3458,Go Khukpa Lhetse,1,Nyingma
5805,P346,Polhane Sonam Tobgye,1,Nyingma
5871,P352,Tsangyang Gyatso,1,Nyingma
5897,P3546,Amdo Geshe Jampel Rolpai Lodro,1,Nyingma
5999,P364,Nyangrel Nyima Wozer,1,Nyingma
