Name,TOL Tradition ID,BDRC T ID,Wylie Name,Chinese,Wikidata ID,Parent,Founder Name,Founder TOL ID,Founder BDRC ID,Description,Notes
Barawa Kagyu,TOL1531,,ba' ra ba bka' rgyud,,Q2658751,Marpa Kagyu,Barawa Gyeltsen Pelzang,TOLP3266,P1932,"<p> The Barawa Kagyu (<em>'ba' ra ba bka' brgyud</em>) was established in the fourteenth century by&nbsp;<a href=""https://treasuryoflives.org/biographies/view/Gyeltsen-Pelzang/TBRC_P1932"">Gyeltsen Pelzang</a>&nbsp;from&nbsp;Baradrak&nbsp;in Shang. Gyeltsen Pelzang also founded the first monastic complex of this tradition there,&nbsp;<a href=""https://treasuryoflives.org/geographies/view/Dondrubding-Monastery/TBRC_G512"">Dondrubding Monastery</a>, which served as the seat of his incarnation line, the Barawa Tulku. The Barawa tradition emerged from the Yanggon Kagyu, founded by&nbsp;<a href=""https://treasuryoflives.org/biographies/view/Yanggonpa-Gyeltsen-Pel/TBRC_P5262"">Yanggonpa Gyeltsen Pel</a>. The latter is in turn a sub-branch of the Upper Druk. As early as the fourteenth century, the Barawa Kagyu spread to Bhutan. Later monasteries were established at different places in Tibet but mainly along the Himalayan slopes and in Sikkim. The most important centers in Tibet were Dondrubding Monastery in Baradrak, Drapu Choling Monastery in Kyirong, and Kagyu Gonsar Monastery in the Chumbi Valley, none of which have survived into the modern era, although the tradition continues in exile communities. The core teachings include, among others, the Mountain Dharma Trilogy (<em>ri chos skor gsum</em>) by Yanggonpa Gyeltsen Pel and the Exegesis of Buddhism (<em>thar par 'jug pa'i gru bo zab don chos kyi gter mdzod</em>), an encyclopedia of Buddhist scholasticism by Barawa Gyeltsen Pelzang.</p> <p> Ehrhard, Franz-Karl. 2009. ""The Lineage of the 'Ba'-ra-ba bKa'-brgyud-pa School as Depicted on a Thangka and in Golden Rosary Texts."" <em>Münchner Beiträge zur Völkerkunde</em> 13, 179–209.</p> <p> Erschbamer, Marlene. 2017. <em>The 'Ba'-ra-ba bKa'-brgyud-pa: Historical and Contemporary Studies</em>. Vienna: WSTB.</p>",
Barom Kagyu,TOL1135,T1384,ba' rom bka' brgyud,马尔巴噶举,Q86777587,Marpa Kagyu,Barompa Darma Wangchuk,TOLP3181,P1856,"<p> The Barom branch of the Kagyu tradition was established by <a href=""/biographies/view/Barompa-Darma-Wangchuk/TBRC_P1856"">Barompa Darma Wangchuk</a>, a disciple of <a href=""/biographies/view/Gampopa/TBRC_p1844"">Gampopa</a>. The name is based on the monastery Darma Wangchuk established in Kham in 1160, <a href=""/geographies/view/Barom-Riwoche/TBRC_G1KR1663"">Barom Riwoche</a>. Among the recent illustrious members of the tradition were <a href=""/biographies/view/Tulku-Urgyen-Rinpoche/TBRC_P9901"">Tulku Urgyen Rinpoche</a>.</p> <p> &nbsp;</p>",
Bodong,TOL611,T2054,bo dong,,Q890024,,Bodong Panchen Chokle Namgyel,TOLP4344,P2627,"<p> The Bodong (bo dong) tradition has a long and complicated history. The seat of what would become the institutionally independent Bodong lineage was the monastery Bodong E, which was founded in 1049 by Geshe Mudrapa Chenpo. What teachings were current there is difficult to know, save that in the twelfth century <a href=""/biographies/view/Kodrakpa-Sonam-Gyeltsen/P1514"">Kodrakpa Sonam Gyeltsen</a> invited the Nepali yogin <a href=""/biographies/view/name/P3276"">Vibhūticandra</a> to Tibet and received from him a new transmission of the six-branch practice of the Kālacakra. Kodrakpa also propagated a lineage of Lamdre which was later subsumed into the Sakya tradition by <a href=""/biographies/view/Sonam-Gyeltsen/P1226"">Sonam Gyeltsen</a> and <a href=""/biographies/view/Ngorchen-Kunga-Zangpo/P1132"">Ngorchen Kunga Zangpo</a>. Its greatest representative was <a href=""/biographies/view/Bodong-Pa?chen-Chokle-Namgyel/P2627"">Bodong Paṇchen Chokle Namgyel</a>, with whom the unique Bodong Tradition is commonly said to have begun. It is important to avoid confusing Bodong Panchen with <a href=""/biographies/view/Jonang-Chokle-Namgyel/P152"">Jonang Chokle Namgyel</a>, a teacher of <a href=""/biographies/view/Tsongkhapa/TBRC_p64"">Tsongkhapa</a> and proponent of the <em>Zhentong</em> view.</p>",
Bon,TOL240,T247,bon,苯,Q815628,,Tonpa Shenrab,TOLP13800,P2MS13220,"<p> Bon (bon) is often said to be the indigenous religion of the Himalayan region, preserving beliefs and practices that predate the introduction of Buddhism. The Bon teachings are said to have originally come from a land known as Tazik, introduced to human beings by the enlightened being Tonpa Shenrab, and flourished in the kingdom of Zhangzhung on the western Tibetan Plateau. During the Tibetan Empire, when Buddhism was adopted in Tibet, native priests lost their status, and their practices, some of which were later absorbed into some Tibetan Buddhist traditions, were suppressed. In the centuries following, the surviving adherents to the tradition organized monastic centers, and Bon revealed scriptures were produced that integrated altered versions of many of the ideas and practices brought to Tibet by the Buddhists, resulting in a tradition known as ""New Bon."" There remains today a pernicious prejudice against Bon in Tibet, and a tenacious belief that Bon is merely a form of Buddhism.</p>",
Drigung Kagyu,TOL20,T1190,bri gung bka' brgyud,直貢噶舉,Q2658751,Marpa Kagyu,Jikten Gonpo Rinchen Pel,TOLP2899,P16,"<p> The Drigung Kagyu tradition was initiated by <a href=""/biographies/view/Jikten-Gonpo/TBRC_P16"">Jikten Gonpo</a>, a disciple of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a>, upon the establishment of <a href=""/geographies/view/Drigung-Til-Monastery/TBRC_G340"">Drigung Til Monastery</a> in 1179. One of the largest and most influential Kagyu sub-traditions, it briefly vied with the Sakya for control of Tibet during the thirteenth century. Originally led by the Kyura clan, since the seventeenth century it has been headed by the <a href=""/incarnation/view/Drigung-Chungtsang/TBRC_R8LS12892"">Drigung Chungtsang</a> and <a href=""/incarnation/view/Drigung-Chetsang/TBRC_R8LS12886"">Drigung Chetsang</a> incarnation lines. The tradition is particularly strong in Ladakh.</p> <p> &nbsp;</p>",
Drukpa Kagyu,TOL40,T816,brug pa bka' brgyud,竺巴噶舉,Q784270,Marpa Kagyu,Tsangpa Gyare Yeshe Dorje,TOLP11865,P909,"<p> The Drukpa Kagyu tradition was founded in the twelfth century by <a href=""/biographies/view/Tsangpa-Gyare/TBRC_P909"">Tsangpa Gyare</a>, a disciple of <a href=""/biographies/view/Lingrepa/TBRC_P910"">Lingrepa</a>, himself a student of <a href=""/biographies/view/Pakmodrupa/TBRC_P127"">Pakmodrupa</a>. The tradition draws its name from a vision Tsangpa Gyare had of nine dragons – <em>druk</em> in Tibetan. The principal seat is at <a href=""/geographies/view/Ralung/TBRC_G3582"">Ralung</a>, in Tibet, the seat of the <a href=""/incarnation/view/Gyelwang-Drukchen/TBRC_R8LS12812"">Gyelwang Drukchen</a>, head of the Tibetan branch of the tradition, which is made up of the Upper, Middle, and Lower Druk, following the transmission lines of three of Tsangpa Gyare's disciple: <a href=""/biographies/view/Gotsangpa/TBRC_P2090"">Gotsangpa</a>, <a href=""/biographies/view/Wonre-Darma-Senggye/TBRC_P012"">Wonre Darma Senggye</a>, and <a href=""/biographies/view/Lorepa/TBRC_P4252"">Lorepa</a>, respectively. The tradition split again in the late sixteenth century when there were two rival candidates for the reincarnation of the <a href=""/biographies/view/Fourth-Drukchen,-Pema-Karpo/TBRC_P825"">Fourth Drukchen, Pema Karpo</a>. <a href=""/biographies/view/Paksam-Wangpo/TBRC_P877"">Paksam Wangpo</a>, the candidate favored by the King of Tsang, became the Fifth Drukchen, and his rival, <a href=""/biographies/view/Zhabdrung-Ngawang-Namgyel/TBRC_P509"">Zhabdrung Ngawang Namgyel</a> went south and created the modern state of Bhutan. His incarnations, the <a href=""/biographies/view/Drukpa-Zhabdrung/TBRC_R8LS13407"">Drukpa Zhabdrung</a>, head the Bhutanese tradition, with their appointed regents occupying the office of the Je Khenpo.</p>",
Geluk,TOL8,T819,dge lugs,格鲁派,Q319218,,Tsongkhapa Lobzang Drakpa,TOLP8986,P64,"<p> The Geluk (<em>dge lugs</em>) tradition follows the teachings of the fifteenth-century scholar monk <a href=""/biographies/view/Tsongkhapa-Lobzang-Drakpa/TBRC_p64"">Tsongkhapa Lobzang Drakpa</a>. Like the Kadam tradition which the Geluk absorbed and supplanted, the Geluk place an emphasis on monastic discipline and scholarship, central to which is the their understanding and explication of the Mādhyamaka Prāsaṅgika philosophical position. They also maintain a strong, if somewhat less public, tradition of tantric transmission, scholarship, and practice. Followers of the Geluk tradition practice an extensive system of <em>Lamrim </em> and <em>Lojong</em>, both of which have their origins with <a href=""/biographies/view/Atisha/TBRC_p3379"">Atisha</a> and the Kadampa tradition. The Geluk also maintain a lineage of Mahāmudrā teachings. The primary tantric teachings studied and practiced in the Geluk are the tantric cycles of Yamāntaka, Cakrasaṃvara, and Guhyasamāja. The Kālacakra Tantra is also commonly practiced among many Geluk practitioners, as is the tantra of Vajrayoginī. The Geluk tradition became the dominant religious order in Tibet in the seventeenth century when the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_p37"">Fifth Dalai Lama</a>, with the aid of the recently converted Mongols, orchestrated a defeat of the Kagyu king of Tsang and set himself up as political leader of Tibet. Since that time the Dalai Lamas' seat of government, the Ganden Podrang, has been the nominal seat of political power in Tibet, even if for most of the last four hundred years real power shifted among a number of players.</p>",
Jonang,TOL88,T360,jo nang,觉囊派,Q1702893,,Dolpopa Sherab Gyeltsen,TOLP2670,P139,"<p> The Jonang (<em>jo nang</em>) tradition was founded by <a href=""/biographies/view/Dolpopa-Sherab-Gyeltsen/TBRC_p139"">Dolpopa Sherab Gyeltsen</a>, who ascended to the throne of <a href=""/geographies/view/Jonang-Monastery/TBRC_g201"">Jonang Monastery</a> in 1326. Trained in the Sakya tradition, Dolpopa’s controversial teachings, especially his emphasis on the view known as <em>Zhentong (gzhan stong)</em> or <em>emptiness of other</em>, and the institutional independence of Jonang monastery, established the Jonang tradition apart as an independent tradition, although many members of the Sakya tradition continue to consider Jonang to be a subsect of that tradition. Dolpopa, like his predecessors at Jonang, particularly emphasized the teachings of the <em>Kālacakra Tantra</em> and its completion-stage practices known as the six-branch yoga, while also transmitting many other systems of Vajrayāna and Mahāyāna Buddhism. Following the death of the great Jonang scholar <a href=""/biographies/view/Tāranātha/TBRC_p1428"">Tāranātha</a>, the Jonang tradition was suppressed in the seventeenth century by the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_p37"">Fifth Dalai Lama</a>; its monasteries were converted to the Geluk tradition and the teachings banned. The tradition has survived in the Dzamtang region of Amdo.</p>",
Kadam,TOL61,T791,bka' gdams pa,噶当派,Q588362,,Dromton Gyelwa Jungne,TOLP4267,P2557,"<p> The Kadam (<em>bka’ dam</em>) tradition was the first of the so-called New Schools of Tibetan Buddhism, traditions that arose during the Second Propagation of Buddhism in Tibet in the tenth century. The Kadam tradition began with <a href=""/biographies/view/Dromtonpa-Gyalwai-Jungne/TBRC_p2557"">Dromton Gyelwai Jungne</a>, a disciple of the Bengali teacher <a href=""/biographies/view/Atisha-Dīpaṃkara/TBRC_p3379"">Atiśa Dīpaṃkara</a>, who had been invited to Tibet by the kings of Purang in western Tibet to revitalize monastic Buddhism there. Dromton founded the monastery of <a href=""/geographies/view/Reting/TBRC_g74"">Reting</a> and propagated the <em>Lamrim</em> and <em>Lojong</em> teachings, which lay out a complete path to Buddhahood and means of training the mind, respectively. The Kadam teachers were known for their monastic discipline, a character that was adopted by the Geluk tradition that supplanted it in the fourteenth century, adopting its teaching and absorbing its monasteries.</p>",
Kalācakra,TOL73,T74,dus 'khor,十相自在,Q831837,,,,,"<p> There are two lineage of the Kālacakra, the Ra lineage (<em>rva lugs</em>) and the Dro lineage (<em>bro lugs</em>). The Dro lineage was established in Tibet by a Kashmiri disciple of Nalendrapa named Paṇḍita Somanatha, who traveled to Tibet in 1027, and his translator&nbsp;<a href=""/biographies/view/Dro-Lotsāwa-Sherab-Drak/TBRC_P2553"">Dro Lotsāwa Sherab Drak</a>, from which it takes its name. The Ra lineage was brought to Tibet by another Kashmiri disciple of Nalendrapa named Samantaśrībhadra, and translated by&nbsp;<a href=""/biographies/view/Ra-Lotsāwa-Chorab/TBRC_P3146"">Ra Lotsāwa Chorab</a>. These two lineages were absorbed by the dominant religious traditions of Tibet, particularly the Sakya and Geluk, but their transmission can not be said to be tied to any one of those traditions, and some historical figures are best understood as Kālacakra masters above any other affiliation they might have enjoyed.</p>",
